year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,01,DPi,Cadillac Racing,Cadillac,Renger van der Zande,Sebastien Bourdais,Ryan Hunter-Reay,,,Cadillac Racing Cadillac DPi | DPi | 1.Renger van der Zande 3.Ryan Hunter-Reay | 2.Sebastien Bourdais
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,1,GTD,Paul Miller Racing,BMW M4 GT3,Bryan Sellers,Madison Snow,Erik Johansson,,,Paul Miller Racing BMW M4 GT3 | GTD | 1.Bryan Sellers 3.Erik Johansson | 2.Madison Snow
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,02,DPi,Cadillac Racing,Cadillac,Earl Bamber,Alex Lynn,Neel Jani,,,Cadillac Racing Cadillac DPi | DPi | 1.Earl Bamber 3.Neel Jani | 2.Alex Lynn
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,3,GTD PRO,Corvette Racing Chevrolet,Corvette C8.R,Antonio Garcia,Jordan Taylor,Nicky Catsburg,,,Corvette Racing Chevrolet Corvette C8.R GTD | GTDPRO | 1.Antonio Garcia 3.Nicky Catsburg | 2.Jordan Taylor
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,5,DPi,JDC Miller MotorSports,Cadillac,Tristan Vautier,Richard Westbrook,Loic Duval,,,JDC Miller MotorSports Cadillac DPi | DPi | 1.Tristan Vautier 3.Loic Duval | 2.Richard Westbrook
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,6,LMP3,Muehlner Motorsports America,Duqueine D08,Alec Udell,Harry Gottsacker,Ugo de Wilde,,,Muehlner Motorsports America Duqueine D08 | LMP3 | 1.Alec Udell 3.Ugo de Wilde | 2.Harry Gottsacker
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,7,LMP3,Forty7 Motorsports,Duqueine D08,Mark Kvamme,Anthony Mantella,Matt Bell,,,Forty7 Motorsports Duqueine D08 | LMP3 | 1.Mark Kvamme 3.Matt Bell | 2.Anthony Mantella
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,8,LMP2,Tower Motorsport,ORECA 07,John Farano,Louis Deletraz,Rui Pinto de Andrade,,,Tower Motorsport ORECA LMP2 07 | LMP2 | 1.John Farano 3.Rui Pinto de Andrade | 2.Louis Deletraz
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,9,GTD PRO,Pfaff Motorsports,Porsche 911 GT3R,Matt Campbell,Mathieu Jaminet,Felipe Nasr,,,Pfaff Motorsports Porsche 911 GT3R | GTDPRO | 1.Matt Campbell 3.Felipe Nasr | 2.Mathieu Jaminet
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,10,DPi,Konica Minolta Acura ARX-05,Acura,Ricky Taylor,Filipe Albuquerque,Will Stevens,,,Konica Minolta Acura ARX-05 Acura DPi | DPi | 1.Ricky Taylor 3.Will Stevens | 2.Filipe Albuquerque
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,11,LMP2,PR1 Mathiasen Motorsports,ORECA 07,Steven Thomas,Josh Pierson,Jonathan Bomarito,,,PR1 Mathiasen Motorsports ORECA LMP2 07 | LMP2 | 1.Steven Thomas 3.Jonathan Bomarito | 2.Josh Pierson
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,12,GTD,VasserSullivan,Lexus RC F GT3,Frankie Montecalvo,Scott Andrews,Richard Heistand,,,VasserSullivan Lexus RC F GT3 | GTD | 1.Frankie Montecalvo 3.Richard Heistand | 2.Scott Andrews
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,13,LMP3,AWA,Duqueine D08,Orey Fidani,Kuno Wittmer,Lars Kern,,,AWA Duqueine D08 | LMP3 | 1.Orey Fidani 3.Lars Kern | 2.Kuno Wittmer
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,14,GTD PRO,VasserSullivan,Lexus RC F GT3,Jack Hawksworth,Ben Barnicoat,Aaron Telitz,,,VasserSullivan Lexus RC F GT3 | GTDPRO | 1.Jack Hawksworth 3.Aaron Telitz | 2.Ben Barnicoat
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,16,GTD,Wright Motorsports,Porsche 911 GT3R,Ryan Hardwick,Zacharie Robichon,Jan Heylen,,,Wright Motorsports Porsche 911 GT3R | GTD | 1.Ryan Hardwick 3.Jan Heylen | 2.Zacharie Robichon
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,18,LMP2,Era Motorsport,ORECA 07,Dwight Merriman,Kyle Tilley,Ryan Dalziel,,,Era Motorsport ORECA LMP2 07 | LMP2 | 1.Dwight Merriman 3.Ryan Dalziel | 2.Kyle Tilley
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,20,LMP2,High Class Racing,ORECA 07,Dennis Andersen,Anders Fjordbach,Fabio Scherer,,,High Class Racing ORECA LMP2 07 | LMP2 | 1.Dennis Andersen 3.Fabio Scherer | 2.Anders Fjordbach
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,21,GTD,AF CORSE,Ferrari 488 GT3,Simon Mann,Luis Perez Companc,Toni Vilander,,,AF CORSE Ferrari 488 GT3 | GTD | 1.Simon Mann 3.Toni Vilander | 2.Luis Perez Companc
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,22,LMP2,United Autosports,ORECA 07,James McGuire,Guy Smith,Duncan Tappy,,,United Autosports ORECA LMP2 07 | LMP2 | 1.James McGuire 3.Duncan Tappy | 2.Guy Smith
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,23,GTD PRO,Heart of Racing Team Aston,Martin Vantage GT3,Ross Gunn,Alex Riberas,Maxime Martin,,,Heart of Racing Team Aston Martin Vantage GT3 | GTDPRO | 1.Ross Gunn 3.Maxime Martin | 2.Alex Riberas
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,24,GTD PRO,BMW M Team RLL,BMW M4 GT3,Philipp Eng,Marco Wittmann,Nick Yelloly,,,BMW M Team RLL BMW M4 GT3 | GTDPRO | 1.Philipp Eng 3.Nick Yelloly | 2.Marco Wittmann
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,25,GTD PRO,BMW M Team RLL,BMW M4 GT3,Connor De Phillippi,John Edwards,Augusto Farfus,,,BMW M Team RLL BMW M4 GT3 | GTDPRO | 1.Connor De Phillippi 3.Augusto Farfus | 2.John Edwards
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,27,GTD,Heart of Racing Team Aston,Martin Vantage GT3,Roman De Angelis,Ian James,Tom Gamble,,,Heart of Racing Team Aston Martin Vantage GT3 | GTD | 1.Roman De Angelis 3.Tom Gamble | 2.Ian James
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,28,GTD,Alegra Motorsports,Mercedes-AMG GT3,Michael de Quesada,Daniel Morad,Maximilian Goetz,,,Alegra Motorsports Mercedes-AMG GT3 | GTD | 1.Michael de Quesada 3.Maximilian Goetz | 2.Daniel Morad
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,29,LMP2,Racing Team Nederland,ORECA 07,Frits Van Eerd,Giedo van der Garde,Dylan Murry,,,Racing Team Nederland ORECA LMP2 07 | LMP2 | 1.Frits Van Eerd 3.Dylan Murry | 2.Giedo van der Garde
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,30,LMP3,Jr III Racing,Ligier JS P320,Ari Balogh,Garett Grist,Dakota Dickerson,,,Jr III Racing Ligier JS P320 | LMP3 | 1.Ari Balogh 3.Dakota Dickerson | 2.Garett Grist
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,31,DPi,Whelen Engineering Racing,Cadillac,Pipo Derani,Tristan Nunez,Mike Conway,,,Whelen Engineering Racing Cadillac DPi | DPi | 1.Pipo Derani 3.Mike Conway | 2.Tristan Nunez
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,32,GTD,Gilbert Korthoff Motorsports,Mercedes-AMG GT3,Mike Skeen,Stevan McAleer,Daniel Juncadella,,,Gilbert Korthoff Motorsports Mercedes-AMG GT3 | GTD | 1.Mike Skeen 3.Daniel Juncadella | 2.Stevan McAleer
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,33,LMP3,Sean Creech Motorsport,Ligier JS P320,Joao Barbosa,Malthe Jakobsen,Lance Willsey,,,Sean Creech Motorsport Ligier JS P320 | LMP3 | 1.Joao Barbosa 3.Lance Willsey | 2.Malthe Jakobsen
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,36,LMP3,Andretti Autosport,Ligier JS P320,Jarett Andretti,Josh Burdon,Gabby Chaves,,,Andretti Autosport Ligier JS P320 | LMP3 | 1.Jarett Andretti 3.Gabby Chaves | 2.Josh Burdon
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,38,LMP3,Performance Tech Motorsports,Ligier JS P320,Dan Goldburg,Rasmus Lindh,Cameron Shields,,,Performance Tech Motorsports Ligier JS P320 | LMP3 | 1.Dan Goldburg 3.Cameron Shields | 2.Rasmus Lindh
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,39,GTD,CarBahn with Peregrine Racing Lamborghini,Huracan GT3,Robert Megennis,Corey Lewis,Jeff Westphal,,,CarBahn with Peregrine Racing Lamborghini Huracan GT3 | GTD | 1.Robert Megennis 3.Jeff Westphal | 2.Corey Lewis
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,40,LMP3,FastMD Racing,Duqueine D08,Max Hanratty,Todd Archer,James Vance,,,FastMD Racing Duqueine D08 | LMP3 | 1.Max Hanratty 3.James Vance | 2.Todd Archer
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,42,GTD,NTE/SSR Lamborghini,Huracan GT3,Don Yount,Jaden Conwright,Mateo Llarena,,,NTE/SSR Lamborghini Huracan GT3 | GTD | 1.Don Yount 3.Mateo Llarena | 2.Jaden Conwright
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,44,GTD,Magnus Racing Aston,Martin Vantage GT3,John Potter,Andy Lally,Spencer Pumpelly,,,Magnus Racing Aston Martin Vantage GT3 | GTD | 1.John Potter 3.Spencer Pumpelly | 2.Andy Lally
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,47,GTD,Cetilar Racing,Ferrari 488 GT3,Roberto Lacorte,Giorgio Sernagiotto,Antonio Fuoco,,,Cetilar Racing Ferrari 488 GT3 | GTD | 1.Roberto Lacorte 3.Antonio Fuoco | 2.Giorgio Sernagiotto
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,48,DPi,Ally Cadillac,Cadillac,Mike Rockenfeller,Kamui Kobayashi,Jose Maria Lopez,,,Ally Cadillac Cadillac DPi | DPi | 1.Mike Rockenfeller 3.Jose Maria Lopez | 2.Kamui Kobayashi
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,52,LMP2,PR1 Mathiasen Motorsports,ORECA 07,Ben Keating,Mikkel Jensen,Scott Huffaker,,,PR1 Mathiasen Motorsports ORECA LMP2 07 | LMP2 | 1.Ben Keating 3.Scott Huffaker | 2.Mikkel Jensen
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,54,LMP3,CORE Autosport,Ligier JS P320,Jon Bennett,Colin Braun,George Kurtz,,,CORE Autosport Ligier JS P320 | LMP3 | 1.Jon Bennett 3.George Kurtz | 2.Colin Braun
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,57,GTD,Winward Racing,Mercedes-AMG GT3,Russell Ward,Philip Ellis,Marvin Dienst,,,Winward Racing Mercedes-AMG GT3 | GTD | 1.Russell Ward 3.Marvin Dienst | 2.Philip Ellis
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,59,GTD,Crucial Motorsports,McLaren 720S GT3,Jon Miller,Patrick Gallagher,Paul Holton,,,Crucial Motorsports McLaren 720S GT3 | GTD | 1.Jon Miller 3.Paul Holton | 2.Patrick Gallagher
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,60,DPi,Meyer Shank Racing W/Curb-Agajanian,Acura,Oliver Jarvis,Tom Blomqvist,Stoffel Vandorne,,,Meyer Shank Racing Acura DPi | W/Curb-Agajanian DPi | 1.Oliver Jarvis 3.Stoffel Vandorne | 2.Tom Blomqvist
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,62,GTD PRO,Risi Competizione,Ferrari 488 GT3,Daniel Serra,Davide Rigon,Edward Cheever,,,Risi Competizione Ferrari 488 GT3 | GTDPRO | 1.Daniel Serra 3.Edward Cheever | 2.Davide Rigon
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,63,GTD PRO,TR3 Racing,Lamborghini Huracan GT3,Marco Mapelli,Andrea Caldarelli,Mirko Bortolotti,,,TR3 Racing Lamborghini Huracan GT3 | GTDPRO | 1.Marco Mapelli 3.Mirko Bortolotti | 2.Andrea Caldarelli
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,66,GTD,Gradient Racing,Acura NSX GT3,Kyffin Simpson,Till Bechtolsheimer,Mario Farnbacher,,,Gradient Racing Acura NSX GT3 | GTD | 1.Kyffin Simpson 3.Mario Farnbacher | 2.Till Bechtolsheimer
2022,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2022-03-19,202203191010_Race,70,GTD,inception racing,McLaren 720S GT3,Brendan Iribe,Ollie Millroy,Jordan Pepper,,,inception racing McLaren 720S GT3 | GTD | 1.Brendan Iribe 3.Jordan Pepper | 2.Ollie Millroy
