year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2022,17_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2022-08-28,202208281410_Race,1,GTD,Paul Miller Racing,BMW M4 GT3,Bryan Sellers,Madison Snow,,,,Paul Miller Racing BMW M4 GT3 | GTD | 1.Bryan Sellers | 2.Madison Snow
2022,17_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2022-08-28,202208281410_Race,3,GTD PRO,Corvette Racing Chevrolet,Corvette C8.R,Antonio Garcia,Jordan Taylor,,,,Corvette Racing Chevrolet Corvette C8.R GTD | GTDPRO | 1.Antonio Garcia | 2.Jordan Taylor
2022,17_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2022-08-28,202208281410_Race,9,GTD PRO,Pfaff Motorsports,Porsche 911 GT3R,Matt Campbell,Mathieu Jaminet,,,,Pfaff Motorsports Porsche 911 GT3R | GTDPRO | 1.Matt Campbell | 2.Mathieu Jaminet
2022,17_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2022-08-28,202208281410_Race,12,GTD,VasserSullivan,Lexus RC F GT3,Frankie Montecalvo,Aaron Telitz,,,,VasserSullivan Lexus RC F GT3 | GTD | 1.Frankie Montecalvo | 2.Aaron Telitz
2022,17_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2022-08-28,202208281410_Race,14,GTD PRO,VasserSullivan,Lexus RC F GT3,Jack Hawksworth,Ben Barnicoat,,,,VasserSullivan Lexus RC F GT3 | GTDPRO | 1.Jack Hawksworth | 2.Ben Barnicoat
2022,17_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2022-08-28,202208281410_Race,16,GTD,Wright Motorsports,Porsche 911 GT3R,Ryan Hardwick,Jan Heylen,,,,Wright Motorsports Porsche 911 GT3R | GTD | 1.Ryan Hardwick | 2.Jan Heylen
2022,17_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2022-08-28,202208281410_Race,23,GTD PRO,Heart of Racing Team Aston,Martin Vantage GT3,Ross Gunn,Alex Riberas,,,,Heart of Racing Team Aston Martin Vantage GT3 | GTDPRO | 1.Ross Gunn | 2.Alex Riberas
2022,17_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2022-08-28,202208281410_Race,25,GTD PRO,BMW M Team RLL,BMW M4 GT3,Connor De Phillippi,John Edwards,,,,BMW M Team RLL BMW M4 GT3 | GTDPRO | 1.Connor De Phillippi | 2.John Edwards
2022,17_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2022-08-28,202208281410_Race,27,GTD,Heart of Racing Team Aston,Martin Vantage GT3,Roman De Angelis,Maxime Martin,,,,Heart of Racing Team Aston Martin Vantage GT3 | GTD | 1.Roman De Angelis | 2.Maxime Martin
2022,17_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2022-08-28,202208281410_Race,32,GTD,Team Korthoff Motorsports,Mercedes-AMG GT3,Mike Skeen,Stevan McAleer,,,,Team Korthoff Motorsports Mercedes-AMG GT3 | GTD | 1.Mike Skeen | 2.Stevan McAleer
2022,17_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2022-08-28,202208281410_Race,39,GTD,CarBahn with Peregrine Racing,Lamborghini Huracan GT3,Robert Megennis,Jeff Westphal,,,,CarBahn with Peregrine Racing Lamborghini Huracan GT3 | GTD | 1.Robert Megennis | 2.Jeff Westphal
2022,17_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2022-08-28,202208281410_Race,42,GTD,NTE/SSR Lamborghini,Huracan GT3,Jaden Conwright,Marco Holzer,,,,NTE/SSR Lamborghini Huracan GT3 | GTD | 1.Jaden Conwright | 2.Marco Holzer
2022,17_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2022-08-28,202208281410_Race,44,GTD,Magnus Racing Aston,Martin Vantage GT3,John Potter,Andy Lally,,,,Magnus Racing Aston Martin Vantage GT3 | GTD | 1.John Potter | 2.Andy Lally
2022,17_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2022-08-28,202208281410_Race,51,GTD,Rick Ware Racing,Acura NSX GT3,Ryan Eversley,Aidan Read,,,,Rick Ware Racing Acura NSX GT3 | GTD | 1.Ryan Eversley | 2.Aidan Read
2022,17_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2022-08-28,202208281410_Race,57,GTD,Winward Racing,Mercedes-AMG GT3,Russell Ward,Philip Ellis,,,,Winward Racing Mercedes-AMG GT3 | GTD | 1.Russell Ward | 2.Philip Ellis
2022,17_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2022-08-28,202208281410_Race,79,GTD,WeatherTech Racing,Mercedes-AMG GT3,Cooper MacNeil,Jules Gounon,,,,WeatherTech Racing Mercedes-AMG GT3 | GTD | 1.Cooper MacNeil | 2.Jules Gounon
2022,17_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2022-08-28,202208281410_Race,96,GTD,Turner Motorsport,BMW M4 GT3,Robby Foley,Bill Auberlen,,,,Turner Motorsport BMW M4 GT3 | GTD | 1.Robby Foley | 2.Bill Auberlen
2022,17_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2022-08-28,202208281410_Race,99,GTD,Team Hardpoint,Porsche 911 GT3R,Rob Ferriol,Katherine Legge,,,,Team Hardpoint Porsche 911 GT3R | GTD | 1.Rob Ferriol | 2.Katherine Legge
