year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stint_number,driver,start_time,end_time,segment_type,segment_time,cumulative_track_time,cumulative_driver_time,source_report,source_page,source_column
2022,07_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2022-05-01,202205011210_Race,01,Cadillac Racing | Cadillac DPi DPi,1,S. Bourdais,12:07:10,12:19:38,TRACK,12:28.474,12:28.474,12:28.474,20_Drive Time_Race.PDF,1,1
2022,07_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2022-05-01,202205011210_Race,01,Cadillac Racing | Cadillac DPi DPi,,S. Bourdais,12:19:38,12:55:34,PIT,35:55.875,12:28.474,48:24.349,20_Drive Time_Race.PDF,1,1
2022,07_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2022-05-01,202205011210_Race,01,Cadillac Racing | Cadillac DPi DPi,2,S. Bourdais,12:55:34,12:58:51,TRACK,3:17.132,15:45.606,51:41.481,20_Drive Time_Race.PDF,1,1
2022,07_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2022-05-01,202205011210_Race,01,Cadillac Racing | Cadillac DPi DPi,,S. Bourdais,12:58:51,14:47:10,PIT,1:48:18.519,15:45.606,2:40:00.000,20_Drive Time_Race.PDF,1,1
2022,07_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2022-05-01,202205011210_Race,1,S. Bourdais 15:45.606 | Paul Miller Racing | BMW M4 GT3 GTD,1,M. Snow,12:07:10,12:47:18,TRACK,40:08.904,40:08.904,40:08.904,20_Drive Time_Race.PDF,1,1
2022,07_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2022-05-01,202205011210_Race,1,S. Bourdais 15:45.606 | Paul Miller Racing | BMW M4 GT3 GTD,,M. Snow,12:47:18,12:48:14,PIT,55.945,40:08.904,41:04.849,20_Drive Time_Race.PDF,1,1
2022,07_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2022-05-01,202205011210_Race,1,S. Bourdais 15:45.606 | Paul Miller Racing | BMW M4 GT3 GTD,2,M. Snow,12:48:14,13:43:04,TRACK,54:49.260,1:34:58.164,1:35:54.109,20_Drive Time_Race.PDF,1,1
2022,07_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2022-05-01,202205011210_Race,1,S. Bourdais 15:45.606 | Paul Miller Racing | BMW M4 GT3 GTD,,,13:43:04,13:44:01,PIT,56.951,,56.951,20_Drive Time_Race.PDF,1,1
2022,07_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2022-05-01,202205011210_Race,1,S. Bourdais 15:45.606 | Paul Miller Racing | BMW M4 GT3 GTD,3,B. Sellers,13:44:01,14:47:10,TRACK,1:03:08.940,1:03:08.940,1:03:08.940,20_Drive Time_Race.PDF,1,1
2022,07_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2022-05-01,202205011210_Race,02,Cadillac Racing | Cadillac DPi DPi,1,A. Lynn,12:07:10,12:44:56,TRACK,37:46.056,37:46.056,37:46.056,20_Drive Time_Race.PDF,1,1
