year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,01,GTP,Cadillac Racing,Cadillac V-LMDh,Sebastien Bourdais,Renger van der Zande,Scott Dixon,,,Cadillac Racing Cadillac V-LMDh | GTP | 1.Sebastien Bourdais 3.Scott Dixon | 2.Renger van der Zande
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,1,GTD,Paul Miller Racing,BMW M4 GT3,Bryan Sellers,Madison Snow,Corey Lewis,Maxime Martin,,Paul Miller Racing BMW M4 GT3 | GTD | 1.Bryan Sellers 3.Corey Lewis | 2.Madison Snow 4.Maxime Martin
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,02,GTP,Cadillac Racing,Cadillac V-LMDh,Earl Bamber,Alex Lynn,Richard Westbrook,,,Cadillac Racing Cadillac V-LMDh | GTP | 1.Earl Bamber 3.Richard Westbrook | 2.Alex Lynn
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,3,GTD PRO,Corvette Racing Chevrolet,Corvette C8.R,Antonio Garcia,Jordan Taylor,Tommy Milner,,,Corvette Racing Chevrolet Corvette C8.R GTD | GTDPRO | 1.Antonio Garcia 3.Tommy Milner | 2.Jordan Taylor
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,04,LMP2,Crowdstrike Racing by APR,ORECA 07,George Kurtz,Ben Hanley,Matt McMurry,Esteban Gutierrez,,Crowdstrike Racing by APR ORECA LMP2 07 | LMP2 | 1.George Kurtz 3.Matt McMurry | 2.Ben Hanley 4.Esteban Gutierrez
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,6,GTP,Porsche Penske Motorsports,Porsche 963,Mathieu Jaminet,Nick Tandy,Dane Cameron,,,Porsche Penske Motorsports Porsche 963 | GTP | 1.Mathieu Jaminet 3.Dane Cameron | 2.Nick Tandy
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,7,GTP,Porsche Penske Motorsports,Porsche 963,Matt Campbell,Felipe Nasr,Michael Christensen,,,Porsche Penske Motorsports Porsche 963 | GTP | 1.Matt Campbell 3.Michael Christensen | 2.Felipe Nasr
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,8,LMP2,Tower Motorsports,ORECA 07,John Farano,Scott McLaughlin,Josef Newgarden,Kyffin Simpson,,Tower Motorsports ORECA LMP2 07 | LMP2 | 1.John Farano 3.Josef Newgarden | 2.Scott McLaughlin 4.Kyffin Simpson
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,9,GTD PRO,Pfaff Motorsports Porsche,911 GT3 R (992),Klaus Bachler,Patrick Pilet,Laurens Vanthoor,,,Pfaff Motorsports Porsche 911 GT3 R (992) | GTDPRO | 1.Klaus Bachler 3.Laurens Vanthoor | 2.Patrick Pilet
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,10,GTP,Konica Minolta Acura ARX-06,Acura ARX-06,Ricky Taylor,Filipe Albuquerque,Louis Deletraz,Brendon Hartley,,Konica Minolta Acura ARX-06 Acura ARX-06 | GTP | 1.Ricky Taylor 3.Louis Deletraz | 2.Filipe Albuquerque 4.Brendon Hartley
