year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2023,19_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2023-09-17,202309171310_Race,01,GTP,Cadillac Racing,Cadillac V-Series.R,Sebastien Bourdais,Renger van der Zande,,,,Cadillac Racing Cadillac V-Series.R | GTP | 1.Sebastien Bourdais | 2.Renger van der Zande
2023,19_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2023-09-17,202309171310_Race,1,GTD,Paul Miller Racing,BMW M4 GT3,Bryan Sellers,Madison Snow,,,,Paul Miller Racing BMW M4 GT3 | GTD | 1.Bryan Sellers | 2.Madison Snow
2023,19_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2023-09-17,202309171310_Race,3,GTD PRO,Corvette Racing Chevrolet,Corvette C8.R,Antonio Garcia,Jordan Taylor,,,,Corvette Racing Chevrolet Corvette C8.R GTD | GTDPRO | 1.Antonio Garcia | 2.Jordan Taylor
2023,19_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2023-09-17,202309171310_Race,04,LMP2,Crowdstrike Racing by APR,ORECA 07,George Kurtz,Ben Hanley,,,,Crowdstrike Racing by APR ORECA LMP2 07 | LMP2 | 1.George Kurtz | 2.Ben Hanley
2023,19_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2023-09-17,202309171310_Race,4,LMP3,Ave Motorsports,Ligier JS P320,Kevin Conway,John Geesbreght,,,,Ave Motorsports Ligier JS P320 | LMP3 | 1.Kevin Conway | 2.John Geesbreght
2023,19_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2023-09-17,202309171310_Race,5,GTP,JDC Miller MotorSports,Porsche 963,Tijmen van der Helm,Mike Rockenfeller,,,,JDC Miller MotorSports Porsche 963 | GTP | 1.Tijmen van der Helm | 2.Mike Rockenfeller
2023,19_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2023-09-17,202309171310_Race,6,GTP,Porsche Penske Motorsports,Porsche 963,Nick Tandy,Mathieu Jaminet,,,,Porsche Penske Motorsports Porsche 963 | GTP | 1.Nick Tandy | 2.Mathieu Jaminet
2023,19_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2023-09-17,202309171310_Race,7,GTP,Porsche Penske Motorsports,Porsche 963,Matt Campbell,Felipe Nasr,,,,Porsche Penske Motorsports Porsche 963 | GTP | 1.Matt Campbell | 2.Felipe Nasr
2023,19_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2023-09-17,202309171310_Race,8,LMP2,Tower Motorsports,ORECA 07,Dan Goldburg,Louis Deletraz,,,,Tower Motorsports ORECA LMP2 07 | LMP2 | 1.Dan Goldburg | 2.Louis Deletraz
2023,19_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2023-09-17,202309171310_Race,9,GTD PRO,Pfaff Motorsports Porsche,911 GT3 R (992),Klaus Bachler,Patrick Pilet,,,,Pfaff Motorsports Porsche 911 GT3 R (992) | GTDPRO | 1.Klaus Bachler | 2.Patrick Pilet
2023,19_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2023-09-17,202309171310_Race,10,GTP,Konica Minolta Acura ARX-06,Acura ARX-06,Ricky Taylor,Filipe Albuquerque,,,,Konica Minolta Acura ARX-06 Acura ARX-06 | GTP | 1.Ricky Taylor | 2.Filipe Albuquerque
