year,event_code,event_name,track_slug,race_date,session_directory,position,class_position,car_number,class,category_marker,drivers,team,vehicle,laps,total_time,gap_to_leader,interval,status,best_lap_number,best_lap_time,best_lap_speed_mph,source_report,source_page
2023,19_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2023-09-17,202309171310_Race,1,1,6,GTP,,N. Tandy / M. Jaminet,Porsche Penske Motorsports,Porsche 963,113,2:41:00.878,-,,,42,1:15.600,116.142,03_Results_Race_Official.PDF,1
2023,19_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2023-09-17,202309171310_Race,2,2,7,GTP,,M. Campbell / F. Nasr,Porsche Penske Motorsports,Porsche 963,113,2:41:18.299,17.421,17.421,,7,1:15.524,116.259,03_Results_Race_Official.PDF,1
2023,19_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2023-09-17,202309171310_Race,3,3,25,GTP,,C. De Phillippi / N. Yelloly,BMW M Team RLL,BMW M Hybrid V8,113,2:41:33.842,32.964,15.543,,7,1:16.125,115.341,03_Results_Race_Official.PDF,1
2023,19_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2023-09-17,202309171310_Race,4,4,31,GTP,,P. Derani / A. Sims,Whelen Engineering Cadillac Racing,Cadillac V-Series.R,113,2:41:49.309,48.431,15.467,,42,1:15.960,115.592,03_Results_Race_Official.PDF,1
2023,19_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2023-09-17,202309171310_Race,5,5,10,GTP,,R. Taylor / F. Albuquerque,Konica Minolta Acura ARX-06,Acura ARX-06,113,2:42:00.886,1:00.008,11.577,,51,1:16.347,115.006,03_Results_Race_Official.PDF,1
2023,19_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2023-09-17,202309171310_Race,6,6,60,GTP,,T. Blomqvist / C. Braun,Meyer Shank Racing w/ Curb Agajanian,Acura ARX-06,113,2:42:10.452,1:09.574,9.566,,64,1:16.450,114.851,03_Results_Race_Official.PDF,1
2023,19_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2023-09-17,202309171310_Race,7,7,01,GTP,,S. Bourdais / R. van der Zande,Cadillac Racing,Cadillac V-Series.R,113,2:42:11.864,1:10.986,1.412,,45,1:16.413,114.906,03_Results_Race_Official.PDF,1
2023,19_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2023-09-17,202309171310_Race,8,8,5,GTP,,T. van der Helm / M. Rockenfeller,JDC Miller MotorSports,Porsche 963,113,2:42:12.348,1:11.470,0.484,,65,1:16.477,114.810,03_Results_Race_Official.PDF,1
2023,19_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2023-09-17,202309171310_Race,9,9,59,GTP,,H. Tincknell / G. Bruni,Proton Competition,Porsche 963,113,2:42:14.530,1:13.652,2.182,,49,1:15.887,115.703,03_Results_Race_Official.PDF,1
2023,19_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2023-09-17,202309171310_Race,10,1,11,LMP2,,S. Thomas / M. Jensen,TDS Racing,ORECA LMP2 07,110,2:41:41.634,3 Laps,3,,82,1:16.619,114.597,03_Results_Race_Official.PDF,1
