year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stop_number,in_time,in_driver,out_time,out_driver,pit_time,cumulative_pit_time,source_report,source_page,source_column
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,Paul Miller Racing | BMW M4 GT3 GTD,1,12:53:27.515,M. Snow,12:54:12.082,M. Snow,44.567,44.567,20_Pit Stops Time Cards_Race.PDF,1,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,Paul Miller Racing | BMW M4 GT3 GTD,2,13:14:24.345,M. Snow,13:14:42.271,M. Snow,17.926,1:02.493,20_Pit Stops Time Cards_Race.PDF,1,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,Paul Miller Racing | BMW M4 GT3 GTD,3,13:20:00.541,M. Snow,13:20:32.602,M. Snow,32.061,1:34.554,20_Pit Stops Time Cards_Race.PDF,1,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,Paul Miller Racing | BMW M4 GT3 GTD,4,13:43:39.600,M. Snow,13:44:23.222,B. Sellers,43.622,2:18.176,20_Pit Stops Time Cards_Race.PDF,1,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,3,4 M. Snow B. Sellers 43.622 2:18.176 | Corvette Racing | Chevrolet Corvette C8.R GTD GTDPRO,1,12:39:37.232,A. Garcia,12:40:17.079,A. Garcia,39.847,39.847,20_Pit Stops Time Cards_Race.PDF,1,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,3,4 M. Snow B. Sellers 43.622 2:18.176 | Corvette Racing | Chevrolet Corvette C8.R GTD GTDPRO,2,12:51:58.051,A. Garcia,12:52:28.935,A. Garcia,30.884,1:10.731,20_Pit Stops Time Cards_Race.PDF,1,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,3,4 M. Snow B. Sellers 43.622 2:18.176 | Corvette Racing | Chevrolet Corvette C8.R GTD GTDPRO,3,13:37:17.030,A. Garcia,13:38:10.234,J. Taylor,53.204,2:03.935,20_Pit Stops Time Cards_Race.PDF,1,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,9,3 A. Garcia J. Taylor 53.204 2:03.935 | Pfaff Motorsports | Porsche 911 GT3 R (992) GTDPRO,1,12:51:53.630,P. Pilet,12:52:39.193,K. Bachler,45.563,45.563,20_Pit Stops Time Cards_Race.PDF,1,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,9,3 A. Garcia J. Taylor 53.204 2:03.935 | Pfaff Motorsports | Porsche 911 GT3 R (992) GTDPRO,2,13:39:04.378,K. Bachler,13:39:51.360,K. Bachler,46.982,1:32.545,20_Pit Stops Time Cards_Race.PDF,1,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,12,2 K. Bachler K. Bachler 46.982 1:32.545 | Vasser Sullivan | Lexus RC F GT3 GTD,1,12:53:28.700,F. Montecalvo,12:54:12.651,F. Montecalvo,43.951,43.951,20_Pit Stops Time Cards_Race.PDF,1,1
