year,event_code,event_name,track_slug,race_date,session_directory,car_number,lap_number,driver_number,driver_name,lap_time,sector_1,sector_2,sector_3,speed_mph,elapsed_time,elapsed_delta_ms,elapsed_lap_time_difference_ms,pit_lane_crossing,source_page
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,1,2,Madison Snow,58.853,25.765,20.738,12.350,90.163,58.853,,,0,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,2,2,Madison Snow,54.022,22.712,19.380,11.930,98.226,1:52.875,54022,0,0,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,3,2,Madison Snow,52.706,21.844,19.044,11.818,100.678,2:45.581,52706,0,0,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,4,2,Madison Snow,53.072,21.942,19.195,11.935,99.984,3:38.653,53072,0,0,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,5,2,Madison Snow,52.996,21.897,19.112,11.987,100.128,4:31.649,52996,0,0,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,6,2,Madison Snow,53.185,22.193,19.159,11.833,99.772,5:24.834,53185,0,0,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,7,2,Madison Snow,52.636,21.803,18.954,11.879,100.812,6:17.470,52636,0,0,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,8,2,Madison Snow,52.916,21.931,19.108,11.877,100.279,7:10.386,52916,0,0,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,9,2,Madison Snow,53.008,21.874,19.180,11.954,100.105,8:03.394,53008,0,0,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,10,2,Madison Snow,53.039,21.940,19.152,11.947,100.046,8:56.433,53039,0,0,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,11,2,Madison Snow,52.802,21.779,19.013,12.010,100.495,9:49.235,52802,0,0,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,12,2,Madison Snow,53.129,22.112,19.004,12.013,99.877,10:42.364,53129,0,0,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,13,2,Madison Snow,53.192,21.964,19.124,12.104,99.759,11:35.556,53192,0,0,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,14,2,Madison Snow,53.185,22.147,19.004,12.034,99.772,12:28.741,53185,0,0,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,15,2,Madison Snow,53.280,22.033,19.068,12.179,99.594,13:22.021,53280,0,0,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,16,2,Madison Snow,53.474,22.151,19.198,12.125,99.233,14:15.495,53474,0,0,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,17,2,Madison Snow,53.305,22.133,19.193,11.979,99.547,15:08.800,53305,0,0,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,18,2,Madison Snow,53.398,22.111,19.262,12.025,99.374,16:02.198,53398,0,0,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,19,2,Madison Snow,53.230,22.042,19.237,11.951,99.687,16:55.428,53230,0,0,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,20,2,Madison Snow,53.142,22.076,19.040,12.026,99.852,17:48.570,53142,0,0,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,21,2,Madison Snow,53.592,22.286,19.169,12.137,99.014,18:42.162,53592,0,0,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,22,2,Madison Snow,53.573,22.279,19.230,12.064,99.049,19:35.735,53573,0,0,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,23,2,Madison Snow,53.693,22.257,19.245,12.191,98.828,20:29.428,53693,0,0,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,24,2,Madison Snow,53.661,22.349,19.296,12.016,98.887,21:23.089,53661,0,0,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,25,2,Madison Snow,53.507,22.250,19.262,11.995,99.171,22:16.596,53507,0,0,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,26,2,Madison Snow,53.771,22.270,19.338,12.163,98.684,23:10.367,53771,0,0,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,27,2,Madison Snow,53.740,22.333,19.358,12.049,98.741,24:04.107,53740,0,0,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,28,2,Madison Snow,53.612,22.243,19.329,12.040,98.977,24:57.719,53612,0,0,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,29,2,Madison Snow,53.456,22.058,19.276,12.122,99.266,25:51.175,53456,0,0,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,30,2,Madison Snow,53.830,22.267,19.389,12.174,98.576,26:45.005,53830,0,0,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,31,2,Madison Snow,53.811,22.401,19.311,12.099,98.611,27:38.816,53811,0,0,1
2023,14_Lime Rock Park,Lime Rock Park,lime-rock-park,2023-07-22,202307221210_Race,1,32,2,Madison Snow,53.993,22.459,19.400,12.134,98.279,28:32.809,53993,0,0,1
