year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,1,GTD,Paul Miller Racing,BMW M4 GT3,Bryan Sellers,Madison Snow,,,,Paul Miller Racing BMW M4 GT3 | GTD | 1.Bryan Sellers | 2.Madison Snow
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,3,GTD PRO,Corvette Racing Chevrolet,Corvette C8.R,Antonio Garcia,Jordan Taylor,,,,Corvette Racing Chevrolet Corvette C8.R GTD | GTDPRO | 1.Antonio Garcia | 2.Jordan Taylor
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,6,GTP,Porsche Penske Motorsports,Porsche 963,Nick Tandy,Mathieu Jaminet,,,,Porsche Penske Motorsports Porsche 963 | GTP | 1.Nick Tandy | 2.Mathieu Jaminet
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,7,GTP,Porsche Penske Motorsports,Porsche 963,Matt Campbell,Felipe Nasr,,,,Porsche Penske Motorsports Porsche 963 | GTP | 1.Matt Campbell | 2.Felipe Nasr
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,9,GTD PRO,Pfaff Motorsports Porsche,911 GT3 R (992),Klaus Bachler,Patrick Pilet,,,,Pfaff Motorsports Porsche 911 GT3 R (992) | GTDPRO | 1.Klaus Bachler | 2.Patrick Pilet
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,10,GTP,Konica Minolta Acura ARX-06,Acura ARX-06,Ricky Taylor,Filipe Albuquerque,,,,Konica Minolta Acura ARX-06 Acura ARX-06 | GTP | 1.Ricky Taylor | 2.Filipe Albuquerque
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,12,GTD,Vasser Sullivan,Lexus RC F GT3,Frankie Montecalvo,Aaron Telitz,,,,Vasser Sullivan Lexus RC F GT3 | GTD | 1.Frankie Montecalvo | 2.Aaron Telitz
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,14,GTD PRO,Vasser Sullivan,Lexus RC F GT3,Jack Hawksworth,Ben Barnicoat,,,,Vasser Sullivan Lexus RC F GT3 | GTDPRO | 1.Jack Hawksworth | 2.Ben Barnicoat
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,23,GTD PRO,Heart of Racing Team Aston,Martin Vantage GT3,Ross Gunn,Alex Riberas,,,,Heart of Racing Team Aston Martin Vantage GT3 | GTDPRO | 1.Ross Gunn | 2.Alex Riberas
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,24,GTP,BMW M Team RLL,BMW M Hybrid V8,Philipp Eng,Augusto Farfus,,,,BMW M Team RLL BMW M Hybrid V8 | GTP | 1.Philipp Eng | 2.Augusto Farfus
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,25,GTP,BMW M Team RLL,BMW M Hybrid V8,Connor De Phillippi,Nick Yelloly,,,,BMW M Team RLL BMW M Hybrid V8 | GTP | 1.Connor De Phillippi | 2.Nick Yelloly
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,27,GTD,Heart of Racing Team Aston,Martin Vantage GT3,Roman De Angelis,Marco Sorensen,,,,Heart of Racing Team Aston Martin Vantage GT3 | GTD | 1.Roman De Angelis | 2.Marco Sorensen
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,31,GTP,Whelen Engineering Cadillac Racing,Cadillac V-Series.R,Pipo Derani,Alexander Sims,,,,Whelen Engineering Cadillac Racing Cadillac V-Series.R | GTP | 1.Pipo Derani | 2.Alexander Sims
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,32,GTD,Team Korthoff Motorsports,Mercedes-AMG GT3,Mike Skeen,Mikael Grenier,,,,Team Korthoff Motorsports Mercedes-AMG GT3 | GTD | 1.Mike Skeen | 2.Mikael Grenier
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,57,GTD,Winward Racing,Mercedes-AMG GT3,Russell Ward,Philip Ellis,,,,Winward Racing Mercedes-AMG GT3 | GTD | 1.Russell Ward | 2.Philip Ellis
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,60,GTP,Meyer Shank Racing w/ Curb Agajanian,Acura ARX-06,Tom Blomqvist,Colin Braun,,,,Meyer Shank Racing w/ Curb Acura ARX-06 | Agajanian GTP | 1.Tom Blomqvist | 2.Colin Braun
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,66,GTD,Gradient Racing,Acura NSX GT3,Sheena Monk,Katherine Legge,,,,Gradient Racing Acura NSX GT3 | GTD | 1.Sheena Monk | 2.Katherine Legge
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,70,GTD,Inception Racing McLaren,720S GT3 EVO,Brendan Iribe,Frederik Schandorff,,,,Inception Racing McLaren 720S GT3 EVO | GTD | 1.Brendan Iribe | 2.Frederik Schandorff
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,77,GTD,Wright Motorsports Porsche,911 GT3 R (992),Alan Brynjolfsson,Trent Hindman,,,,Wright Motorsports Porsche 911 GT3 R (992) | GTD | 1.Alan Brynjolfsson | 2.Trent Hindman
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,78,GTD,Forte Racing Powered by USRT Lamborghini,Huracan GT3 EVO2,Misha Goikhberg,Loris Spinelli,,,,Forte Racing Powered by USRT Lamborghini Huracan GT3 EVO2 | GTD | 1.Misha Goikhberg | 2.Loris Spinelli
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,79,GTD PRO,WeatherTech Racing,Mercedes-AMG GT3,Daniel Juncadella,Jules Gounon,,,,WeatherTech Racing Mercedes-AMG GT3 | GTDPRO | 1.Daniel Juncadella | 2.Jules Gounon
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,91,GTD,Kellymoss with Riley Porsche,911 GT3 R (992),Alan Metni,Kay van Berlo,,,,Kellymoss with Riley Porsche 911 GT3 R (992) | GTD | 1.Alan Metni | 2.Kay van Berlo
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,92,GTD,Kellymoss with Riley Porsche,911 GT3 R (992),Alec Udell,Jeroen Bleekemolen,,,,Kellymoss with Riley Porsche 911 GT3 R (992) | GTD | 1.Alec Udell | 2.Jeroen Bleekemolen
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,96,GTD,Turner Motorsport,BMW M4 GT3,Patrick Gallagher,Robby Foley,,,,Turner Motorsport BMW M4 GT3 | GTD | 1.Patrick Gallagher | 2.Robby Foley
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,97,GTD,Turner Motorsport,BMW M4 GT3,Bill Auberlen,Chandler Hull,,,,Turner Motorsport BMW M4 GT3 | GTD | 1.Bill Auberlen | 2.Chandler Hull
