year,event_code,event_name,track_slug,race_date,session_directory,car_number,lap_number,driver_number,driver_name,lap_time,sector_1,sector_2,sector_3,speed_mph,elapsed_time,elapsed_delta_ms,elapsed_lap_time_difference_ms,pit_lane_crossing,source_page
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,1,1,2,Madison Snow,1:36.568,32.533,31.312,32.723,73.365,1:36.568,,,0,1
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,1,2,2,Madison Snow,2:24.533,49.788,53.677,41.068,49.018,4:01.101,144533,0,0,1
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,1,3,2,Madison Snow,2:25.278,53.541,50.881,40.856,48.767,6:26.379,145278,0,0,1
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,1,4,2,Madison Snow,2:18.839,47.102,58.258,33.479,51.028,8:45.218,138839,0,0,1
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,1,5,2,Madison Snow,1:50.779,39.488,42.755,28.536,63.954,10:35.997,110779,0,0,1
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,1,6,2,Madison Snow,1:21.485,26.799,30.805,23.881,86.946,11:57.482,81485,0,0,1
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,1,7,2,Madison Snow,1:20.212,26.180,30.354,23.678,88.325,13:17.694,80212,0,0,1
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,1,8,2,Madison Snow,1:19.968,26.338,30.062,23.568,88.595,14:37.662,79968,0,0,1
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,1,9,2,Madison Snow,1:19.764,26.181,30.062,23.521,88.822,15:57.426,79764,0,0,1
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,1,10,2,Madison Snow,1:19.640,26.109,30.060,23.471,88.960,17:17.066,79640,0,0,1
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,1,11,2,Madison Snow,1:19.394,26.000,29.946,23.448,89.235,18:36.460,79394,0,0,1
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,1,12,2,Madison Snow,1:19.790,26.055,30.100,23.635,88.793,19:56.250,79790,0,0,1
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,1,13,2,Madison Snow,1:19.735,26.173,29.984,23.578,88.854,21:15.985,79735,0,0,1
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,1,14,2,Madison Snow,1:19.956,26.121,30.216,23.619,88.608,22:35.941,79956,0,0,1
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,1,15,2,Madison Snow,1:19.638,26.072,30.071,23.495,88.962,23:55.579,79638,0,0,1
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,1,16,2,Madison Snow,1:19.681,26.001,30.185,23.495,88.914,25:15.260,79681,0,0,1
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,1,17,2,Madison Snow,1:19.696,25.967,30.229,23.500,88.897,26:34.956,79696,0,0,1
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,1,18,2,Madison Snow,1:19.449,25.858,29.986,23.605,89.174,27:54.405,79449,0,0,1
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,1,19,2,Madison Snow,1:19.570,25.915,30.105,23.550,89.038,29:13.975,79570,0,0,1
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,1,20,2,Madison Snow,1:19.634,25.942,30.046,23.646,88.967,30:33.609,79634,0,0,1
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,1,21,2,Madison Snow,1:19.442,25.922,30.042,23.478,89.182,31:53.051,79442,0,0,1
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,1,22,2,Madison Snow,1:19.508,25.951,29.982,23.575,89.108,33:12.559,79508,0,0,1
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,1,23,2,Madison Snow,1:19.566,26.058,30.024,23.484,89.043,34:32.125,79566,0,0,1
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,1,24,2,Madison Snow,1:19.316,25.925,30.014,23.377,89.323,35:51.441,79316,0,0,1
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,1,25,2,Madison Snow,1:31.560,25.914,30.076,35.570,77.378,37:23.001,91560,0,1,1
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,1,26,1,Bryan Sellers,2:12.743,1:16.802,32.076,23.865,53.372,39:35.744,132743,0,0,1
2023,08_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2023-04-15,202304151405_Race,1,27,1,Bryan Sellers,1:20.599,26.635,30.150,23.814,87.901,40:56.343,80599,0,0,1
