year,event_code,event_name,track_slug,race_date,session_directory,position,class_position,car_number,class,category_marker,drivers,team,vehicle,laps,total_time,gap_to_leader,interval,status,best_lap_number,best_lap_time,best_lap_speed_mph,source_report,source_page
2023,17_Road America,Road America,road-america,2023-08-06,202308061010_Race,1,1,7,GTP,,M. Campbell / F. Nasr,Porsche Penske Motorsports,Porsche 963,80,2:41:23.753,-,,,25,1:49.805,132.714,03_Results_Race_Official.PDF,1
2023,17_Road America,Road America,road-america,2023-08-06,202308061010_Race,2,2,60,GTP,,T. Blomqvist / C. Braun,Meyer Shank Racing w/ Curb Agajanian,Acura ARX-06,80,2:41:28.388,4.635,4.635,,50,1:49.794,132.728,03_Results_Race_Official.PDF,1
2023,17_Road America,Road America,road-america,2023-08-06,202308061010_Race,3,3,10,GTP,,R. Taylor / F. Albuquerque,Konica Minolta Acura ARX-06,Acura ARX-06,80,2:41:58.888,35.135,30.500,,22,1:49.676,132.871,03_Results_Race_Official.PDF,1
2023,17_Road America,Road America,road-america,2023-08-06,202308061010_Race,4,4,01,GTP,,S. Bourdais / R. van der Zande,Cadillac Racing,Cadillac V-Series.R,80,2:42:11.074,47.321,12.186,,21,1:50.115,132.341,03_Results_Race_Official.PDF,1
2023,17_Road America,Road America,road-america,2023-08-06,202308061010_Race,5,5,5,GTP,,T. van der Helm / M. Rockenfeller,JDC Miller MotorSports,Porsche 963,80,2:42:41.900,1:18.147,30.826,,71,1:50.090,132.371,03_Results_Race_Official.PDF,1
2023,17_Road America,Road America,road-america,2023-08-06,202308061010_Race,6,6,31,GTP,,P. Derani / A. Sims,Whelen Engineering Cadillac Racing,Cadillac V-Series.R,80,2:42:59.530,1:35.777,17.630,,12,1:50.614,131.744,03_Results_Race_Official.PDF,1
2023,17_Road America,Road America,road-america,2023-08-06,202308061010_Race,7,7,6,GTP,,N. Tandy / M. Jaminet,Porsche Penske Motorsports,Porsche 963,80,2:43:09.074,1:45.321,9.544,,26,1:50.034,132.438,03_Results_Race_Official.PDF,1
2023,17_Road America,Road America,road-america,2023-08-06,202308061010_Race,8,8,59,GTP,,H. Tincknell / G. Bruni,Proton Competition,Porsche 963,80,2:43:11.242,1:47.489,2.168,,49,1:50.602,131.758,03_Results_Race_Official.PDF,1
2023,17_Road America,Road America,road-america,2023-08-06,202308061010_Race,9,1,52,LMP2,,B. Keating / P. Chatin,PR1 Mathiasen Motorsports,ORECA LMP2 07,77,2:42:03.122,3 Laps,3,,53,1:52.685,129.323,03_Results_Race_Official.PDF,1
2023,17_Road America,Road America,road-america,2023-08-06,202308061010_Race,10,2,35,LMP2,,J. Falb / G. van der Garde,TDS Racing,ORECA LMP2 07,77,2:42:12.639,3 Laps,9.517,,55,1:52.571,129.453,03_Results_Race_Official.PDF,1
2023,17_Road America,Road America,road-america,2023-08-06,202308061010_Race,11,3,11,LMP2,,S. Thomas / M. Jensen,TDS Racing,ORECA LMP2 07,77,2:42:33.493,3 Laps,20.854,,48,1:51.913,130.215,03_Results_Race_Official.PDF,1
2023,17_Road America,Road America,road-america,2023-08-06,202308061010_Race,12,4,8,LMP2,,R. Sales / L. Deletraz,Tower Motorsports,ORECA LMP2 07,77,2:42:55.930,3 Laps,22.437,,64,1:52.034,130.074,03_Results_Race_Official.PDF,1
2023,17_Road America,Road America,road-america,2023-08-06,202308061010_Race,13,5,20,LMP2,,D. Andersen / E. Jones,High Class Racing,ORECA LMP2 07,77,2:43:20.635,3 Laps,24.705,,65,1:53.068,128.884,03_Results_Race_Official.PDF,1
2023,17_Road America,Road America,road-america,2023-08-06,202308061010_Race,14,6,18,LMP2,,D. Merriman / R. Dalziel,Era Motorsport,ORECA LMP2 07,76,2:41:32.184,4 Laps,1,,66,1:52.396,129.655,03_Results_Race_Official.PDF,1
2023,17_Road America,Road America,road-america,2023-08-06,202308061010_Race,15,7,04,LMP2,,G. Kurtz / B. Hanley,Crowdstrike Racing by APR,ORECA LMP2 07,76,2:41:44.014,4 Laps,11.830,,65,1:51.846,130.293,03_Results_Race_Official.PDF,1
2023,17_Road America,Road America,road-america,2023-08-06,202308061010_Race,16,1,74,LMP3,,G. Robinson / J. Burdon,Riley,Ligier JS P320,75,2:42:23.955,5 Laps,1,,54,1:59.026,122.433,03_Results_Race_Official.PDF,1
2023,17_Road America,Road America,road-america,2023-08-06,202308061010_Race,17,2,33,LMP3,,N. Pino / J. Barbosa,Sean Creech Motorsport,Ligier JS P320,75,2:42:35.740,5 Laps,11.785,,26,1:58.566,122.908,03_Results_Race_Official.PDF,1
2023,17_Road America,Road America,road-america,2023-08-06,202308061010_Race,18,3,13,LMP3,,O. Fidani / M. Bell,AWA,Duqueine D08,75,2:42:49.611,5 Laps,13.871,,45,1:59.062,122.396,03_Results_Race_Official.PDF,1
2023,17_Road America,Road America,road-america,2023-08-06,202308061010_Race,19,4,30,LMP3,,A. Balogh / G. Grist,Jr III Racing,Ligier JS P320,75,2:43:02.823,5 Laps,13.212,,37,1:58.894,122.569,03_Results_Race_Official.PDF,1
2023,17_Road America,Road America,road-america,2023-08-06,202308061010_Race,20,5,17,LMP3,,A. Mantella / W. Boyd,AWA,Duqueine D08,74,2:42:10.663,6 Laps,1,,36,1:58.831,122.634,03_Results_Race_Official.PDF,1
2023,17_Road America,Road America,road-america,2023-08-06,202308061010_Race,21,1,23,,,R. Gunn / A. Riberas,Heart of Racing Team,Aston Martin Vantage GT3,73,2:43:24.994,7 Laps,1,,46,2:04.441,117.105,03_Results_Race_Official.PDF,1
2023,17_Road America,Road America,road-america,2023-08-06,202308061010_Race,22,6,4,LMP3,,S. Lucas / T. Kasemets,Ave Motorsports,Ligier JS P320,72,2:41:25.717,8 Laps,1,,35,2:00.779,120.656,03_Results_Race_Official.PDF,1
2023,17_Road America,Road America,road-america,2023-08-06,202308061010_Race,23,1,1,GTD,,B. Sellers / M. Snow,Paul Miller Racing,BMW M4 GT3,72,2:41:27.272,8 Laps,1.555,,27,2:05.088,116.500,03_Results_Race_Official.PDF,1
