year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2023,21_Road Atlanta,Road Atlanta,road-atlanta,2023-10-14,202310141140_Race,01,GTP,Cadillac Racing,Cadillac V-Series.R,Sebastien Bourdais,Renger van der Zande,Scott Dixon,,,Cadillac Racing Cadillac V-Series.R | GTP | 1.Sebastien Bourdais 3.Scott Dixon | 2.Renger van der Zande
2023,21_Road Atlanta,Road Atlanta,road-atlanta,2023-10-14,202310141140_Race,1,GTD,Paul Miller Racing,BMW M4 GT3,Bryan Sellers,Madison Snow,Corey Lewis,,,Paul Miller Racing BMW M4 GT3 | GTD | 1.Bryan Sellers 3.Corey Lewis | 2.Madison Snow
2023,21_Road Atlanta,Road Atlanta,road-atlanta,2023-10-14,202310141140_Race,3,GTD PRO,Corvette Racing Chevrolet,Corvette C8.R,Antonio Garcia,Jordan Taylor,Tommy Milner,,,Corvette Racing Chevrolet Corvette C8.R GTD | GTDPRO | 1.Antonio Garcia 3.Tommy Milner | 2.Jordan Taylor
2023,21_Road Atlanta,Road Atlanta,road-atlanta,2023-10-14,202310141140_Race,04,LMP2,Crowdstrike Racing by APR,ORECA 07,George Kurtz,Ben Hanley,Nolan Siegel,,,Crowdstrike Racing by APR ORECA LMP2 07 | LMP2 | 1.George Kurtz 3.Nolan Siegel | 2.Ben Hanley
2023,21_Road Atlanta,Road Atlanta,road-atlanta,2023-10-14,202310141140_Race,5,GTP,JDC Miller MotorSports,Porsche 963,Tijmen van der Helm,Mike Rockenfeller,Jenson Button,,,JDC Miller MotorSports Porsche 963 | GTP | 1.Tijmen van der Helm 3.Jenson Button | 2.Mike Rockenfeller
2023,21_Road Atlanta,Road Atlanta,road-atlanta,2023-10-14,202310141140_Race,6,GTP,Porsche Penske Motorsports,Porsche 963,Nick Tandy,Mathieu Jaminet,Laurens Vanthoor,,,Porsche Penske Motorsports Porsche 963 | GTP | 1.Nick Tandy 3.Laurens Vanthoor | 2.Mathieu Jaminet
2023,21_Road Atlanta,Road Atlanta,road-atlanta,2023-10-14,202310141140_Race,7,GTP,Porsche Penske Motorsports,Porsche 963,Matt Campbell,Felipe Nasr,Josef Newgarden,,,Porsche Penske Motorsports Porsche 963 | GTP | 1.Matt Campbell 3.Josef Newgarden | 2.Felipe Nasr
2023,21_Road Atlanta,Road Atlanta,road-atlanta,2023-10-14,202310141140_Race,8,LMP2,Tower Motorsports,ORECA 07,Ari Balogh,Scott McLaughlin,Kyffin Simpson,,,Tower Motorsports ORECA LMP2 07 | LMP2 | 1.Ari Balogh 3.Kyffin Simpson | 2.Scott McLaughlin
2023,21_Road Atlanta,Road Atlanta,road-atlanta,2023-10-14,202310141140_Race,9,GTD PRO,Pfaff Motorsports Porsche,911 GT3 R (992),Klaus Bachler,Patrick Pilet,Kevin Estre,,,Pfaff Motorsports Porsche 911 GT3 R (992) | GTDPRO | 1.Klaus Bachler 3.Kevin Estre | 2.Patrick Pilet
2023,21_Road Atlanta,Road Atlanta,road-atlanta,2023-10-14,202310141140_Race,10,GTP,Konica Minolta Acura ARX-06,Acura ARX-06,Ricky Taylor,Filipe Albuquerque,Louis Deletraz,,,Konica Minolta Acura ARX-06 Acura ARX-06 | GTP | 1.Ricky Taylor 3.Louis Deletraz | 2.Filipe Albuquerque
