year,event_code,event_name,track_slug,race_date,session_directory,sequence,flag,clock_time,session_elapsed,session_elapsed_ms,flag_time,flag_time_ms,cumulative_flag_time,cumulative_flag_time_ms,lap,source_report,source_page
2023,07_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2023-03-18,202303181010_Race,1,GREEN FLAG,10:11:16.954,-,,1:46.862,106862,1:46.862,106862,1,25_FlagsAnalysis_Race.PDF,1
2023,07_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2023-03-18,202303181010_Race,2,FULL COURSE YELLOW,10:13:03.816,1:46.862,106862,8:02.981,482981,8:02.981,482981,1,25_FlagsAnalysis_Race.PDF,1
2023,07_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2023-03-18,202303181010_Race,3,GREEN FLAG,10:21:06.797,9:49.843,589843,51:57.621,3117621,53:44.483,3224483,3,25_FlagsAnalysis_Race.PDF,1
2023,07_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2023-03-18,202303181010_Race,4,FULL COURSE YELLOW,11:13:04.418,1:01:47.464,3707464,25:24.644,1524644,33:27.625,2007625,31,25_FlagsAnalysis_Race.PDF,1
2023,07_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2023-03-18,202303181010_Race,5,GREEN FLAG,11:38:29.062,1:27:12.108,5232108,32:03.475,1923475,1:25:47.958,5147958,37,25_FlagsAnalysis_Race.PDF,1
2023,07_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2023-03-18,202303181010_Race,6,FULL COURSE YELLOW,12:10:32.537,1:59:15.583,7155583,0.219,219,33:27.844,2007844,55,25_FlagsAnalysis_Race.PDF,1
2023,07_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2023-03-18,202303181010_Race,7,FULL COURSE YELLOW,12:10:32.756,1:59:15.802,7155802,25:22.828,1522828,58:50.672,3530672,55,25_FlagsAnalysis_Race.PDF,1
2023,07_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2023-03-18,202303181010_Race,8,GREEN FLAG,12:35:55.584,2:24:38.630,8678630,0.183,183,1:25:48.141,5148141,61,25_FlagsAnalysis_Race.PDF,1
2023,07_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2023-03-18,202303181010_Race,9,GREEN FLAG,12:35:55.767,2:24:38.813,8678813,2:23:43.343,8623343,3:49:31.484,13771484,61,25_FlagsAnalysis_Race.PDF,1
2023,07_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2023-03-18,202303181010_Race,10,FULL COURSE YELLOW,14:59:39.110,4:48:22.156,17302156,26:57.316,1617316,1:25:47.988,5147988,137,25_FlagsAnalysis_Race.PDF,1
2023,07_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2023-03-18,202303181010_Race,11,GREEN FLAG,15:26:36.426,5:15:19.472,18919472,57:23.883,3443883,4:46:55.367,17215367,144,25_FlagsAnalysis_Race.PDF,1
2023,07_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2023-03-18,202303181010_Race,12,FULL COURSE YELLOW,16:24:00.309,6:12:43.355,22363355,20:32.500,1232500,1:46:20.488,6380488,175,25_FlagsAnalysis_Race.PDF,1
2023,07_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2023-03-18,202303181010_Race,13,GREEN FLAG,16:44:32.809,6:33:15.855,23595855,23:00.472,1380472,5:09:55.839,18595839,180,25_FlagsAnalysis_Race.PDF,1
2023,07_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2023-03-18,202303181010_Race,14,FULL COURSE YELLOW,17:07:33.281,6:56:16.327,24976327,23:49.656,1429656,2:10:10.144,7810144,193,25_FlagsAnalysis_Race.PDF,1
