year,event_code,event_name,track_slug,race_date,session_directory,position,class_position,car_number,class,category_marker,drivers,team,vehicle,laps,total_time,gap_to_leader,interval,status,best_lap_number,best_lap_time,best_lap_speed_mph,source_report,source_page
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,1,1,25,GTP,,C. De Phillippi / N. Yelloly,BMW M Team RLL,BMW M Hybrid V8,201,6:03:09.715,2.120,2.120,,135,1:33.342,131.130,03_Results_Race_Official.PDF,1
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,2,2,31,GTP,,P. Derani / A. Sims / J. Aitken,Whelen Engineering Cadillac Racing,Cadillac V-Series.R,201,6:03:21.793,14.198,12.078,,146,1:33.028,131.573,03_Results_Race_Official.PDF,1
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,3,3,60,GTP,,T. Blomqvist / C. Braun,Meyer Shank Racing w/ Curb Agajanian,Acura ARX-06,201,6:03:30.136,22.541,8.343,,163,1:33.533,130.862,03_Results_Race_Official.PDF,1
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,4,4,5,GTP,,T. van der Helm / M. Rockenfeller,JDC Miller MotorSports,Porsche 963,199,6:03:55.761,2 Laps,2,,44,1:34.557,129.445,03_Results_Race_Official.PDF,1
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,5,5,01,GTP,,S. Bourdais / R. van der Zande,Cadillac Racing,Cadillac V-Series.R,197,6:03:57.781,4 Laps,2,,135,1:34.047,130.147,03_Results_Race_Official.PDF,1
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,6,1,04,LMP2,,G. Kurtz / B. Hanley / N. Siegel,Crowdstrike Racing by APR,ORECA LMP2 07,196,6:03:12.433,5 Laps,1,,145,1:35.856,127.691,03_Results_Race_Official.PDF,1
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,7,2,18,LMP2,,D. Merriman / R. Dalziel C. Rasmussen,Era Motorsport,ORECA LMP2 07,196,6:03:12.758,5 Laps,0.325,,135,1:35.661,127.951,03_Results_Race_Official.PDF,1
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,8,3,52,LMP2,,B. Keating / P. Chatin / A. Quinn,PR1 Mathiasen Motorsports,ORECA LMP2 07,196,6:03:38.709,5 Laps,25.951,,135,1:35.404,128.296,03_Results_Race_Official.PDF,1
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,9,4,35,LMP2,,J. Falb / G. van der Garde J. Pierson,TDS Racing,ORECA LMP2 07,195,6:03:09.245,6 Laps,1,,162,1:35.626,127.998,03_Results_Race_Official.PDF,1
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,10,5,8,LMP2,,S. Yoluc / K. Simpson / W. Stevens,Tower Motorsports,ORECA LMP2 07,195,6:04:08.010,6 Laps,58.765,,156,1:36.143,127.310,03_Results_Race_Official.PDF,1
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,11,6,88,LMP2,,L. Perez Companc L. Wadoux Ducellier / N. Nielsen,AF Corse,ORECA LMP2 07,193,6:03:32.007,8 Laps,2,,126,1:36.230,127.195,03_Results_Race_Official.PDF,1
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,12,1,74,LMP3,,G. Robinson / F. Fraga / J. Burdon,Riley,Ligier JS P320,189,6:03:40.345,12 Laps,4,,124,1:41.554,120.527,03_Results_Race_Official.PDF,1
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,13,2,30,LMP3,,G. Grist / D. Dickerson / D. Murry,Jr III Racing,Ligier JS P320,189,6:03:44.634,12 Laps,4.289,,124,1:41.523,120.563,03_Results_Race_Official.PDF,1
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,14,3,17,LMP3,,A. Mantella / W. Boyd / N. Varrone,AWA,Duqueine D08,189,6:03:50.460,12 Laps,5.826,,129,1:40.766,121.469,03_Results_Race_Official.PDF,1
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,15,4,36,LMP3,,J. Andretti / G. Chaves G. van Berlo,Andretti Autosport,Ligier JS P320,188,6:03:15.339,13 Laps,1,,8,1:41.503,120.587,03_Results_Race_Official.PDF,1
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,16,5,13,LMP3,,O. Fidani / M. Bell / L. Kern,AWA,Duqueine D08,188,6:03:17.742,13 Laps,2.403,,125,1:41.871,120.151,03_Results_Race_Official.PDF,1
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,17,6,4,LMP3,,S. Lucas / T. Kasemets / T. Estep,Ave Motorsports,Ligier JS P320,187,6:03:30.893,14 Laps,1,,123,1:42.267,119.686,03_Results_Race_Official.PDF,1
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,18,7,33,LMP3,,J. Barbosa / N. Pino / L. Willsey,Sean Creech Motorsport,Ligier JS P320,187,6:03:46.125,14 Laps,15.232,,80,1:41.873,120.149,03_Results_Race_Official.PDF,1
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,19,8,54,LMP3,,J. Rabe / A. Pinkerton / S. McAleer,MLT Motorsports,Ligier JS P320,185,6:03:34.704,16 Laps,2,,172,1:42.488,119.428,03_Results_Race_Official.PDF,1
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,20,1,12,GTD,,F. Montecalvo / A. Telitz P. Thompson,Vasser Sullivan,Lexus RC F GT3,183,6:03:19.892,18 Laps,2,,156,1:46.693,114.721,03_Results_Race_Official.PDF,1
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,21,1,14,,,J. Hawksworth / B. Barnicoat,Vasser Sullivan,Lexus RC F GT3,183,6:03:25.979,18 Laps,6.087,,25,1:46.375,115.064,03_Results_Race_Official.PDF,1
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,22,2,62,,,D. Serra / D. Rigon,Risi Competizione,Ferrari 296 GT3,183,6:03:27.343,18 Laps,1.364,,41,1:45.879,115.603,03_Results_Race_Official.PDF,1
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,23,3,3,,,A. Garcia / J. Taylor,Corvette Racing,Chevrolet Corvette C8.R GTD,183,6:03:28.559,18 Laps,1.216,,86,1:46.839,114.564,03_Results_Race_Official.PDF,1
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,24,4,79,,,D. Juncadella / J. Gounon,WeatherTech Racing,Mercedes-AMG GT3,183,6:03:36.787,18 Laps,8.228,,36,1:47.001,114.391,03_Results_Race_Official.PDF,1
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,25,2,1,GTD,,B. Sellers / M. Snow / C. Lewis,Paul Miller Racing,BMW M4 GT3,183,6:03:37.453,18 Laps,0.666,,40,1:46.701,114.713,03_Results_Race_Official.PDF,1
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,26,3,16,GTD,B,R. Hardwick / Z. Robichon J. Heylen,Wright Motorsports,Porsche 911 GT3 R (992),183,6:03:43.707,18 Laps,6.254,,118,1:47.104,114.281,03_Results_Race_Official.PDF,1
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,27,4,023,GTD,B,O. Triarsi / C. Scardina / A. Rovera,Triarsi Competizione,Ferrari 296 GT3,183,6:03:51.029,18 Laps,7.322,,152,1:46.156,115.302,03_Results_Race_Official.PDF,1
2023,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2023-06-25,202306251040_Race,28,5,66,GTD,B,S. Monk / K. Legge / M. Miller,Gradient Racing,Acura NSX GT3,183,6:03:54.273,18 Laps,3.244,,96,1:46.790,114.617,03_Results_Race_Official.PDF,1
