year,event_code,event_name,track_slug,race_date,session_directory,sequence,flag,clock_time,session_elapsed,session_elapsed_ms,flag_time,flag_time_ms,cumulative_flag_time,cumulative_flag_time_ms,lap,source_report,source_page
2023,10_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2023-05-14,202305141210_Race,1,GREEN FLAG,12:10:55.101,-,,1:47.343,107343,1:47.343,107343,1,25_FlagsAnalysis_Race.PDF,1
2023,10_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2023-05-14,202305141210_Race,2,FULL COURSE YELLOW,12:12:42.444,1:47.343,107343,6:12.577,372577,6:12.577,372577,2,25_FlagsAnalysis_Race.PDF,1
2023,10_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2023-05-14,202305141210_Race,3,GREEN FLAG,12:18:55.021,7:59.920,479920,9:22.597,562597,11:09.940,669940,4,25_FlagsAnalysis_Race.PDF,1
2023,10_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2023-05-14,202305141210_Race,4,FULL COURSE YELLOW,12:28:17.618,17:22.517,1042517,18:50.252,1130252,25:02.829,1502829,12,25_FlagsAnalysis_Race.PDF,1
2023,10_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2023-05-14,202305141210_Race,5,GREEN FLAG,12:47:07.870,36:12.769,2172769,21:46.445,1306445,32:56.385,1976385,19,25_FlagsAnalysis_Race.PDF,1
2023,10_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2023-05-14,202305141210_Race,6,FULL COURSE YELLOW,13:08:54.315,57:59.214,3479214,18:09.168,1089168,43:11.997,2591997,36,25_FlagsAnalysis_Race.PDF,1
2023,10_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2023-05-14,202305141210_Race,7,GREEN FLAG,13:27:03.483,1:16:08.382,4568382,27:30.240,1650240,1:00:26.625,3626625,43,25_FlagsAnalysis_Race.PDF,1
2023,10_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2023-05-14,202305141210_Race,8,FULL COURSE YELLOW,13:54:33.723,1:43:38.622,6218622,15:22.927,922927,58:34.924,3514924,64,25_FlagsAnalysis_Race.PDF,1
2023,10_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2023-05-14,202305141210_Race,9,GREEN FLAG,14:09:56.650,1:59:01.549,7141549,42:01.383,2521383,1:42:28.008,6148008,70,25_FlagsAnalysis_Race.PDF,1
2023,10_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2023-05-14,202305141210_Race,10,CHEQUERED FLAG,14:51:58.034,2:41:02.932,9662932,-,,-,,102,25_FlagsAnalysis_Race.PDF,1
