year,event_code,event_name,track_slug,race_date,session_directory,position,class_position,car_number,class,category_marker,drivers,team,vehicle,laps,total_time,gap_to_leader,interval,status,best_lap_number,best_lap_time,best_lap_speed_mph,source_report,source_page
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,1,1,7,GTP,,D. Cameron / F. Nasr M. Campbell / J. Newgarden,Porsche Penske Motorsports,Porsche 963,791,23:58:24.723,-,,,637,1:35.605,134.051,03_Results_Race_Official.PDF,1
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,2,2,31,GTP,,P. Derani / J. Aitken / T. Blomqvist,Whelen Engineering Cadillac Racing,Cadillac V-Series.R,791,23:58:26.835,2.112,2.112,,777,1:35.554,134.123,03_Results_Race_Official.PDF,1
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,3,3,40,GTP,,J. Taylor / L. Deletraz / C. Herta J. Button,Wayne Taylor Racing with Andretti,Acura ARX-06,791,23:58:39.712,14.989,12.877,,774,1:35.971,133.540,03_Results_Race_Official.PDF,1
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,4,4,6,GTP,,N. Tandy / M. Jaminet / K. Estre L. Vanthoor,Porsche Penske Motorsports,Porsche 963,791,23:58:40.110,15.387,0.398,,693,1:35.885,133.660,03_Results_Race_Official.PDF,1
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,5,5,5,GTP,,G. Bruni / N. Jani / A. Picariello R. Dumas,Proton Competition Mustang Sampling,Porsche 963,791,23:59:09.202,44.479,29.092,,638,1:35.715,133.897,03_Results_Race_Official.PDF,1
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,6,6,85,GTP,,T. van der Helm / R. Westbrook P. Hanson / B. Keating,JDC-Miller MotorSports,Porsche 963,789,23:59:19.406,2 Laps,2,,638,1:36.105,133.354,03_Results_Race_Official.PDF,1
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,7,7,25,GTP,,C. De Phillippi / N. Yelloly M. Martin / R. Rast,BMW M Team RLL,BMW M Hybrid V8,778,23:59:03.365,13 Laps,11,,651,1:36.053,133.426,03_Results_Race_Official.PDF,1
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,8,8,24,GTP,,J. Krohn / P. Eng / A. Farfus D. Vanthoor,BMW M Team RLL,BMW M Hybrid V8,776,23:59:20.969,15 Laps,2,,763,1:36.139,133.307,03_Results_Race_Official.PDF,1
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,9,1,18,LMP2,,D. Merriman / R. Dalziel C. Zilisch / C. Rasmussen,Era Motorsport,ORECA LMP2 07,767,23:59:46.247,24 Laps,9,,755,1:39.460,128.856,03_Results_Race_Official.PDF,1
2024,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2024-01-27,202401271340_Race,10,2,04,LMP2,,G. Kurtz / C. Braun / T. Sowery M. Jakobsen,Crowdstrike Racing by APR,ORECA LMP2 07,767,23:59:53.047,24 Laps,6.800,,683,1:39.392,128.944,03_Results_Race_Official.PDF,1
