year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stint_number,driver,start_time,end_time,segment_type,segment_time,cumulative_track_time,cumulative_driver_time,source_report,source_page,source_column
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,01,Cadillac Racing | Cadillac V-Series.R GTP,1,S. Bourdais,15:10:04,15:39:01,TRACK,28:57.194,28:57.194,28:57.194,20_Drive Time_Race.PDF,1,1
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,01,Cadillac Racing | Cadillac V-Series.R GTP,,,15:39:01,15:39:36,PIT,35.002,,35.002,20_Drive Time_Race.PDF,1,1
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,01,Cadillac Racing | Cadillac V-Series.R GTP,2,R. van der Zande,15:39:36,16:50:04,TRACK,1:10:27.804,1:10:27.804,1:10:27.804,20_Drive Time_Race.PDF,1,1
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,1,S. Bourdais 28:57.194 28:57.194 | Paul Miller Racing | BMW M4 GT3 GTDPRO,1,M. Snow,15:10:04,15:30:00,TRACK,19:56.702,19:56.702,19:56.702,20_Drive Time_Race.PDF,1,1
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,1,S. Bourdais 28:57.194 28:57.194 | Paul Miller Racing | BMW M4 GT3 GTDPRO,,,15:30:00,15:30:36,PIT,36.125,,36.125,20_Drive Time_Race.PDF,1,1
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,1,S. Bourdais 28:57.194 28:57.194 | Paul Miller Racing | BMW M4 GT3 GTDPRO,2,B. Sellers,15:30:36,16:50:04,TRACK,1:19:27.173,1:19:27.173,1:19:27.173,20_Drive Time_Race.PDF,1,1
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,3,Corvette Racing by Pratt Miller Motorsports | Chevrolet Corvette Z06 GT3.R GTDPRO,1,A. Garcia,15:10:04,15:11:33,TRACK,1:29.137,1:29.137,1:29.137,20_Drive Time_Race.PDF,1,1
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,3,Corvette Racing by Pratt Miller Motorsports | Chevrolet Corvette Z06 GT3.R GTDPRO,,A. Garcia,15:11:33,15:30:47,PIT,19:13.815,1:29.137,20:42.952,20_Drive Time_Race.PDF,1,1
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,3,Corvette Racing by Pratt Miller Motorsports | Chevrolet Corvette Z06 GT3.R GTDPRO,2,A. Garcia,15:30:47,15:50:29,TRACK,19:42.126,21:11.263,40:25.078,20_Drive Time_Race.PDF,1,1
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,3,Corvette Racing by Pratt Miller Motorsports | Chevrolet Corvette Z06 GT3.R GTDPRO,,,15:50:29,15:51:03,PIT,34.750,,34.750,20_Drive Time_Race.PDF,1,1
