year,event_code,event_name,track_slug,race_date,session_directory,position,class_position,car_number,class,category_marker,drivers,team,vehicle,laps,total_time,gap_to_leader,interval,status,best_lap_number,best_lap_time,best_lap_speed_mph,source_report,source_page
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,1,1,10,GTP,,R. Taylor / F. Albuquerque,Wayne Taylor Racing with Andretti,Acura ARX-06,75,1:40:02.133,-,,,15,1:06.209,89.444,03_Results_Race_Official.PDF,1
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,2,2,6,GTP,,N. Tandy / M. Jaminet,Porsche Penske Motorsport,Porsche 963,75,1:40:03.265,1.132,1.132,,14,1:05.874,89.898,03_Results_Race_Official.PDF,1
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,3,3,01,GTP,,R. van der Zande / S. Bourdais,Cadillac Racing,Cadillac V-Series.R,75,1:40:06.331,4.198,3.066,,16,1:06.255,89.381,03_Results_Race_Official.PDF,1
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,4,4,7,GTP,,D. Cameron / F. Nasr,Porsche Penske Motorsport,Porsche 963,75,1:40:07.275,5.142,0.944,,32,1:06.260,89.375,03_Results_Race_Official.PDF,1
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,5,5,40,GTP,,J. Taylor / L. Deletraz,Wayne Taylor Racing with Andretti,Acura ARX-06,75,1:40:12.253,10.120,4.978,,21,1:06.366,89.232,03_Results_Race_Official.PDF,1
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,6,6,31,GTP,,P. Derani / J. Aitken,Whelen Cadillac Racing,Cadillac V-Series.R,75,1:40:12.492,10.359,0.239,,23,1:06.126,89.556,03_Results_Race_Official.PDF,1
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,7,7,24,GTP,,J. Krohn / P. Eng,BMW M Team RLL,BMW M Hybrid V8,75,1:40:12.926,10.793,0.434,,27,1:06.336,89.272,03_Results_Race_Official.PDF,1
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,8,8,85,GTP,,T. van der Helm / R. Westbrook,JDC-Miller MotorSports,Porsche 963,74,1:40:16.425,1 Lap,1,,15,1:06.933,88.476,03_Results_Race_Official.PDF,1
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,9,1,77,,,L. Heinrich / S. Priaulx,AO Racing,Porsche 911 GT3 R (992),74,1:40:28.354,1 Lap,11.929,,24,1:10.086,84.496,03_Results_Race_Official.PDF,1
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,10,2,14,,,J. Hawksworth / B. Barnicoat,VasserSullivan,Lexus RC F GT3,74,1:40:31.239,1 Lap,2.885,,14,1:10.060,84.527,03_Results_Race_Official.PDF,1
