year,event_code,event_name,track_slug,race_date,session_directory,report_name,report_url,local_pdf,sha256,bytes,report_family,selection,download_status,parser_version,pages,parsed_rows,error
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,01_Grid_Race_Official.PDF,https://imsa.results.alkamelcloud.com/Results/24_2024/09_Detroit%20Street%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/202406011510_Race/01_Grid_Race_Official.PDF,pdfs/01_Grid_Race_Official.PDF,96a559dcdda6ed091f35306baadae1263c4d679f3088ef9a49f5028e09779486,199966,,unsupported,existing,,,,
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,01_Grid_Race_Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/24_2024/09_Detroit%20Street%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/202406011510_Race/01_Grid_Race_Provisional.PDF,pdfs/01_Grid_Race_Provisional.PDF,9d7d9cec5dfb2578c9aa603c097ae287e01a801553965a4a6a6b069f2c26148e,199973,,unsupported,existing,,,,
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,01_Starting Grid by Number_Race_Official.PDF,https://imsa.results.alkamelcloud.com/Results/24_2024/09_Detroit%20Street%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/202406011510_Race/01_Starting%20Grid%20by%20Number_Race_Official.PDF,pdfs/01_Starting Grid by Number_Race_Official.PDF,a2b78d6e853cc193152f3ceb1c760058b66332f06094f1f26a006c89960d9c44,113748,,unsupported,existing,,,,
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,01_Starting Grid by Number_Race_Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/24_2024/09_Detroit%20Street%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/202406011510_Race/01_Starting%20Grid%20by%20Number_Race_Provisional.PDF,pdfs/01_Starting Grid by Number_Race_Provisional.PDF,842a48e1256afa26150f9684d73a7494c2c52732feb6d0ae609c943f96eaadcc,113702,,unsupported,existing,,,,
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,03_Results_Race_Official.PDF,https://imsa.results.alkamelcloud.com/Results/24_2024/09_Detroit%20Street%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/202406011510_Race/03_Results_Race_Official.PDF,pdfs/03_Results_Race_Official.PDF,0556a9b94f2c35839b9110bd679ca2b3d7c990e26307e90cf033e647e1a54b76,213906,results,preferred,existing,reports-1,2,21,
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,03_Results_Race_Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/24_2024/09_Detroit%20Street%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/202406011510_Race/03_Results_Race_Provisional.PDF,pdfs/03_Results_Race_Provisional.PDF,2996ac6622bfde2ccce479ecae154f1fa0646b40d6daedb7058340f28984d03b,213900,results,alternate,existing,,,,
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,03_Results_Race_Unofficial.PDF,https://imsa.results.alkamelcloud.com/Results/24_2024/09_Detroit%20Street%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/202406011510_Race/03_Results_Race_Unofficial.PDF,pdfs/03_Results_Race_Unofficial.PDF,fc5a8a108ef7409a0381f0f2e5df48ca609a0f57b3339852ffadd3c3401ec037,146054,results,alternate,existing,,,,
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,05_Results by Class_Race_Official.PDF,https://imsa.results.alkamelcloud.com/Results/24_2024/09_Detroit%20Street%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/202406011510_Race/05_Results%20by%20Class_Race_Official.PDF,pdfs/05_Results by Class_Race_Official.PDF,097935d6847014ce080a274f2482aeae65c3e3d8dd4072bd8a6242ad95f2938b,210146,,unsupported,existing,,,,
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,05_Results by Class_Race_Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/24_2024/09_Detroit%20Street%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/202406011510_Race/05_Results%20by%20Class_Race_Provisional.PDF,pdfs/05_Results by Class_Race_Provisional.PDF,aaa71264964e955527e267637a5005ba860e5f38d51f351274af1e0b24114d83,210136,,unsupported,existing,,,,
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,05_Results by Class_Race_Unofficial.PDF,https://imsa.results.alkamelcloud.com/Results/24_2024/09_Detroit%20Street%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/202406011510_Race/05_Results%20by%20Class_Race_Unofficial.PDF,pdfs/05_Results by Class_Race_Unofficial.PDF,4208956854c73dd65a891b52db1aaaa5614364880878101973ccd61d51753f69,142297,,unsupported,existing,,,,
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,06_Fastest Lap By Driver_Race.PDF,https://imsa.results.alkamelcloud.com/Results/24_2024/09_Detroit%20Street%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/202406011510_Race/06_Fastest%20Lap%20By%20Driver_Race.PDF,pdfs/06_Fastest Lap By Driver_Race.PDF,7b8372197c0bdc6abbdeb4d0a90f147685bb3b2051f78a87a5b2d3b19c531365,121602,fastest_laps_by_driver,preferred,existing,reports-1,2,42,
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,07_Fastest Lap By Driver After_Race.PDF,https://imsa.results.alkamelcloud.com/Results/24_2024/09_Detroit%20Street%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/202406011510_Race/07_Fastest%20Lap%20By%20Driver%20After_Race.PDF,pdfs/07_Fastest Lap By Driver After_Race.PDF,a1cd03de823867ce5ba2c4614c781749cc5390477d62ff0ab19127ca75d0da13,107314,,unsupported,existing,,,,
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,07_Fastest Lap By Driver and Class After_Race.PDF,https://imsa.results.alkamelcloud.com/Results/24_2024/09_Detroit%20Street%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/202406011510_Race/07_Fastest%20Lap%20By%20Driver%20and%20Class%20After_Race.PDF,pdfs/07_Fastest Lap By Driver and Class After_Race.PDF,f56e6dbfd6652585e2f5f0fea04810721f88302171484fdf26ec340493e6d010,117900,,unsupported,existing,,,,
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,12_Lap Chart_Race.PDF,https://imsa.results.alkamelcloud.com/Results/24_2024/09_Detroit%20Street%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/202406011510_Race/12_Lap%20Chart_Race.PDF,pdfs/12_Lap Chart_Race.PDF,f73e9157ef771dbdbf2aa9f7bb6d9ef4363eb901f5df155cb64a4bb7a436d5b8,137415,,unsupported,existing,,,,
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,13_Best Sector Times_Race.PDF,https://imsa.results.alkamelcloud.com/Results/24_2024/09_Detroit%20Street%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/202406011510_Race/13_Best%20Sector%20Times_Race.PDF,pdfs/13_Best Sector Times_Race.PDF,f766360d7cf12b727f86c7255749a31a31b560718345339efad6e98a05daf989,190395,,unsupported,existing,,,,
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,15_LeaderSequence_Race.PDF,https://imsa.results.alkamelcloud.com/Results/24_2024/09_Detroit%20Street%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/202406011510_Race/15_LeaderSequence_Race.PDF,pdfs/15_LeaderSequence_Race.PDF,7524813643910f09bedf85fb393e080b16b34d6f3c87742b2235777a524f7c0d,106879,,unsupported,existing,,,,
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,16_Average Distance And Speed_Race.PDF,https://imsa.results.alkamelcloud.com/Results/24_2024/09_Detroit%20Street%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/202406011510_Race/16_Average%20Distance%20And%20Speed_Race.PDF,pdfs/16_Average Distance And Speed_Race.PDF,f2d9ee8406add919c17aae3fc2ddbea3ff41d7c0155774eecdc5305d62e4fce7,121391,,unsupported,existing,,,,
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,17_FastestLapSequence_Race.PDF,https://imsa.results.alkamelcloud.com/Results/24_2024/09_Detroit%20Street%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/202406011510_Race/17_FastestLapSequence_Race.PDF,pdfs/17_FastestLapSequence_Race.PDF,44d800901322f50f19ada0cb5a0034df2f7bcab9c528fdee10e5b859bd9bf8c0,114063,,unsupported,existing,,,,
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,19_AnalysisByLap_Race.PDF,https://imsa.results.alkamelcloud.com/Results/24_2024/09_Detroit%20Street%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/202406011510_Race/19_AnalysisByLap_Race.PDF,pdfs/19_AnalysisByLap_Race.PDF,8a5ecd05fbcf8a00f48706a62cd829a4c5443dbd5e7766f6608a6308e2b77d4c,182589,analysis_by_lap,preferred,existing,1,6,1462,
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,20_Drive Time_Race.PDF,https://imsa.results.alkamelcloud.com/Results/24_2024/09_Detroit%20Street%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/202406011510_Race/20_Drive%20Time_Race.PDF,pdfs/20_Drive Time_Race.PDF,93db6a5e5e4fac646d98c3e2756230f91d0440721550aa15431c851be28ec88e,74738,drive_time,preferred,existing,reports-1,2,92,
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,20_Pit Stops Time Cards_Race.PDF,https://imsa.results.alkamelcloud.com/Results/24_2024/09_Detroit%20Street%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/202406011510_Race/20_Pit%20Stops%20Time%20Cards_Race.PDF,pdfs/20_Pit Stops Time Cards_Race.PDF,3cf1f8f9483054673c415907d03703eeb2acb161a8852065ad1cf01795a39848,131200,pit_stops,preferred,existing,reports-1,1,35,
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,23_Time Cards_Race.PDF,https://imsa.results.alkamelcloud.com/Results/24_2024/09_Detroit%20Street%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/202406011510_Race/23_Time%20Cards_Race.PDF,pdfs/23_Time Cards_Race.PDF,d9440a5fafbddc5caac919b757029daf4520372779f4936de6b7bec5627dee64,236659,time_cards,preferred,existing,1,14,1462,
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,25_FlagsAnalysis_Race.PDF,https://imsa.results.alkamelcloud.com/Results/24_2024/09_Detroit%20Street%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/202406011510_Race/25_FlagsAnalysis_Race.PDF,pdfs/25_FlagsAnalysis_Race.PDF,253e6a17a0bca7c7aa8c9fb50599504549f12deec5ee21b8a94591f9024e27f8,183139,flags_analysis,preferred,existing,reports-1,1,14,
2024,09_Detroit Street Course,Detroit Street Course,detroit-street-course,2024-06-01,202406011510_Race,26_Weather_Race.PDF,https://imsa.results.alkamelcloud.com/Results/24_2024/09_Detroit%20Street%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/202406011510_Race/26_Weather_Race.PDF,pdfs/26_Weather_Race.PDF,5d8f7c4771a03832c3b719dd3185e31f63b34fc3b010f10c11819f58165680c8,135729,,unsupported,existing,,,,
