year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2024,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2024-04-20,202404201335_Race,01,GTP,Cadillac Racing,Cadillac V-Series.R,Renger van der Zande,Sebastien Bourdais,,,,Cadillac Racing Cadillac V-Series.R | GTP | 1.Renger van der Zande | 2.Sebastien Bourdais
2024,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2024-04-20,202404201335_Race,5,GTP,Proton Competition Mustang Sampling,Porsche 963,Gianmaria Bruni,Mike Rockenfeller,,,,Proton Competition Mustang Porsche 963 | Sampling GTP | 1.Gianmaria Bruni | 2.Mike Rockenfeller
2024,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2024-04-20,202404201335_Race,6,GTP,Porsche Penske Motorsport,Porsche 963,Nick Tandy,Mathieu Jaminet,,,,Porsche Penske Motorsport Porsche 963 | GTP | 1.Nick Tandy | 2.Mathieu Jaminet
2024,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2024-04-20,202404201335_Race,7,GTP,Porsche Penske Motorsport,Porsche 963,Dane Cameron,Felipe Nasr,,,,Porsche Penske Motorsport Porsche 963 | GTP | 1.Dane Cameron | 2.Felipe Nasr
2024,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2024-04-20,202404201335_Race,10,GTP,Wayne Taylor Racing with Andretti,Acura ARX-06,Ricky Taylor,Filipe Albuquerque,,,,Wayne Taylor Racing with Andretti Acura ARX-06 | GTP | 1.Ricky Taylor | 2.Filipe Albuquerque
2024,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2024-04-20,202404201335_Race,12,GTD,VasserSullivan,Lexus RC F GT3,Frankie Montecalvo,Jack Hawksworth,,,,VasserSullivan Lexus RC F GT3 | GTD | 1.Frankie Montecalvo | 2.Jack Hawksworth
2024,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2024-04-20,202404201335_Race,13,GTD,AWA Chevrolet,Corvette Z06 GT3.R,Orey Fidani,Matthew Bell,,,,AWA Chevrolet Corvette Z06 GT3.R | GTD | 1.Orey Fidani | 2.Matthew Bell
2024,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2024-04-20,202404201335_Race,24,GTP,BMW M Team RLL,BMW M Hybrid V8,Jesse Krohn,Philipp Eng,,,,BMW M Team RLL BMW M Hybrid V8 | GTP | 1.Jesse Krohn | 2.Philipp Eng
2024,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2024-04-20,202404201335_Race,25,GTP,BMW M Team RLL,BMW M Hybrid V8,Connor De Phillippi,Nick Yelloly,,,,BMW M Team RLL BMW M Hybrid V8 | GTP | 1.Connor De Phillippi | 2.Nick Yelloly
2024,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2024-04-20,202404201335_Race,27,GTD,Heart of Racing Team Aston Martin,Vantage GT3 Evo,Roman De Angelis,Spencer Pumpelly,,,,Heart of Racing Team Aston Martin Vantage GT3 Evo | GTD | 1.Roman De Angelis | 2.Spencer Pumpelly
2024,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2024-04-20,202404201335_Race,28,GTD,Flying Lizard Motorsports Aston,Martin Vantage GT3 Evo,Elias Sabo,Andy Lee,,,,Flying Lizard Motorsports Aston Martin Vantage GT3 Evo | GTD | 1.Elias Sabo | 2.Andy Lee
2024,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2024-04-20,202404201335_Race,31,GTP,Whelen Cadillac Racing,Cadillac V-Series.R,Pipo Derani,Jack Aitken,,,,Whelen Cadillac Racing Cadillac V-Series.R | GTP | 1.Pipo Derani | 2.Jack Aitken
2024,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2024-04-20,202404201335_Race,32,GTD,Korthoff/Preston Motorsports,Mercedes-AMG GT3,Mike Skeen,Mikael Grenier,,,,Korthoff/Preston Motorsports Mercedes-AMG GT3 | GTD | 1.Mike Skeen | 2.Mikael Grenier
