year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,01,GTP,Cadillac Racing,Cadillac V-Series.R,Sebastien Bourdais,Renger van der Zande,,,,Cadillac Racing Cadillac V-Series.R | GTP | 1.Sebastien Bourdais | 2.Renger van der Zande
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,1,GTD PRO,Paul Miller Racing,BMW M4 GT3,Madison Snow,Bryan Sellers,,,,Paul Miller Racing BMW M4 GT3 | GTDPRO | 1.Madison Snow | 2.Bryan Sellers
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,2,LMP2,United Autosports USA,ORECA 07,Ben Hanley,Ben Keating,,,,United Autosports USA ORECA LMP2 07 | LMP2 | 1.Ben Hanley | 2.Ben Keating
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,3,GTD PRO,Corvette Racing by Pratt Miller Chevrolet Motorsports,Corvette Z06 GT3.R,Alexander Sims,Antonio Garcia,,,,Corvette Racing by Pratt Miller Chevrolet Corvette Z06 GT3.R | Motorsports GTDPRO | 1.Alexander Sims | 2.Antonio Garcia
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,4,GTD PRO,Corvette Racing by Pratt Miller Chevrolet Motorsports,Corvette Z06 GT3.R,Nicky Catsburg,Tommy Milner,,,,Corvette Racing by Pratt Miller Chevrolet Corvette Z06 GT3.R | Motorsports GTDPRO | 1.Nicky Catsburg | 2.Tommy Milner
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,5,GTP,Proton Competition Mustang Sampling,Porsche 963,Bent Viscaal,Gianmaria Bruni,,,,Proton Competition Mustang Porsche 963 | Sampling GTP | 1.Bent Viscaal | 2.Gianmaria Bruni
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,6,GTP,Porsche Penske Motorsport,Porsche 963,Mathieu Jaminet,Nick Tandy,,,,Porsche Penske Motorsport Porsche 963 | GTP | 1.Mathieu Jaminet | 2.Nick Tandy
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,7,GTP,Porsche Penske Motorsport,Porsche 963,Felipe Nasr,Dane Cameron,,,,Porsche Penske Motorsport Porsche 963 | GTP | 1.Felipe Nasr | 2.Dane Cameron
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,8,LMP2,Tower Motorsports,ORECA 07,Charlie Eastwood,John Farano,,,,Tower Motorsports ORECA LMP2 07 | LMP2 | 1.Charlie Eastwood | 2.John Farano
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,9,GTD PRO,Pfaff Motorsports,McLaren 720S GT3 EVO,Oliver Jarvis,Marvin Kirchhöfer,,,,Pfaff Motorsports McLaren 720S GT3 EVO | GTDPRO | 1.Oliver Jarvis | 2.Marvin Kirchhöfer
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,10,GTP,Wayne Taylor Racing with Andretti,Acura ARX-06,Filipe Albuquerque,Ricky Taylor,,,,Wayne Taylor Racing with Andretti Acura ARX-06 | GTP | 1.Filipe Albuquerque | 2.Ricky Taylor
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,11,LMP2,TDS Racing,ORECA 07,Mikkel Jensen,Steven Thomas,,,,TDS Racing ORECA LMP2 07 | LMP2 | 1.Mikkel Jensen | 2.Steven Thomas
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,12,GTD,VasserSullivan,Lexus RC F GT3,Parker Thompson,Frankie Montecalvo,,,,VasserSullivan Lexus RC F GT3 | GTD | 1.Parker Thompson | 2.Frankie Montecalvo
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,13,GTD,AWA Chevrolet,Corvette Z06 GT3.R,Matthew Bell,Orey Fidani,,,,AWA Chevrolet Corvette Z06 GT3.R | GTD | 1.Matthew Bell | 2.Orey Fidani
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,14,GTD PRO,VasserSullivan,Lexus RC F GT3,Ben Barnicoat,Jack Hawksworth,,,,VasserSullivan Lexus RC F GT3 | GTDPRO | 1.Ben Barnicoat | 2.Jack Hawksworth
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,18,LMP2,Era Motorsport,ORECA 07,Stuart Wiltshire,Ryan Dalziel,,,,Era Motorsport ORECA LMP2 07 | LMP2 | 1.Stuart Wiltshire | 2.Ryan Dalziel
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,20,LMP2,MDK by High Class Racing,ORECA 07,Seth Lucas,Dennis Andersen,,,,MDK by High Class Racing ORECA LMP2 07 | LMP2 | 1.Seth Lucas | 2.Dennis Andersen
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,22,LMP2,United Autosports USA,ORECA 07,Paul Di Resta,Daniel Goldburg,,,,United Autosports USA ORECA LMP2 07 | LMP2 | 1.Paul Di Resta | 2.Daniel Goldburg
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,023,GTD,Triarsi Competizione,Ferrari 296 GT3,Alessio Rovera,Onofrio Triarsi,,,,Triarsi Competizione Ferrari 296 GT3 | GTD | 1.Alessio Rovera | 2.Onofrio Triarsi
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,23,GTD PRO,Heart of Racing Team Aston Martin,Vantage GT3 Evo,Alex Riberas,Ross Gunn,,,,Heart of Racing Team Aston Martin Vantage GT3 Evo | GTDPRO | 1.Alex Riberas | 2.Ross Gunn
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,24,GTP,BMW M Team RLL,BMW M Hybrid V8,Philipp Eng,Jesse Krohn,,,,BMW M Team RLL BMW M Hybrid V8 | GTP | 1.Philipp Eng | 2.Jesse Krohn
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,25,GTP,BMW M Team RLL,BMW M Hybrid V8,Nick Yelloly,Connor De Phillippi,,,,BMW M Team RLL BMW M Hybrid V8 | GTP | 1.Nick Yelloly | 2.Connor De Phillippi
2024,14_Road America,Road America,road-america,2024-08-04,202408041410_Race,27,GTD,Heart of Racing Team Aston,Martin Vantage GT3 Evo,Zacharie Robichon,Roman De Angelis,,,,Heart of Racing Team Aston Martin Vantage GT3 Evo | GTD | 1.Zacharie Robichon | 2.Roman De Angelis
