year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stop_number,in_time,in_driver,out_time,out_driver,pit_time,cumulative_pit_time,source_report,source_page,source_column
2024,19_Road Atlanta,Road Atlanta,road-atlanta,2024-10-12,202410121210_Race,01,Cadillac Racing | Cadillac V-Series.R GTP,1,12:29:20.089,S. Bourdais,12:30:30.843,S. Bourdais,1:10.754,1:10.754,20_Pit Stops Time Cards_Race.PDF,1,1
2024,19_Road Atlanta,Road Atlanta,road-atlanta,2024-10-12,202410121210_Race,01,Cadillac Racing | Cadillac V-Series.R GTP,2,13:24:38.697,S. Bourdais,13:27:20.908,S. Bourdais,2:42.211,3:52.965,20_Pit Stops Time Cards_Race.PDF,1,1
2024,19_Road Atlanta,Road Atlanta,road-atlanta,2024-10-12,202410121210_Race,01,Cadillac Racing | Cadillac V-Series.R GTP,3,14:34:37.046,S. Bourdais,14:35:53.159,R. van der Zande,1:16.113,5:09.078,20_Pit Stops Time Cards_Race.PDF,1,1
2024,19_Road Atlanta,Road Atlanta,road-atlanta,2024-10-12,202410121210_Race,01,Cadillac Racing | Cadillac V-Series.R GTP,4,14:41:03.395,R. van der Zande,14:41:34.878,R. van der Zande,31.483,5:40.561,20_Pit Stops Time Cards_Race.PDF,1,1
2024,19_Road Atlanta,Road Atlanta,road-atlanta,2024-10-12,202410121210_Race,01,Cadillac Racing | Cadillac V-Series.R GTP,5,15:31:22.421,R. van der Zande,15:32:32.539,R. van der Zande,1:10.118,6:50.679,20_Pit Stops Time Cards_Race.PDF,1,1
2024,19_Road Atlanta,Road Atlanta,road-atlanta,2024-10-12,202410121210_Race,01,Cadillac Racing | Cadillac V-Series.R GTP,6,16:26:31.684,R. van der Zande,16:27:43.256,S. Dixon,1:11.572,8:02.251,20_Pit Stops Time Cards_Race.PDF,1,1
2024,19_Road Atlanta,Road Atlanta,road-atlanta,2024-10-12,202410121210_Race,01,Cadillac Racing | Cadillac V-Series.R GTP,7,17:30:09.633,S. Dixon,17:31:17.775,S. Dixon,1:08.142,9:10.393,20_Pit Stops Time Cards_Race.PDF,1,1
2024,19_Road Atlanta,Road Atlanta,road-atlanta,2024-10-12,202410121210_Race,01,Cadillac Racing | Cadillac V-Series.R GTP,8,18:14:44.929,S. Dixon,18:16:01.096,S. Bourdais,1:16.167,10:26.560,20_Pit Stops Time Cards_Race.PDF,1,1
2024,19_Road Atlanta,Road Atlanta,road-atlanta,2024-10-12,202410121210_Race,01,Cadillac Racing | Cadillac V-Series.R GTP,9,19:09:23.890,S. Bourdais,19:10:40.264,S. Bourdais,1:16.374,11:42.934,20_Pit Stops Time Cards_Race.PDF,1,1
2024,19_Road Atlanta,Road Atlanta,road-atlanta,2024-10-12,202410121210_Race,01,Cadillac Racing | Cadillac V-Series.R GTP,10,20:03:48.426,S. Bourdais,20:05:04.839,R. van der Zande,1:16.413,12:59.347,20_Pit Stops Time Cards_Race.PDF,1,1
2024,19_Road Atlanta,Road Atlanta,road-atlanta,2024-10-12,202410121210_Race,01,Cadillac Racing | Cadillac V-Series.R GTP,11,20:58:39.434,R. van der Zande,20:59:56.138,R. van der Zande,1:16.704,14:16.051,20_Pit Stops Time Cards_Race.PDF,1,1
2024,19_Road Atlanta,Road Atlanta,road-atlanta,2024-10-12,202410121210_Race,01,Cadillac Racing | Cadillac V-Series.R GTP,12,21:21:57.317,R. van der Zande,21:22:44.216,R. van der Zande,46.899,15:02.950,20_Pit Stops Time Cards_Race.PDF,1,1
2024,19_Road Atlanta,Road Atlanta,road-atlanta,2024-10-12,202410121210_Race,1,12 R. van der Zande R. van der Zande 46.899 15:02.950 | Paul Miller Racing | BMW M4 GT3 GTDPRO,1,12:37:04.707,M. Snow,12:38:04.093,M. Snow,59.386,59.386,20_Pit Stops Time Cards_Race.PDF,1,1
