year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,01,GTP,Cadillac Racing,Cadillac V-Series.R,Renger van der Zande,Sebastien Bourdais,Scott Dixon,,,Cadillac Racing Cadillac V-Series.R | GTP | 1.Renger van der Zande 3.Scott Dixon | 2.Sebastien Bourdais
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,1,GTD PRO,Paul Miller Racing,BMW M4 GT3,Bryan Sellers,Madison Snow,Neil Verhagen,,,Paul Miller Racing BMW M4 GT3 | GTDPRO | 1.Bryan Sellers 3.Neil Verhagen | 2.Madison Snow
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,2,LMP2,United Autosports USA,ORECA 07,Ben Keating,Nico Pino,Ben Hanley,,,United Autosports USA ORECA LMP2 07 | LMP2 | 1.Ben Keating 3.Ben Hanley | 2.Nico Pino
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,3,GTD PRO,Corvette Racing by Pratt Miller Chevrolet Motorsports,Corvette Z06 GT3.R,Antonio Garcia,Alexander Sims,Daniel Juncadella,,,Corvette Racing by Pratt Miller Chevrolet Corvette Z06 GT3.R | Motorsports GTDPRO | 1.Antonio Garcia 3.Daniel Juncadella | 2.Alexander Sims
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,04,LMP2,Crowdstrike Racing by APR,ORECA 07,George Kurtz,Colin Braun,Toby Sowery,,,Crowdstrike Racing by APR ORECA LMP2 07 | LMP2 | 1.George Kurtz 3.Toby Sowery | 2.Colin Braun
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,4,GTD PRO,Corvette Racing by Pratt Miller Chevrolet Motorsports,Corvette Z06 GT3.R,Tommy Milner,Nicky Catsburg,Earl Bamber,,,Corvette Racing by Pratt Miller Chevrolet Corvette Z06 GT3.R | Motorsports GTDPRO | 1.Tommy Milner 3.Earl Bamber | 2.Nicky Catsburg
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,5,GTP,Proton Competition Mustang Sampling,Porsche 963,Gianmaria Bruni,Alessio Picariello,Julien Andlauer,,,Proton Competition Mustang Porsche 963 | Sampling GTP | 1.Gianmaria Bruni 3.Julien Andlauer | 2.Alessio Picariello
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,6,GTP,Porsche Penske Motorsports,Porsche 963,Nick Tandy,Mathieu Jaminet,Fred Makowiecki,,,Porsche Penske Motorsports Porsche 963 | GTP | 1.Nick Tandy 3.Fred Makowiecki | 2.Mathieu Jaminet
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,7,GTP,Porsche Penske Motorsports,Porsche 963,Dane Cameron,Felipe Nasr,Matt Campbell,,,Porsche Penske Motorsports Porsche 963 | GTP | 1.Dane Cameron 3.Matt Campbell | 2.Felipe Nasr
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,8,LMP2,Tower Motorsports,ORECA 07,John Farano,Michael Dinan,Charlie Eastwood,,,Tower Motorsports ORECA LMP2 07 | LMP2 | 1.John Farano 3.Charlie Eastwood | 2.Michael Dinan
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,9,GTD PRO,Pfaff Motorsports McLaren,720S GT3 EVO,Marvin Kirchhöfer,Oliver Jarvis,James Hinchcliffe,,,Pfaff Motorsports McLaren 720S GT3 EVO | GTDPRO | 1.Marvin Kirchhöfer 3.James Hinchcliffe | 2.Oliver Jarvis
