year,event_code,event_name,track_slug,race_date,session_directory,sequence,flag,clock_time,session_elapsed,session_elapsed_ms,flag_time,flag_time_ms,cumulative_flag_time,cumulative_flag_time_ms,lap,source_report,source_page
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,1,GREEN FLAG,11:39:54.927,-,,15:41.744,941744,15:41.744,941744,1,25_FlagsAnalysis_Race.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,2,FULL COURSE YELLOW,11:55:36.671,15:41.744,941744,19:24.400,1164400,19:24.400,1164400,12,25_FlagsAnalysis_Race.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,3,GREEN FLAG,12:15:01.071,35:06.144,2106144,8:11.871,491871,23:53.615,1433615,20,25_FlagsAnalysis_Race.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,4,FULL COURSE YELLOW,12:23:12.942,43:18.015,2598015,8:27.799,507799,27:52.199,1672199,26,25_FlagsAnalysis_Race.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,5,GREEN FLAG,12:31:40.741,51:45.814,3105814,51.360,51360,24:44.975,1484975,29,25_FlagsAnalysis_Race.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,6,FULL COURSE YELLOW,12:32:32.101,52:37.174,3157174,55:35.072,3335072,1:23:27.271,5007271,30,25_FlagsAnalysis_Race.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,7,GREEN FLAG,13:28:07.173,1:48:12.246,6492246,1:10:02.190,4202190,1:34:47.165,5687165,52,25_FlagsAnalysis_Race.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,8,FULL COURSE YELLOW,14:38:09.363,2:58:14.436,10694436,20:10.177,1210177,1:43:37.448,6217448,99,25_FlagsAnalysis_Race.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,9,GREEN FLAG,14:58:19.540,3:18:24.613,11904613,18:44.337,1124337,1:53:31.502,6811502,107,25_FlagsAnalysis_Race.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,10,FULL COURSE YELLOW,15:17:03.877,3:37:08.950,13028950,17:11.750,1031750,2:00:49.198,7249198,122,25_FlagsAnalysis_Race.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,11,GREEN FLAG,15:34:15.627,3:54:20.700,14060700,51:05.103,3065103,2:44:36.605,9876605,129,25_FlagsAnalysis_Race.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,12,FULL COURSE YELLOW,16:25:20.730,4:45:25.803,17125803,18:53.846,1133846,2:19:43.044,8383044,169,25_FlagsAnalysis_Race.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,13,GREEN FLAG,16:44:14.576,5:04:19.649,18259649,56:34.400,3394400,3:41:11.005,13271005,176,25_FlagsAnalysis_Race.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,14,CHEQUERED FLAG,17:40:48.977,6:00:54.049,21654049,-,,-,,219,25_FlagsAnalysis_Race.PDF,1
