year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stop_number,in_time,in_driver,out_time,out_driver,pit_time,cumulative_pit_time,source_report,source_page,source_column
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,01,Cadillac Racing | Cadillac V-Series.R GTP,1,12:05:18.379,S. Bourdais,12:06:40.321,S. Bourdais,1:21.942,1:21.942,20_Pit Stops Time Cards_Race.PDF,1,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,01,Cadillac Racing | Cadillac V-Series.R GTP,2,14:03:50.413,S. Bourdais,14:05:21.134,R. van der Zande,1:30.721,2:52.663,20_Pit Stops Time Cards_Race.PDF,1,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,01,Cadillac Racing | Cadillac V-Series.R GTP,3,14:43:43.710,R. van der Zande,14:45:02.161,R. van der Zande,1:18.451,4:11.114,20_Pit Stops Time Cards_Race.PDF,1,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,01,Cadillac Racing | Cadillac V-Series.R GTP,4,15:16:36.267,R. van der Zande,15:17:53.349,R. van der Zande,1:17.082,5:28.196,20_Pit Stops Time Cards_Race.PDF,1,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,01,Cadillac Racing | Cadillac V-Series.R GTP,5,16:12:12.311,R. van der Zande,16:13:40.745,S. Bourdais,1:28.434,6:56.630,20_Pit Stops Time Cards_Race.PDF,1,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,01,Cadillac Racing | Cadillac V-Series.R GTP,6,16:17:46.321,S. Bourdais,16:20:58.584,S. Bourdais,3:12.263,10:08.893,20_Pit Stops Time Cards_Race.PDF,1,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,01,Cadillac Racing | Cadillac V-Series.R GTP,7,16:40:28.881,S. Bourdais,16:41:29.898,S. Bourdais,1:01.017,11:09.910,20_Pit Stops Time Cards_Race.PDF,1,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,1,7 S. Bourdais S. Bourdais 1:01.017 11:09.910 | Paul Miller Racing | BMW M4 GT3 GTDPRO,1,12:07:45.184,N. Verhagen,12:09:09.029,N. Verhagen,1:23.845,1:23.845,20_Pit Stops Time Cards_Race.PDF,1,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,1,7 S. Bourdais S. Bourdais 1:01.017 11:09.910 | Paul Miller Racing | BMW M4 GT3 GTDPRO,2,12:42:46.716,N. Verhagen,12:44:04.625,N. Verhagen,1:17.909,2:41.754,20_Pit Stops Time Cards_Race.PDF,1,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,1,7 S. Bourdais S. Bourdais 1:01.017 11:09.910 | Paul Miller Racing | BMW M4 GT3 GTDPRO,3,12:59:05.824,N. Verhagen,13:00:22.614,N. Verhagen,1:16.790,3:58.544,20_Pit Stops Time Cards_Race.PDF,1,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,1,7 S. Bourdais S. Bourdais 1:01.017 11:09.910 | Paul Miller Racing | BMW M4 GT3 GTDPRO,4,13:10:58.955,N. Verhagen,13:12:00.797,N. Verhagen,1:01.842,5:00.386,20_Pit Stops Time Cards_Race.PDF,1,1
