year,event_code,event_name,track_slug,race_date,session_directory,position,class_position,car_number,class,category_marker,drivers,team,vehicle,laps,total_time,gap_to_leader,interval,status,best_lap_number,best_lap_time,best_lap_speed_mph,source_report,source_page
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,1,1,24,GTP,,P. Eng / J. Krohn,BMW M Team RLL,BMW M Hybrid V8,219,6:00:54.050,-,,,178,1:16.630,114.581,03_Results_Race_Official.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,2,2,25,GTP,,N. Yelloly / C. De Phillippi,BMW M Team RLL,BMW M Hybrid V8,219,6:00:55.697,1.647,1.647,,180,1:16.872,114.220,03_Results_Race_Official.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,3,3,85,GTP,,P. Hanson / R. Westbrook T. van der Helm,JDC-Miller MotorSports,Porsche 963,219,6:01:13.226,19.176,16.229,,179,1:16.701,114.475,03_Results_Race_Official.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,4,4,10,GTP,,F. Albuquerque / R. Taylor,Wayne Taylor Racing with Andretti,Acura ARX-06,219,6:01:46.575,52.525,10.091,,132,1:16.464,114.830,03_Results_Race_Official.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,5,5,5,GTP,,A. Picariello / B. Viscaal / G. Bruni,Proton Competition Mustang Sampling,Porsche 963,218,6:01:12.454,1 Lap,1,,179,1:16.229,115.184,03_Results_Race_Official.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,6,6,01,GTP,,S. Bourdais / R. van der Zande,Cadillac Racing,Cadillac V-Series.R,216,6:00:56.382,3 Laps,2,,133,1:16.885,114.201,03_Results_Race_Official.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,7,1,11,LMP2,,H. McElrea / M. Jensen / S. Thomas,TDS Racing,ORECA LMP2 07,215,6:01:05.940,4 Laps,1,,131,1:17.498,113.298,03_Results_Race_Official.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,8,2,52,LMP2,,J. Smiechowski / T. Dillmann N. Boulle,Inter Europol by PR1 Mathiasen Motorsports,ORECA LMP2 07,215,6:01:31.989,4 Laps,26.049,,116,1:18.243,112.219,03_Results_Race_Official.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,9,3,18,LMP2,,C. Zilisch / R. Dalziel D. Merriman,Era Motorsport,ORECA LMP2 07,215,6:01:54.356,4 Laps,22.367,,181,1:18.259,112.196,03_Results_Race_Official.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,10,4,99,LMP2,,M. Brabham / P. Chatin / P. Hyett,AO Racing,ORECA LMP2 07,215,6:02:07.343,4 Laps,12.987,,132,1:18.276,112.172,03_Results_Race_Official.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,11,5,74,LMP2,,J. Burdon / F. Fraga / G. Robinson,Riley,ORECA LMP2 07,214,6:01:36.548,5 Laps,1,,129,1:17.797,112.862,03_Results_Race_Official.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,12,6,88,LMP2,,D. Murry / N. Nielsen L. Perez Companc,Richard Mille AF Corse,ORECA LMP2 07,214,6:01:41.461,5 Laps,4.913,,130,1:18.137,112.371,03_Results_Race_Official.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,13,7,22,LMP2,,B. Garg / P. Di Resta / D. Goldburg,United Autosports USA,ORECA LMP2 07,214,6:01:49.016,5 Laps,7.555,,196,1:18.283,112.161,03_Results_Race_Official.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,14,8,8,LMP2,,M. Dinan / C. Eastwood / J. Farano,Tower Motorsports,ORECA LMP2 07,213,6:01:26.431,6 Laps,1,,178,1:17.743,112.941,03_Results_Race_Official.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,15,7,7,GTP,,F. Nasr / D. Cameron,Porsche Penske Motorsport,Porsche 963,212,6:01:46.153,7 Laps,1,,132,1:17.295,113.595,03_Results_Race_Official.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,16,1,77,,,M. Christensen / L. Heinrich,AO Racing,Porsche 911 GT3 R (992),208,6:01:26.232,11 Laps,4,,170,1:24.192,104.289,03_Results_Race_Official.PDF,1
