year,event_code,event_name,track_slug,race_date,session_directory,car_number,lap_number,driver_number,driver_name,lap_time,sector_1,sector_2,sector_3,speed_mph,elapsed_time,elapsed_delta_ms,elapsed_lap_time_difference_ms,pit_lane_crossing,source_page
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,01,1,1,Sebastien Bourdais,1:24.071,30.087,28.550,25.434,104.440,1:24.071,,,0,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,01,2,1,Sebastien Bourdais,1:19.808,27.536,27.636,24.636,110.018,2:43.879,79808,0,0,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,01,3,1,Sebastien Bourdais,1:18.877,27.469,27.133,24.275,111.317,4:02.756,78877,0,0,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,01,4,1,Sebastien Bourdais,1:17.574,26.593,26.939,24.042,113.187,5:20.330,77574,0,0,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,01,5,1,Sebastien Bourdais,1:18.619,26.579,26.957,25.083,111.682,6:38.949,78619,0,0,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,01,6,1,Sebastien Bourdais,1:20.009,28.077,27.209,24.723,109.742,7:58.958,80009,0,0,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,01,7,1,Sebastien Bourdais,1:20.816,27.913,27.672,25.231,108.646,9:19.774,80816,0,0,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,01,8,1,Sebastien Bourdais,1:19.531,27.976,27.211,24.344,110.401,10:39.305,79531,0,0,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,01,9,1,Sebastien Bourdais,1:19.872,26.992,27.704,25.176,109.930,11:59.177,79872,0,0,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,01,10,1,Sebastien Bourdais,1:19.465,27.214,27.424,24.827,110.493,13:18.642,79465,0,0,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,01,11,1,Sebastien Bourdais,1:17.351,26.579,26.715,24.057,113.513,14:35.993,77351,0,0,1
