year,event_code,event_name,track_slug,race_date,session_directory,sequence,flag,clock_time,session_elapsed,session_elapsed_ms,flag_time,flag_time_ms,cumulative_flag_time,cumulative_flag_time_ms,lap,source_report,source_page
2024,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2024-06-23,202406231110_Race,1,GREEN FLAG,11:10:48.538,-,,5:26.420,326420,5:26.420,326420,1,25_FlagsAnalysis_Race.PDF,1
2024,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2024-06-23,202406231110_Race,2,FULL COURSE YELLOW,11:16:14.958,5:26.420,326420,8:35.545,515545,8:35.545,515545,4,25_FlagsAnalysis_Race.PDF,1
2024,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2024-06-23,202406231110_Race,3,GREEN FLAG,11:24:50.503,14:01.965,841965,18:25.982,1105982,23:52.402,1432402,6,25_FlagsAnalysis_Race.PDF,1
2024,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2024-06-23,202406231110_Race,4,FULL COURSE YELLOW,11:43:16.485,32:27.947,1947947,24:29.134,1469134,33:04.679,1984679,18,25_FlagsAnalysis_Race.PDF,1
2024,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2024-06-23,202406231110_Race,5,GREEN FLAG,12:07:45.619,56:57.081,3417081,1:10:28.090,4228090,1:34:20.492,5660492,25,25_FlagsAnalysis_Race.PDF,1
2024,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2024-06-23,202406231110_Race,6,FULL COURSE YELLOW,13:18:13.709,2:07:25.171,7645171,22:33.102,1353102,55:37.781,3337781,68,25_FlagsAnalysis_Race.PDF,1
2024,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2024-06-23,202406231110_Race,7,GREEN FLAG,13:40:46.811,2:29:58.273,8998273,24:10.980,1450980,1:58:31.472,7111472,75,25_FlagsAnalysis_Race.PDF,1
2024,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2024-06-23,202406231110_Race,8,FULL COURSE YELLOW,14:04:57.791,2:54:09.253,10449253,23:44.377,1424377,1:19:22.158,4762158,90,25_FlagsAnalysis_Race.PDF,1
2024,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2024-06-23,202406231110_Race,9,GREEN FLAG,14:28:42.168,3:17:53.630,11873630,7:52.801,472801,2:06:24.273,7584273,97,25_FlagsAnalysis_Race.PDF,1
2024,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2024-06-23,202406231110_Race,10,FULL COURSE YELLOW,14:36:34.969,3:25:46.431,12346431,15:06.477,906477,1:34:28.635,5668635,102,25_FlagsAnalysis_Race.PDF,1
2024,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2024-06-23,202406231110_Race,11,GREEN FLAG,14:51:41.446,3:40:52.908,13252908,33:03.149,1983149,2:39:27.422,9567422,106,25_FlagsAnalysis_Race.PDF,1
2024,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2024-06-23,202406231110_Race,12,FULL COURSE YELLOW,15:24:44.595,4:13:56.057,15236057,23:53.363,1433363,1:58:21.998,7101998,127,25_FlagsAnalysis_Race.PDF,1
2024,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2024-06-23,202406231110_Race,13,RED FLAG,15:48:37.958,4:37:49.420,16669420,40:56.260,2456260,40:56.260,2456260,131,25_FlagsAnalysis_Race.PDF,1
2024,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2024-06-23,202406231110_Race,14,FULL COURSE YELLOW,16:29:34.218,5:18:45.680,19125680,24:49.785,1489785,2:23:11.783,8591783,131,25_FlagsAnalysis_Race.PDF,1
2024,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2024-06-23,202406231110_Race,15,GREEN FLAG,16:54:24.003,5:43:35.465,20615465,17:35.055,1055055,2:57:02.477,10622477,137,25_FlagsAnalysis_Race.PDF,1
2024,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2024-06-23,202406231110_Race,16,CHEQUERED FLAG,17:11:59.059,6:01:10.520,21670520,-,,-,,148,25_FlagsAnalysis_Race.PDF,1
