year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,1,GTD PRO,Paul Miller Racing,BMW M4 GT3 EVO,Neil Verhagen,Madison Snow,,,,Paul Miller Racing BMW M4 GT3 EVO | GTDPRO | 1.Neil Verhagen | 2.Madison Snow
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,3,GTD PRO,Corvette Racing by Pratt Miller Chevrolet Motorsports,Corvette Z06 GT3.R,Alexander Sims,Antonio Garcia,,,,Corvette Racing by Pratt Miller Chevrolet Corvette Z06 GT3.R | Motorsports GTDPRO | 1.Alexander Sims | 2.Antonio Garcia
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,4,GTD PRO,Corvette Racing by Pratt Miller Chevrolet Motorsports,Corvette Z06 GT3.R,Nicky Catsburg,Tommy Milner,,,,Corvette Racing by Pratt Miller Chevrolet Corvette Z06 GT3.R | Motorsports GTDPRO | 1.Nicky Catsburg | 2.Tommy Milner
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,6,GTP,Porsche Penske Motorsport,Porsche 963,Matt Campbell,Mathieu Jaminet,,,,Porsche Penske Motorsport Porsche 963 | GTP | 1.Matt Campbell | 2.Mathieu Jaminet
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,7,GTP,Porsche Penske Motorsport,Porsche 963,Nick Tandy,Felipe Nasr,,,,Porsche Penske Motorsport Porsche 963 | GTP | 1.Nick Tandy | 2.Felipe Nasr
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,9,GTD PRO,Pfaff Motorsports Lamborghini,Huracan GT3 EVO2,Marco Mapelli,Andrea Caldarelli,,,,Pfaff Motorsports Lamborghini Huracan GT3 EVO2 | GTDPRO | 1.Marco Mapelli | 2.Andrea Caldarelli
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,10,GTP,Wayne Taylor Racing,Cadillac V-Series.R,Filipe Albuquerque,Ricky Taylor,,,,Wayne Taylor Racing Cadillac V-Series.R | GTP | 1.Filipe Albuquerque | 2.Ricky Taylor
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,14,GTD PRO,Vasser Sullivan Racing,Lexus RC F GT3,Jack Hawksworth,Aaron Telitz,,,,Vasser Sullivan Racing Lexus RC F GT3 | GTDPRO | 1.Jack Hawksworth | 2.Aaron Telitz
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,15,GTD PRO,Vasser Sullivan Racing,Lexus RC F GT3,Frankie Montecalvo,Parker Thompson,,,,Vasser Sullivan Racing Lexus RC F GT3 | GTDPRO | 1.Frankie Montecalvo | 2.Parker Thompson
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,23,GTP,ASTON MARTIN THOR Team,Aston Martin Valkyrie,Roman De Angelis,Ross Gunn,,,,ASTON MARTIN THOR Team Aston Martin Valkyrie | GTP | 1.Roman De Angelis | 2.Ross Gunn
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,24,GTP,BMW M Team RLL,BMW M Hybrid V8,Dries Vanthoor,Philipp Eng,,,,BMW M Team RLL BMW M Hybrid V8 | GTP | 1.Dries Vanthoor | 2.Philipp Eng
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,25,GTP,BMW M Team RLL,BMW M Hybrid V8,Sheldon van der Linde,Marco Wittmann,,,,BMW M Team RLL BMW M Hybrid V8 | GTP | 1.Sheldon van der Linde | 2.Marco Wittmann
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,31,GTP,Cadillac Whelen,Cadillac V-Series.R,Earl Bamber,Jack Aitken,,,,Cadillac Whelen Cadillac V-Series.R | GTP | 1.Earl Bamber | 2.Jack Aitken
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,40,GTP,Wayne Taylor Racing,Cadillac V-Series.R,Louis Deletraz,Jordan Taylor,,,,Wayne Taylor Racing Cadillac V-Series.R | GTP | 1.Louis Deletraz | 2.Jordan Taylor
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,48,GTD PRO,Paul Miller Racing,BMW M4 GT3 EVO,Dan Harper,Max Hesse,,,,Paul Miller Racing BMW M4 GT3 EVO | GTDPRO | 1.Dan Harper | 2.Max Hesse
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,60,GTP,Acura Meyer Shank Racing w/Curb Agajanian,Acura ARX-06,Colin Braun,Tom Blomqvist,,,,Acura Meyer Shank Racing w/Curb Acura ARX-06 | Agajanian GTP | 1.Colin Braun | 2.Tom Blomqvist
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,64,GTD PRO,Ford Multimatic Motorsports,Ford Mustang GT3,Sebastian Priaulx,Mike Rockenfeller,,,,Ford Multimatic Motorsports Ford Mustang GT3 | GTDPRO | 1.Sebastian Priaulx | 2.Mike Rockenfeller
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,65,GTD PRO,Ford Multimatic Motorsports,Ford Mustang GT3,Frederic Vervisch,Christopher Mies,,,,Ford Multimatic Motorsports Ford Mustang GT3 | GTDPRO | 1.Frederic Vervisch | 2.Christopher Mies
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,77,GTD PRO,AO Racing Porsche,911 GT3 R (992),Klaus Bachler,Laurin Heinrich,,,,AO Racing Porsche 911 GT3 R (992) | GTDPRO | 1.Klaus Bachler | 2.Laurin Heinrich
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,81,GTD PRO,DragonSpeed,Ferrari 296 GT3,Rasmus Lindh,Albert Costa,,,,DragonSpeed Ferrari 296 GT3 | GTDPRO | 1.Rasmus Lindh | 2.Albert Costa
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,85,GTP,JDC Miller MotorSports,Porsche 963,Gianmaria Bruni,Tijmen van der Helm,,,,JDC Miller MotorSports Porsche 963 | GTP | 1.Gianmaria Bruni | 2.Tijmen van der Helm
