year,event_code,event_name,track_slug,race_date,session_directory,position,class,car_number,team,vehicle,driver,fastest_lap_time,driver_lap_number,driver_total_laps,gap_to_fastest,interval,speed_mph,source_report,source_page
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,1,GTP,7,Porsche Penske Motorsport,Porsche 963,Nick Tandy,1:06.641,26,31,,,88.864,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,2,GTP,31,Cadillac Whelen,Cadillac V-Series.R,Earl Bamber,1:06.715,55,62,0.074,0.074,88.765,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,3,GTP,6,Porsche Penske Motorsport,Porsche 963,Matt Campbell,1:06.719,26,31,0.078,0.004,88.760,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,4,GTP,24,BMW M Team RLL,BMW M Hybrid V8,Dries Vanthoor,1:06.804,26,30,0.163,0.085,88.647,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,5,GTP,10,Wayne Taylor Racing,Cadillac V-Series.R,Filipe Albuquerque,1:06.832,25,39,0.191,0.028,88.610,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,6,GTP,24,BMW M Team RLL,BMW M Hybrid V8,Philipp Eng,1:06.940,20,54,0.299,0.108,88.467,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,7,GTP,93,Acura Meyer Shank Racing w/Curb Agajanian,Acura ARX-06,Nick Yelloly,1:06.951,21,27,0.310,0.011,88.452,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,8,GTP,25,BMW M Team RLL,BMW M Hybrid V8,Sheldon van der Linde,1:07.014,25,26,0.373,0.063,88.369,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,9,GTP,25,BMW M Team RLL,BMW M Hybrid V8,Marco Wittmann,1:07.034,26,58,0.393,0.020,88.343,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,10,GTP,10,Wayne Taylor Racing,Cadillac V-Series.R,Ricky Taylor,1:07.234,10,45,0.593,0.200,88.080,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,11,GTP,6,Porsche Penske Motorsport,Porsche 963,Mathieu Jaminet,1:07.259,8,53,0.618,0.025,88.047,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,12,GTP,93,Acura Meyer Shank Racing w/Curb Agajanian,Acura ARX-06,Renger van der Zande,1:07.285,51,57,0.644,0.026,88.013,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,13,GTP,7,Porsche Penske Motorsport,Porsche 963,Felipe Nasr,1:07.303,7,53,0.662,0.018,87.990,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,14,GTP,60,Acura Meyer Shank Racing w/Curb Agajanian,Acura ARX-06,Colin Braun,1:07.368,26,62,0.727,0.065,87.905,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,15,GTP,40,Wayne Taylor Racing,Cadillac V-Series.R,Jordan Taylor,1:07.418,49,54,0.777,0.050,87.840,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,16,GTP,60,Acura Meyer Shank Racing w/Curb Agajanian,Acura ARX-06,Tom Blomqvist,1:07.480,21,22,0.839,0.062,87.759,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,17,GTP,23,ASTON MARTIN THOR Team,Aston Martin Valkyrie,Ross Gunn,1:07.945,27,64,1.304,0.465,87.158,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,18,GTP,40,Wayne Taylor Racing,Cadillac V-Series.R,Louis Deletraz,1:07.960,23,30,1.319,0.015,87.139,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,19,GTP,85,JDC Miller MotorSports,Porsche 963,Tijmen van der Helm,1:08.015,58,62,1.374,0.055,87.069,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,20,GTP,31,Cadillac Whelen,Cadillac V-Series.R,Jack Aitken,1:08.185,13,21,1.544,0.170,86.851,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,21,GTP,85,JDC Miller MotorSports,Porsche 963,Gianmaria Bruni,1:08.202,13,21,1.561,0.017,86.830,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,22,GTP,23,ASTON MARTIN THOR Team,Aston Martin Valkyrie,Roman De Angelis,1:08.361,13,20,1.720,0.159,86.628,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,23,GTDPRO,3,Corvette Racing by Pratt Miller Motorsports,Chevrolet Corvette Z06 GT3.R,Alexander Sims,1:10.267,5,58,3.626,1.906,84.278,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,24,GTDPRO,4,Corvette Racing by Pratt Miller Motorsports,Chevrolet Corvette Z06 GT3.R,Nicky Catsburg,1:10.294,71,77,3.653,0.027,84.246,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,25,GTDPRO,64,Ford Multimatic Motorsports,Ford Mustang GT3,Mike Rockenfeller,1:10.353,8,59,3.712,0.059,84.175,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,26,GTDPRO,77,AO Racing,Porsche 911 GT3 R (992),Laurin Heinrich,1:10.378,57,63,3.737,0.025,84.145,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,27,GTDPRO,14,Vasser Sullivan Racing,Lexus RC F GT3,Aaron Telitz,1:10.384,24,33,3.743,0.006,84.138,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,28,GTDPRO,14,Vasser Sullivan Racing,Lexus RC F GT3,Jack Hawksworth,1:10.473,33,48,3.832,0.089,84.032,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,29,GTDPRO,9,Pfaff Motorsports,Lamborghini Huracan GT3 EVO2,Marco Mapelli,1:10.510,14,60,3.869,0.037,83.988,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,30,GTDPRO,48,Paul Miller Racing,BMW M4 GT3 EVO,Dan Harper,1:10.728,16,22,4.087,0.218,83.729,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,31,GTDPRO,64,Ford Multimatic Motorsports,Ford Mustang GT3,Sebastian Priaulx,1:10.741,19,22,4.100,0.013,83.713,06_Fastest Lap By Driver_Race.PDF,1
