year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stint_number,driver,start_time,end_time,segment_type,segment_time,cumulative_track_time,cumulative_driver_time,source_report,source_page,source_column
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,Paul Miller Racing | BMW M4 GT3 EVO GTDPRO,1,M. Snow,11:40:39,11:56:53,TRACK,16:14.447,16:14.447,16:14.447,20_Drive Time_Race.PDF,1,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,Paul Miller Racing | BMW M4 GT3 EVO GTDPRO,,M. Snow,11:56:53,11:57:54,PIT,1:01.039,16:14.447,17:15.486,20_Drive Time_Race.PDF,1,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,Paul Miller Racing | BMW M4 GT3 EVO GTDPRO,2,M. Snow,11:57:54,13:01:42,TRACK,1:03:47.530,1:20:01.977,1:21:03.016,20_Drive Time_Race.PDF,1,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,Paul Miller Racing | BMW M4 GT3 EVO GTDPRO,,M. Snow,13:01:42,13:03:15,PIT,1:32.785,1:20:01.977,1:22:35.801,20_Drive Time_Race.PDF,1,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,Paul Miller Racing | BMW M4 GT3 EVO GTDPRO,3,M. Snow,13:03:15,13:13:28,TRACK,10:13.556,1:30:15.533,1:32:49.357,20_Drive Time_Race.PDF,1,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,Paul Miller Racing | BMW M4 GT3 EVO GTDPRO,,M. Snow,13:13:28,13:14:28,PIT,1:00.245,1:30:15.533,1:33:49.602,20_Drive Time_Race.PDF,1,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,Paul Miller Racing | BMW M4 GT3 EVO GTDPRO,4,M. Snow,13:14:28,14:02:23,TRACK,47:54.605,2:18:10.138,2:21:44.207,20_Drive Time_Race.PDF,1,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,Paul Miller Racing | BMW M4 GT3 EVO GTDPRO,,,14:02:23,14:03:42,PIT,1:18.765,,1:18.765,20_Drive Time_Race.PDF,1,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,Paul Miller Racing | BMW M4 GT3 EVO GTDPRO,5,N. Verhagen,14:03:42,15:07:10,TRACK,1:03:28.630,1:03:28.630,1:03:28.630,20_Drive Time_Race.PDF,1,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,Paul Miller Racing | BMW M4 GT3 EVO GTDPRO,,N. Verhagen,15:07:10,15:08:41,PIT,1:30.215,1:03:28.630,1:04:58.845,20_Drive Time_Race.PDF,1,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,Paul Miller Racing | BMW M4 GT3 EVO GTDPRO,6,N. Verhagen,15:08:41,16:05:39,TRACK,56:58.479,2:00:27.109,2:01:57.324,20_Drive Time_Race.PDF,1,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,Paul Miller Racing | BMW M4 GT3 EVO GTDPRO,,,16:05:39,16:07:10,PIT,1:31.075,,2:49.840,20_Drive Time_Race.PDF,1,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,Paul Miller Racing | BMW M4 GT3 EVO GTDPRO,7,C. De Phillippi,16:07:10,16:31:22,TRACK,24:11.974,24:11.974,24:11.974,20_Drive Time_Race.PDF,1,1
