year,event_code,event_name,track_slug,race_date,session_directory,position,class,car_number,team,vehicle,driver,fastest_lap_time,driver_lap_number,driver_total_laps,gap_to_fastest,interval,speed_mph,source_report,source_page
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,GTP,6,Porsche Penske Motorsport,Porsche 963,Matt Campbell,1:16.947,17,106,,,114.109,06_Fastest Lap By Driver_Race.PDF,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,2,GTP,31,Cadillac Whelen,Cadillac V-Series.R,Jack Aitken,1:16.973,25,108,0.026,0.026,114.070,06_Fastest Lap By Driver_Race.PDF,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,3,GTP,10,Wayne Taylor Racing,Cadillac V-Series.R,Ricky Taylor,1:17.012,15,135,0.065,0.039,114.013,06_Fastest Lap By Driver_Race.PDF,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,4,GTP,31,Cadillac Whelen,Cadillac V-Series.R,Frederik Vesti,1:17.069,48,90,0.122,0.057,113.928,06_Fastest Lap By Driver_Race.PDF,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,5,GTP,6,Porsche Penske Motorsport,Porsche 963,Mathieu Jaminet,1:17.132,57,137,0.185,0.063,113.835,06_Fastest Lap By Driver_Race.PDF,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,6,GTP,63,Automobili Lamborghini Squadra Corse,Lamborghini SC63,Romain Grosjean,1:17.150,26,153,0.203,0.018,113.809,06_Fastest Lap By Driver_Race.PDF,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,7,GTP,40,Wayne Taylor Racing,Cadillac V-Series.R,Louis Deletraz,1:17.218,16,154,0.271,0.068,113.708,06_Fastest Lap By Driver_Race.PDF,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,8,GTP,25,BMW M Team RLL,BMW M Hybrid V8,Sheldon van der Linde,1:17.267,53,109,0.320,0.049,113.636,06_Fastest Lap By Driver_Race.PDF,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,9,GTP,93,Acura Meyer Shank Racing w/Curb Agajanian,Acura ARX-06,Kaku Ohta,1:17.272,46,87,0.325,0.005,113.629,06_Fastest Lap By Driver_Race.PDF,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,10,GTP,40,Wayne Taylor Racing,Cadillac V-Series.R,Jordan Taylor,1:17.275,87,89,0.328,0.003,113.625,06_Fastest Lap By Driver_Race.PDF,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,11,GTP,10,Wayne Taylor Racing,Cadillac V-Series.R,Filipe Albuquerque,1:17.299,58,108,0.352,0.024,113.589,06_Fastest Lap By Driver_Race.PDF,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,12,GTP,24,BMW M Team RLL,BMW M Hybrid V8,Philipp Eng,1:17.319,49,136,0.372,0.020,113.560,06_Fastest Lap By Driver_Race.PDF,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,13,GTP,93,Acura Meyer Shank Racing w/Curb Agajanian,Acura ARX-06,Nick Yelloly,1:17.362,16,56,0.415,0.043,113.497,06_Fastest Lap By Driver_Race.PDF,1
