year,event_code,event_name,track_slug,race_date,session_directory,sequence,flag,clock_time,session_elapsed,session_elapsed_ms,flag_time,flag_time_ms,cumulative_flag_time,cumulative_flag_time_ms,lap,source_report,source_page
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,GREEN FLAG,11:40:39.277,-,,2:29.287,149287,2:29.287,149287,1,25_FlagsAnalysis_Race.PDF,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,2,FULL COURSE YELLOW,11:43:08.564,2:29.287,149287,5:06.740,306740,5:06.740,306740,2,25_FlagsAnalysis_Race.PDF,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,3,GREEN FLAG,11:48:15.304,7:36.027,456027,3:35.552,215552,6:04.839,364839,4,25_FlagsAnalysis_Race.PDF,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,4,FULL COURSE YELLOW,11:51:50.856,11:11.579,671579,11:59.142,719142,17:05.882,1025882,7,25_FlagsAnalysis_Race.PDF,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,5,GREEN FLAG,12:03:49.998,23:10.721,1390721,1:01:17.072,3677072,1:07:21.911,4041911,12,25_FlagsAnalysis_Race.PDF,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,6,FULL COURSE YELLOW,13:05:07.070,1:24:27.793,5067793,17:08.341,1028341,34:14.223,2054223,58,25_FlagsAnalysis_Race.PDF,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,7,GREEN FLAG,13:22:15.411,1:41:36.134,6096134,8:11.214,491214,1:15:33.125,4533125,65,25_FlagsAnalysis_Race.PDF,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,8,FULL COURSE YELLOW,13:30:26.625,1:49:47.348,6587348,11:33.477,693477,45:47.700,2747700,72,25_FlagsAnalysis_Race.PDF,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,9,GREEN FLAG,13:42:00.102,2:01:20.825,7280825,22:00.021,1320021,1:37:33.146,5853146,76,25_FlagsAnalysis_Race.PDF,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,10,FULL COURSE YELLOW,14:04:00.123,2:23:20.846,8600846,15:54.811,954811,1:01:42.511,3702511,93,25_FlagsAnalysis_Race.PDF,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,11,GREEN FLAG,14:19:54.934,2:39:15.657,9555657,2:03:06.336,7386336,3:40:39.482,13239482,100,25_FlagsAnalysis_Race.PDF,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,12,FULL COURSE YELLOW,16:23:01.270,4:42:21.993,16941993,17:01.880,1021880,1:18:44.391,4724391,192,25_FlagsAnalysis_Race.PDF,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,13,GREEN FLAG,16:40:03.150,4:59:23.873,17963873,51:36.799,3096799,4:32:16.281,16336281,199,25_FlagsAnalysis_Race.PDF,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,14,FULL COURSE YELLOW,17:31:39.949,5:51:00.672,21060672,7:01.748,421748,1:25:46.139,5146139,239,25_FlagsAnalysis_Race.PDF,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,15,GREEN FLAG,17:38:41.697,5:58:02.420,21482420,2:38.864,158864,4:34:55.145,16495145,241,25_FlagsAnalysis_Race.PDF,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,16,CHEQUERED FLAG,17:41:20.562,6:00:41.284,21641284,-,,-,,243,25_FlagsAnalysis_Race.PDF,1
