year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stop_number,in_time,in_driver,out_time,out_driver,pit_time,cumulative_pit_time,source_report,source_page,source_column
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,Paul Miller Racing | BMW M4 GT3 EVO GTDPRO,1,11:56:53.724,M. Snow,11:57:54.763,M. Snow,1:01.039,1:01.039,20_Pit Stops Time Cards_Race.PDF,1,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,Paul Miller Racing | BMW M4 GT3 EVO GTDPRO,2,13:01:42.293,M. Snow,13:03:15.078,M. Snow,1:32.785,2:33.824,20_Pit Stops Time Cards_Race.PDF,1,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,Paul Miller Racing | BMW M4 GT3 EVO GTDPRO,3,13:13:28.634,M. Snow,13:14:28.879,M. Snow,1:00.245,3:34.069,20_Pit Stops Time Cards_Race.PDF,1,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,Paul Miller Racing | BMW M4 GT3 EVO GTDPRO,4,14:02:23.484,M. Snow,14:03:42.249,N. Verhagen,1:18.765,4:52.834,20_Pit Stops Time Cards_Race.PDF,1,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,Paul Miller Racing | BMW M4 GT3 EVO GTDPRO,5,15:07:10.879,N. Verhagen,15:08:41.094,N. Verhagen,1:30.215,6:23.049,20_Pit Stops Time Cards_Race.PDF,1,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,Paul Miller Racing | BMW M4 GT3 EVO GTDPRO,6,16:05:39.573,N. Verhagen,16:07:10.648,C. De Phillippi,1:31.075,7:54.124,20_Pit Stops Time Cards_Race.PDF,1,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,1,Paul Miller Racing | BMW M4 GT3 EVO GTDPRO,7,16:31:22.622,C. De Phillippi,16:32:37.672,C. De Phillippi,1:15.050,9:09.174,20_Pit Stops Time Cards_Race.PDF,1,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,2,7 C. De Phillippi C. De Phillippi 1:15.050 9:09.174 | United Autosports USA | ORECA LMP2 07 LMP2,1,11:54:48.268,N. Boulle,11:55:56.072,N. Boulle,1:07.804,1:07.804,20_Pit Stops Time Cards_Race.PDF,1,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,2,7 C. De Phillippi C. De Phillippi 1:15.050 9:09.174 | United Autosports USA | ORECA LMP2 07 LMP2,2,12:46:58.917,N. Boulle,12:48:35.615,N. Boulle,1:36.698,2:44.502,20_Pit Stops Time Cards_Race.PDF,1,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,2,7 C. De Phillippi C. De Phillippi 1:15.050 9:09.174 | United Autosports USA | ORECA LMP2 07 LMP2,3,13:10:56.555,N. Boulle,13:12:17.575,N. Boulle,1:21.020,4:05.522,20_Pit Stops Time Cards_Race.PDF,1,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,2,7 C. De Phillippi C. De Phillippi 1:15.050 9:09.174 | United Autosports USA | ORECA LMP2 07 LMP2,4,13:17:33.850,N. Boulle,13:18:54.036,J. Correa,1:20.186,5:25.708,20_Pit Stops Time Cards_Race.PDF,1,1
2025,20_Indianapolis Motor Speedway RC,Indianapolis Motor Speedway RC,indianapolis-motor-speedway-rc,2025-09-21,202509211140_Race,2,7 C. De Phillippi C. De Phillippi 1:15.050 9:09.174 | United Autosports USA | ORECA LMP2 07 LMP2,5,13:54:03.636,J. Correa,13:54:55.687,J. Correa,52.051,6:17.759,20_Pit Stops Time Cards_Race.PDF,1,1
