year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,6,GTP,Porsche Penske Motorsport,Porsche 963,Matt Campbell,Mathieu Jaminet,,,,Porsche Penske Motorsport Porsche 963 | GTP | 1.Matt Campbell | 2.Mathieu Jaminet
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,7,GTP,Porsche Penske Motorsport,Porsche 963,Nick Tandy,Felipe Nasr,,,,Porsche Penske Motorsport Porsche 963 | GTP | 1.Nick Tandy | 2.Felipe Nasr
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,10,GTP,Wayne Taylor Racing,Cadillac V-Series.R,Filipe Albuquerque,Ricky Taylor,,,,Wayne Taylor Racing Cadillac V-Series.R | GTP | 1.Filipe Albuquerque | 2.Ricky Taylor
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,12,GTD,Vasser Sullivan Racing,Lexus RC F GT3,Parker Thompson,Jack Hawksworth,,,,Vasser Sullivan Racing Lexus RC F GT3 | GTD | 1.Parker Thompson | 2.Jack Hawksworth
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,13,GTD,AWA Chevrolet,Corvette Z06 GT3.R,Matthew Bell,Orey Fidani,,,,AWA Chevrolet Corvette Z06 GT3.R | GTD | 1.Matthew Bell | 2.Orey Fidani
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,021,GTD,Triarsi Competizione,Ferrari 296 GT3,Stevan McAleer,Sheena Monk,,,,Triarsi Competizione Ferrari 296 GT3 | GTD | 1.Stevan McAleer | 2.Sheena Monk
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,23,GTP,ASTON MARTIN THOR Team,Aston Martin Valkyrie,Roman De Angelis,Ross Gunn,,,,ASTON MARTIN THOR Team Aston Martin Valkyrie | GTP | 1.Roman De Angelis | 2.Ross Gunn
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,24,GTP,BMW M Team RLL,BMW M Hybrid V8,Dries Vanthoor,Philipp Eng,,,,BMW M Team RLL BMW M Hybrid V8 | GTP | 1.Dries Vanthoor | 2.Philipp Eng
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,25,GTP,BMW M Team RLL,BMW M Hybrid V8,Sheldon van der Linde,Marco Wittmann,,,,BMW M Team RLL BMW M Hybrid V8 | GTP | 1.Sheldon van der Linde | 2.Marco Wittmann
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,27,GTD,Heart of Racing Team Aston,Martin Vantage GT3 Evo,Casper Stevenson,Tom Gamble,,,,Heart of Racing Team Aston Martin Vantage GT3 Evo | GTD | 1.Casper Stevenson | 2.Tom Gamble
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,31,GTP,Cadillac Whelen,Cadillac V-Series.R,Earl Bamber,Jack Aitken,,,,Cadillac Whelen Cadillac V-Series.R | GTP | 1.Earl Bamber | 2.Jack Aitken
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,32,GTD,Korthoff Competition Motors,Mercedes-AMG GT3,Kenton Koch,Seth Lucas,,,,Korthoff Competition Motors Mercedes-AMG GT3 | GTD | 1.Kenton Koch | 2.Seth Lucas
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,34,GTD,Conquest Racing,Ferrari 296 GT3,Daniel Serra,Manny Franco,,,,Conquest Racing Ferrari 296 GT3 | GTD | 1.Daniel Serra | 2.Manny Franco
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,36,GTD,DXDT Racing Chevrolet,Corvette Z06 GT3.R,Tommy Milner,Robert Wickens,,,,DXDT Racing Chevrolet Corvette Z06 GT3.R | GTD | 1.Tommy Milner | 2.Robert Wickens
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,40,GTP,Wayne Taylor Racing,Cadillac V-Series.R,Louis Deletraz,Jordan Taylor,,,,Wayne Taylor Racing Cadillac V-Series.R | GTP | 1.Louis Deletraz | 2.Jordan Taylor
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,45,GTD,Wayne Taylor Racing Lamborghini,Huracan GT3 EVO2,Trent Hindman,Danny Formal,,,,Wayne Taylor Racing Lamborghini Huracan GT3 EVO2 | GTD | 1.Trent Hindman | 2.Danny Formal
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,57,GTD,Winward Racing,Mercedes-AMG GT3,Philip Ellis,Russell Ward,,,,Winward Racing Mercedes-AMG GT3 | GTD | 1.Philip Ellis | 2.Russell Ward
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,60,GTP,Acura Meyer Shank Racing w/Curb Agajanian,Acura ARX-06,Colin Braun,Tom Blomqvist,,,,Acura Meyer Shank Racing w/Curb Acura ARX-06 | Agajanian GTP | 1.Colin Braun | 2.Tom Blomqvist
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,66,GTD,Gradient Racing,Ford Mustang GT3,Robert Megennis,Jenson Altzman,,,,Gradient Racing Ford Mustang GT3 | GTD | 1.Robert Megennis | 2.Jenson Altzman
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,70,GTD,Inception Racing,Ferrari 296 GT3,Frederik Schandorff,Brendan Iribe,,,,Inception Racing Ferrari 296 GT3 | GTD | 1.Frederik Schandorff | 2.Brendan Iribe
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,78,GTD,Forte Racing Lamborghini,Huracan GT3 EVO2,Mario Farnbacher,Misha Goikhberg,,,,Forte Racing Lamborghini Huracan GT3 EVO2 | GTD | 1.Mario Farnbacher | 2.Misha Goikhberg
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,85,GTP,JDC Miller MotorSports,Porsche 963,Gianmaria Bruni,Tijmen van der Helm,,,,JDC Miller MotorSports Porsche 963 | GTP | 1.Gianmaria Bruni | 2.Tijmen van der Helm
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,89,GTD,Vasser Sullivan Racing,Lexus RC F GT3,Frankie Montecalvo,Aaron Telitz,,,,Vasser Sullivan Racing Lexus RC F GT3 | GTD | 1.Frankie Montecalvo | 2.Aaron Telitz
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,93,GTP,Acura Meyer Shank Racing w/Curb Agajanian,Acura ARX-06,Nick Yelloly,Renger van der Zande,,,,Acura Meyer Shank Racing w/Curb Acura ARX-06 | Agajanian GTP | 1.Nick Yelloly | 2.Renger van der Zande
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,96,GTD,Turner Motorsport,BMW M4 GT3 EVO,Robby Foley,Patrick Gallagher,,,,Turner Motorsport BMW M4 GT3 EVO | GTD | 1.Robby Foley | 2.Patrick Gallagher
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,120,GTD,Wright Motorsports Porsche,911 GT3 R (992),Elliott Skeer,Adam Adelson,,,,Wright Motorsports Porsche 911 GT3 R (992) | GTD | 1.Elliott Skeer | 2.Adam Adelson
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,177,GTD,AO Racing Porsche,911 GT3 R (992),Jonny Edgar,Laurens Vanthoor,,,,AO Racing Porsche 911 GT3 R (992) | GTD | 1.Jonny Edgar | 2.Laurens Vanthoor
