year,event_code,event_name,track_slug,race_date,session_directory,position,class_position,car_number,class,category_marker,drivers,team,vehicle,laps,total_time,gap_to_leader,interval,status,best_lap_number,best_lap_time,best_lap_speed_mph,source_report,source_page
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,1,1,7,GTP,,N. Tandy / F. Nasr,Porsche Penske Motorsport,Porsche 963,75,1:40:36.022,-,,,64,1:12.708,97.441,03_Results_Race_Official.PDF,1
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,2,2,6,GTP,,M. Campbell / M. Jaminet,Porsche Penske Motorsport,Porsche 963,75,1:40:39.080,3.058,3.058,,64,1:12.712,97.436,03_Results_Race_Official.PDF,1
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,3,3,24,GTP,,D. Vanthoor / P. Eng,BMW M Team RLL,BMW M Hybrid V8,75,1:40:48.925,12.903,9.845,,65,1:12.918,97.161,03_Results_Race_Official.PDF,1
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,4,4,31,GTP,,E. Bamber / J. Aitken,Cadillac Whelen,Cadillac V-Series.R,75,1:40:53.476,17.454,4.551,,65,1:13.229,96.748,03_Results_Race_Official.PDF,1
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,5,5,25,GTP,,S. van der Linde / M. Wittmann,BMW M Team RLL,BMW M Hybrid V8,75,1:40:53.997,17.975,0.521,,66,1:13.013,97.034,03_Results_Race_Official.PDF,1
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,6,6,10,GTP,,F. Albuquerque / R. Taylor,Wayne Taylor Racing,Cadillac V-Series.R,75,1:41:14.341,38.319,20.344,,70,1:13.298,96.657,03_Results_Race_Official.PDF,1
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,7,7,40,GTP,,L. Deletraz / J. Taylor,Wayne Taylor Racing,Cadillac V-Series.R,75,1:41:17.350,41.328,3.009,,68,1:13.345,96.595,03_Results_Race_Official.PDF,1
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,8,8,23,GTP,,R. De Angelis / R. Gunn,ASTON MARTIN THOR Team,Aston Martin Valkyrie,75,1:41:29.964,53.942,12.614,,10,1:14.479,95.124,03_Results_Race_Official.PDF,1
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,9,9,60,GTP,,C. Braun / T. Blomqvist,Acura Meyer Shank Racing w/Curb Agajanian,Acura ARX-06,75,1:41:31.563,55.541,1.599,,8,1:13.736,96.083,03_Results_Race_Official.PDF,1
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,10,10,85,GTP,,G. Bruni / T. van der Helm,JDC Miller MotorSports,Porsche 963,75,1:41:32.883,56.861,1.320,,8,1:13.877,95.899,03_Results_Race_Official.PDF,1
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,11,11,93,GTP,,N. Yelloly / R. van der Zande,Acura Meyer Shank Racing w/Curb Agajanian,Acura ARX-06,74,1:41:43.244,1 Lap,1,,9,1:13.614,96.242,03_Results_Race_Official.PDF,1
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,12,1,177,GTD,,J. Edgar / L. Vanthoor,AO Racing,Porsche 911 GT3 R (992),71,1:40:50.709,4 Laps,3,,48,1:18.680,90.045,03_Results_Race_Official.PDF,1
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,13,2,12,GTD,,P. Thompson / J. Hawksworth,Vasser Sullivan Racing,Lexus RC F GT3,71,1:40:53.087,4 Laps,2.378,,32,1:18.706,90.016,03_Results_Race_Official.PDF,1
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,14,3,89,GTD,,F. Montecalvo / A. Telitz,Vasser Sullivan Racing,Lexus RC F GT3,71,1:40:58.765,4 Laps,5.678,,54,1:18.830,89.874,03_Results_Race_Official.PDF,1
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,15,4,57,GTD,,P. Ellis / R. Ward,Winward Racing,Mercedes-AMG GT3,71,1:40:59.250,4 Laps,0.485,,66,1:18.693,90.030,03_Results_Race_Official.PDF,1
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,16,5,96,GTD,,R. Foley / P. Gallagher,Turner Motorsport,BMW M4 GT3 EVO,71,1:41:14.563,4 Laps,15.313,,33,1:19.414,89.213,03_Results_Race_Official.PDF,1
2025,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2025-04-12,202504121405_Race,17,6,32,GTD,,K. Koch / S. Lucas,Korthoff Competition Motors,Mercedes-AMG GT3,71,1:41:15.683,4 Laps,1.120,,58,1:18.953,89.734,03_Results_Race_Official.PDF,1
