year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2025,16_Road America,Road America,road-america,2025-08-03,202508031310_Race,1,GTD PRO,Paul Miller Racing,BMW M4 GT3 EVO,Madison Snow,Neil Verhagen,,,,Paul Miller Racing BMW M4 GT3 EVO | GTDPRO | 1.Madison Snow | 2.Neil Verhagen
2025,16_Road America,Road America,road-america,2025-08-03,202508031310_Race,2,LMP2,United Autosports USA,ORECA 07,Phil Fayer,Ben Hanley,,,,United Autosports USA ORECA LMP2 07 | LMP2 | 1.Phil Fayer | 2.Ben Hanley
2025,16_Road America,Road America,road-america,2025-08-03,202508031310_Race,3,GTD PRO,Corvette Racing by Pratt Miller Chevrolet Motorsports,Corvette Z06 GT3.R,Antonio Garcia,Alexander Sims,,,,Corvette Racing by Pratt Miller Chevrolet Corvette Z06 GT3.R | Motorsports GTDPRO | 1.Antonio Garcia | 2.Alexander Sims
2025,16_Road America,Road America,road-america,2025-08-03,202508031310_Race,04,LMP2,Crowdstrike Racing by APR,ORECA 07,George Kurtz,Malthe Jakobsen,,,,Crowdstrike Racing by APR ORECA LMP2 07 | LMP2 | 1.George Kurtz | 2.Malthe Jakobsen
2025,16_Road America,Road America,road-america,2025-08-03,202508031310_Race,4,GTD PRO,Corvette Racing by Pratt Miller Chevrolet Motorsports,Corvette Z06 GT3.R,Tommy Milner,Nicky Catsburg,,,,Corvette Racing by Pratt Miller Chevrolet Corvette Z06 GT3.R | Motorsports GTDPRO | 1.Tommy Milner | 2.Nicky Catsburg
2025,16_Road America,Road America,road-america,2025-08-03,202508031310_Race,6,GTP,Porsche Penske Motorsport,Porsche 963,Mathieu Jaminet,Matt Campbell,,,,Porsche Penske Motorsport Porsche 963 | GTP | 1.Mathieu Jaminet | 2.Matt Campbell
2025,16_Road America,Road America,road-america,2025-08-03,202508031310_Race,7,GTP,Porsche Penske Motorsport,Porsche 963,Felipe Nasr,Nick Tandy,,,,Porsche Penske Motorsport Porsche 963 | GTP | 1.Felipe Nasr | 2.Nick Tandy
2025,16_Road America,Road America,road-america,2025-08-03,202508031310_Race,8,LMP2,Tower Motorsports,ORECA 07,John Farano,Sebastien Bourdais,,,,Tower Motorsports ORECA LMP2 07 | LMP2 | 1.John Farano | 2.Sebastien Bourdais
2025,16_Road America,Road America,road-america,2025-08-03,202508031310_Race,9,GTD PRO,Pfaff Motorsports Lamborghini,Huracan GT3 EVO2,Andrea Caldarelli,Marco Mapelli,,,,Pfaff Motorsports Lamborghini Huracan GT3 EVO2 | GTDPRO | 1.Andrea Caldarelli | 2.Marco Mapelli
2025,16_Road America,Road America,road-america,2025-08-03,202508031310_Race,10,GTP,Wayne Taylor Racing,Cadillac V-Series.R,Ricky Taylor,Filipe Albuquerque,,,,Wayne Taylor Racing Cadillac V-Series.R | GTP | 1.Ricky Taylor | 2.Filipe Albuquerque
