year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,1,GTD PRO,Paul Miller Racing,BMW M4 GT3 EVO,Madison Snow,Neil Verhagen,Connor De Phillippi,,,Paul Miller Racing BMW M4 GT3 EVO | GTDPRO | 1.Madison Snow 3.Connor De Phillippi | 2.Neil Verhagen
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,2,LMP2,United Autosports USA,ORECA 07,Nick Boulle,Juan Correa,Ben Hanley,,,United Autosports USA ORECA LMP2 07 | LMP2 | 1.Nick Boulle 3.Ben Hanley | 2.Juan Correa
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,3,GTD PRO,Corvette Racing by Pratt Miller Chevrolet Motorsports,Corvette Z06 GT3.R,Antonio Garcia,Alexander Sims,Daniel Juncadella,,,Corvette Racing by Pratt Miller Chevrolet Corvette Z06 GT3.R | Motorsports GTDPRO | 1.Antonio Garcia 3.Daniel Juncadella | 2.Alexander Sims
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,04,LMP2,Crowdstrike Racing by APR,ORECA 07,George Kurtz,Malthe Jakobsen,Toby Sowery,,,Crowdstrike Racing by APR ORECA LMP2 07 | LMP2 | 1.George Kurtz 3.Toby Sowery | 2.Malthe Jakobsen
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,4,GTD PRO,Corvette Racing by Pratt Miller Chevrolet Motorsports,Corvette Z06 GT3.R,Tommy Milner,Nicky Catsburg,Nico Varrone,,,Corvette Racing by Pratt Miller Chevrolet Corvette Z06 GT3.R | Motorsports GTDPRO | 1.Tommy Milner 3.Nico Varrone | 2.Nicky Catsburg
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,5,GTP,Proton Competition,Porsche 963,Neel Jani,Tristan Vautier,Nico Pino,,,Proton Competition Porsche 963 | GTP | 1.Neel Jani 3.Nico Pino | 2.Tristan Vautier
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,6,GTP,Porsche Penske Motorsport,Porsche 963,Mathieu Jaminet,Matt Campbell,Kevin Estre,,,Porsche Penske Motorsport Porsche 963 | GTP | 1.Mathieu Jaminet 3.Kevin Estre | 2.Matt Campbell
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,7,GTP,Porsche Penske Motorsport,Porsche 963,Felipe Nasr,Nick Tandy,Laurens Vanthoor,,,Porsche Penske Motorsport Porsche 963 | GTP | 1.Felipe Nasr 3.Laurens Vanthoor | 2.Nick Tandy
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,8,LMP2,Tower Motorsports,ORECA 07,John Farano,Sebastian Alvarez,Sebastien Bourdais,,,Tower Motorsports ORECA LMP2 07 | LMP2 | 1.John Farano 3.Sebastien Bourdais | 2.Sebastian Alvarez
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,9,GTD PRO,Pfaff Motorsports Lamborghini,Huracan GT3 EVO2,Andrea Caldarelli,Marco Mapelli,James Hinchcliffe,,,Pfaff Motorsports Lamborghini Huracan GT3 EVO2 | GTDPRO | 1.Andrea Caldarelli 3.James Hinchcliffe | 2.Marco Mapelli
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,10,GTP,Wayne Taylor Racing,Cadillac V-Series.R,Ricky Taylor,Filipe Albuquerque,Will Stevens,,,Wayne Taylor Racing Cadillac V-Series.R | GTP | 1.Ricky Taylor 3.Will Stevens | 2.Filipe Albuquerque
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,11,LMP2,TDS RACING,ORECA 07,Steven Thomas,Mikkel Jensen,Hunter McElrea,,,TDS RACING ORECA LMP2 07 | LMP2 | 1.Steven Thomas 3.Hunter McElrea | 2.Mikkel Jensen
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,12,GTD,Vasser Sullivan Racing,Lexus RC F GT3,Jack Hawksworth,Parker Thompson,Frankie Montecalvo,,,Vasser Sullivan Racing Lexus RC F GT3 | GTD | 1.Jack Hawksworth 3.Frankie Montecalvo | 2.Parker Thompson
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,13,GTD,AWA Chevrolet,Corvette Z06 GT3.R,Orey Fidani,Matthew Bell,Lars Kern,,,AWA Chevrolet Corvette Z06 GT3.R | GTD | 1.Orey Fidani 3.Lars Kern | 2.Matthew Bell
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,14,GTD PRO,Vasser Sullivan Racing,Lexus RC F GT3,Aaron Telitz,Kyle Kirkwood,Jose Maria Lopez,,,Vasser Sullivan Racing Lexus RC F GT3 | GTDPRO | 1.Aaron Telitz 3.Jose Maria Lopez | 2.Kyle Kirkwood
