year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2025,17_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2025-08-24,202508241410_Race,1,GTD PRO,Paul Miller Racing,BMW M4 GT3 EVO,Madison Snow,Neil Verhagen,,,,Paul Miller Racing BMW M4 GT3 EVO | GTDPRO | 1.Madison Snow | 2.Neil Verhagen
2025,17_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2025-08-24,202508241410_Race,3,GTD PRO,Corvette Racing by Pratt Miller Chevrolet Motorsports,Corvette Z06 GT3.R,Antonio Garcia,Alexander Sims,,,,Corvette Racing by Pratt Miller Chevrolet Corvette Z06 GT3.R | Motorsports GTDPRO | 1.Antonio Garcia | 2.Alexander Sims
2025,17_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2025-08-24,202508241410_Race,4,GTD PRO,Corvette Racing by Pratt Miller Chevrolet Motorsports,Corvette Z06 GT3.R,Tommy Milner,Nicky Catsburg,,,,Corvette Racing by Pratt Miller Chevrolet Corvette Z06 GT3.R | Motorsports GTDPRO | 1.Tommy Milner | 2.Nicky Catsburg
2025,17_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2025-08-24,202508241410_Race,9,GTD PRO,Pfaff Motorsports Lamborghini,Huracan GT3 EVO2,Andrea Caldarelli,Marco Mapelli,,,,Pfaff Motorsports Lamborghini Huracan GT3 EVO2 | GTDPRO | 1.Andrea Caldarelli | 2.Marco Mapelli
2025,17_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2025-08-24,202508241410_Race,12,GTD,Vasser Sullivan Racing,Lexus RC F GT3,Jack Hawksworth,Parker Thompson,,,,Vasser Sullivan Racing Lexus RC F GT3 | GTD | 1.Jack Hawksworth | 2.Parker Thompson
2025,17_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2025-08-24,202508241410_Race,13,GTD,AWA Chevrolet,Corvette Z06 GT3.R,Orey Fidani,Matthew Bell,,,,AWA Chevrolet Corvette Z06 GT3.R | GTD | 1.Orey Fidani | 2.Matthew Bell
2025,17_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2025-08-24,202508241410_Race,14,GTD PRO,Vasser Sullivan Racing,Lexus RC F GT3,Ben Barnicoat,Aaron Telitz,,,,Vasser Sullivan Racing Lexus RC F GT3 | GTDPRO | 1.Ben Barnicoat | 2.Aaron Telitz
2025,17_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2025-08-24,202508241410_Race,021,GTD,Triarsi Competizione,Ferrari 296 GT3,Onofrio Triarsi,Kenton Koch,,,,Triarsi Competizione Ferrari 296 GT3 | GTD | 1.Onofrio Triarsi | 2.Kenton Koch
2025,17_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2025-08-24,202508241410_Race,27,GTD,Heart of Racing Team Aston,Martin Vantage GT3 Evo,Tom Gamble,Casper Stevenson,,,,Heart of Racing Team Aston Martin Vantage GT3 Evo | GTD | 1.Tom Gamble | 2.Casper Stevenson
2025,17_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2025-08-24,202508241410_Race,34,GTD,Conquest Racing,Ferrari 296 GT3,Manny Franco,Daniel Serra,,,,Conquest Racing Ferrari 296 GT3 | GTD | 1.Manny Franco | 2.Daniel Serra
