year,event_code,event_name,track_slug,race_date,session_directory,table,check,status,value,detail
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,results,rows,pass,55,
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,results,positions,pass,55,"first=[1, 2, 3] last=[53, 54, 55]"
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,results,car_numbers,pass,55,not in entries: []
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,results,best_lap_time_card_match,pass,55/55,
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,results,classified_laps_time_card_match,pass,55/55,official penalties and incomplete time cards can differ
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,fastest_laps_by_driver,rows,pass,146,
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,fastest_laps_by_driver,positions,pass,146,"first=[1, 2, 3] last=[144, 145, 146]"
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,fastest_laps_by_driver,car_numbers,pass,55,not in entries: []
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,fastest_laps_by_driver,time_card_lap_match,pass,139/139,
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,fastest_laps_by_driver,time_card_driver_match,pass,139/139,
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,drive_time,rows,pass,835,
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,drive_time,car_numbers,pass,55,not in entries: []
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,drive_time,segment_continuity,pass,780/780,
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,pit_stops,rows,pass,387,
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,pit_stops,car_numbers,pass,54,not in entries: []
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,pit_stops,clock_duration_match,pass,387/387,
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,pit_stops,cumulative_duration_match,pass,387/387,
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,flags_analysis,rows,pass,22,
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,flags_analysis,session_elapsed_clock_match,pass,22/22,
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,flags_analysis,flag_transition_duration_match,pass,21/21,
