year,event_code,event_name,track_slug,race_date,session_directory,car_number,lap_number,driver_number,driver_name,lap_time,sector_1,sector_2,sector_3,speed_mph,elapsed_time,elapsed_delta_ms,elapsed_lap_time_difference_ms,pit_lane_crossing,source_page
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,1,1,1,Madison Snow,2:36.116,1:00.507,47.913,47.696,78.403,2:36.116,,,0,1
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,1,2,1,Madison Snow,1:57.908,25.577,45.599,46.732,103.809,4:34.024,117908,0,0,1
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,1,3,1,Madison Snow,1:52.714,25.453,44.200,43.061,108.593,6:26.738,112714,0,0,1
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,1,4,1,Madison Snow,1:51.455,25.262,43.435,42.758,109.820,8:18.193,111455,0,0,1
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,1,5,1,Madison Snow,1:48.472,24.921,41.460,42.091,112.840,10:06.665,108472,0,0,1
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,1,6,1,Madison Snow,1:47.423,24.928,40.666,41.829,113.942,11:54.088,107423,0,0,1
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,1,7,1,Madison Snow,1:48.193,24.874,41.514,41.805,113.131,13:42.281,108193,0,0,1
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,1,8,1,Madison Snow,1:47.911,25.222,40.520,42.169,113.426,15:30.192,107911,0,0,1
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,1,9,1,Madison Snow,1:47.635,24.982,40.507,42.146,113.717,17:17.827,107635,0,0,1
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,1,10,1,Madison Snow,1:47.898,25.066,40.843,41.989,113.440,19:05.725,107898,0,0,1
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,1,11,1,Madison Snow,1:49.152,25.132,41.453,42.567,112.137,20:54.877,109152,0,0,1
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,1,12,1,Madison Snow,1:50.172,25.084,42.731,42.357,111.099,22:45.049,110172,0,0,1
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,1,13,1,Madison Snow,1:47.961,25.019,40.560,42.382,113.374,24:33.010,107961,0,0,1
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,1,14,1,Madison Snow,1:47.797,25.039,40.610,42.148,113.546,26:20.807,107797,0,0,1
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,1,15,1,Madison Snow,1:49.822,24.994,41.615,43.213,111.453,28:10.629,109822,0,0,1
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,1,16,1,Madison Snow,1:50.465,25.350,42.533,42.582,110.804,30:01.094,110465,0,0,1
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,1,17,1,Madison Snow,1:55.147,26.800,41.642,46.705,106.298,31:56.241,115147,0,0,1
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,1,18,1,Madison Snow,2:22.033,30.970,50.709,1:00.354,86.177,34:18.274,142033,0,0,1
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,1,19,1,Madison Snow,3:49.285,37.983,1:28.841,1:42.461,53.383,38:07.559,229285,0,0,1
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,1,20,1,Madison Snow,4:10.643,1:05.153,1:39.297,1:26.193,48.834,42:18.202,250643,0,0,1
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,1,21,1,Madison Snow,3:44.168,48.868,1:23.509,1:31.791,54.601,46:02.370,224168,0,1,1
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,1,22,1,Madison Snow,4:02.513,1:30.205,1:06.644,1:25.664,50.471,50:04.883,242513,0,0,1
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,1,23,1,Madison Snow,3:38.176,53.760,1:20.636,1:23.780,56.101,53:43.059,218176,0,0,1
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,1,24,1,Madison Snow,3:05.410,54.124,1:15.259,56.027,66.015,56:48.469,185410,0,0,1
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,1,25,1,Madison Snow,2:09.923,29.888,48.227,51.808,94.209,58:58.392,129923,0,0,1
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,1,26,1,Madison Snow,3:38.119,32.749,1:09.727,1:55.643,56.116,1:02:36.511,218119,0,0,1
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,1,27,1,Madison Snow,3:48.894,58.763,1:13.599,1:36.532,53.474,1:06:25.405,228894,0,0,1
2025,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2025-06-22,202506221210_Race,1,28,1,Madison Snow,3:45.550,59.581,1:19.681,1:26.288,54.267,1:10:10.955,225550,0,0,1
