year,event_code,event_name,track_slug,race_date,session_directory,report_name,report_url,local_pdf,sha256,bytes,report_family,selection,download_status,parser_version,pages,parsed_rows,error
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,03_Results_Race_Official.PDF,https://imsa.results.alkamelcloud.com/Results/26_2026/15_Canadian%20Tire%20Motorsport%20Park/01_IMSA%20WeatherTech%20SportsCar%20Championship/202607121405_Race/03_Results_Race_Official.PDF,pdfs/03_Results_Race_Official.PDF,4e82f81f00ab5d16a0f9ed96efd6e98c0f71d8418d3d5b8f25854cad1ef7aa61,208256,results,preferred,existing,reports-1,2,32,
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,03_Results_Race_Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/26_2026/15_Canadian%20Tire%20Motorsport%20Park/01_IMSA%20WeatherTech%20SportsCar%20Championship/202607121405_Race/03_Results_Race_Provisional.PDF,pdfs/03_Results_Race_Provisional.PDF,c04b1a288f5a306ff642b998df1e80683e66a1b34615e44e314a1731f885811c,208242,results,alternate,existing,,,,
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,03_Results_Race_Unofficial.PDF,https://imsa.results.alkamelcloud.com/Results/26_2026/15_Canadian%20Tire%20Motorsport%20Park/01_IMSA%20WeatherTech%20SportsCar%20Championship/202607121405_Race/03_Results_Race_Unofficial.PDF,pdfs/03_Results_Race_Unofficial.PDF,06fafe8b8df0e6970ad9163305358cc3c270bfd01772f1a4ae17efb047a6ab26,141399,results,alternate,existing,,,,
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,05_Results by Class_Race_Official.PDF,https://imsa.results.alkamelcloud.com/Results/26_2026/15_Canadian%20Tire%20Motorsport%20Park/01_IMSA%20WeatherTech%20SportsCar%20Championship/202607121405_Race/05_Results%20by%20Class_Race_Official.PDF,pdfs/05_Results by Class_Race_Official.PDF,d08e37838b4001ea01c9e97de59e4e14cd1d6fd71d1e1d5d92372b7fa44eb2a5,205686,,unsupported,existing,,,,
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,05_Results by Class_Race_Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/26_2026/15_Canadian%20Tire%20Motorsport%20Park/01_IMSA%20WeatherTech%20SportsCar%20Championship/202607121405_Race/05_Results%20by%20Class_Race_Provisional.PDF,pdfs/05_Results by Class_Race_Provisional.PDF,088e72cfdb04e0816e45c06edba63e84226c33a283b5886be169d8cef84a7c2d,205685,,unsupported,existing,,,,
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,05_Results by Class_Race_Unofficial.PDF,https://imsa.results.alkamelcloud.com/Results/26_2026/15_Canadian%20Tire%20Motorsport%20Park/01_IMSA%20WeatherTech%20SportsCar%20Championship/202607121405_Race/05_Results%20by%20Class_Race_Unofficial.PDF,pdfs/05_Results by Class_Race_Unofficial.PDF,85441c6f5f46343f567140a09c26d45025a03cdd5e19baca391a5d087348f220,137908,,unsupported,existing,,,,
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,06_Fastest Lap By Driver_Race.PDF,https://imsa.results.alkamelcloud.com/Results/26_2026/15_Canadian%20Tire%20Motorsport%20Park/01_IMSA%20WeatherTech%20SportsCar%20Championship/202607121405_Race/06_Fastest%20Lap%20By%20Driver_Race.PDF,pdfs/06_Fastest Lap By Driver_Race.PDF,09301367aeb5e8f3880210ca55391698a6400d6df01db566ee810700dc2672c6,115477,fastest_laps_by_driver,preferred,existing,reports-1,2,64,
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,07_Fastest Lap By Driver After_Race.PDF,https://imsa.results.alkamelcloud.com/Results/26_2026/15_Canadian%20Tire%20Motorsport%20Park/01_IMSA%20WeatherTech%20SportsCar%20Championship/202607121405_Race/07_Fastest%20Lap%20By%20Driver%20After_Race.PDF,pdfs/07_Fastest Lap By Driver After_Race.PDF,c98c77c1bc37e7133b5bc3ef39b8ea7f783577909d49180c010454aa1371bfa5,101085,,unsupported,existing,,,,
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,07_Fastest Lap By Driver and Class After_Race.PDF,https://imsa.results.alkamelcloud.com/Results/26_2026/15_Canadian%20Tire%20Motorsport%20Park/01_IMSA%20WeatherTech%20SportsCar%20Championship/202607121405_Race/07_Fastest%20Lap%20By%20Driver%20and%20Class%20After_Race.PDF,pdfs/07_Fastest Lap By Driver and Class After_Race.PDF,368dc7b145acd9db00d94a78e3ff5027deb6cd5d797fa802b9461d7ac88edb5d,113057,,unsupported,existing,,,,
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,12_Lap Chart_Race.PDF,https://imsa.results.alkamelcloud.com/Results/26_2026/15_Canadian%20Tire%20Motorsport%20Park/01_IMSA%20WeatherTech%20SportsCar%20Championship/202607121405_Race/12_Lap%20Chart_Race.PDF,pdfs/12_Lap Chart_Race.PDF,d47d5fde22371ceece712fd6e74756e0e9cc0d2aff5f284635a4ebe02daaf544,150960,,unsupported,existing,,,,
