year,event_code,event_name,track_slug,race_date,session_directory,car_number,lap_number,driver_number,driver_name,lap_time,sector_1,sector_2,sector_3,speed_mph,elapsed_time,elapsed_delta_ms,elapsed_lap_time_difference_ms,pit_lane_crossing,source_page
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,1,1,1,Neil Verhagen,1:38.405,43.960,35.677,18.768,89.958,1:38.405,,,0,1
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,1,2,1,Neil Verhagen,1:17.241,22.839,35.800,18.602,114.607,2:55.646,77241,0,0,1
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,1,3,1,Neil Verhagen,1:17.236,22.733,35.831,18.672,114.614,4:12.882,77236,0,0,1
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,1,4,1,Neil Verhagen,1:17.177,22.943,35.754,18.480,114.702,5:30.059,77177,0,0,1
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,1,5,1,Neil Verhagen,1:17.224,22.907,35.793,18.524,114.632,6:47.283,77224,0,0,1
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,1,6,1,Neil Verhagen,1:17.222,22.889,35.837,18.496,114.635,8:04.505,77222,0,0,1
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,1,7,1,Neil Verhagen,1:17.673,23.071,35.977,18.625,113.969,9:22.178,77673,0,0,1
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,1,8,1,Neil Verhagen,1:17.942,23.257,36.023,18.662,113.576,10:40.120,77942,0,0,1
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,1,9,1,Neil Verhagen,1:17.994,23.115,35.861,19.018,113.500,11:58.114,77994,0,0,1
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,1,10,1,Neil Verhagen,1:17.818,23.057,35.985,18.776,113.757,13:15.932,77818,0,0,1
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,1,11,1,Neil Verhagen,1:23.872,23.027,36.500,24.345,105.546,14:39.804,83872,0,0,1
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,1,12,1,Neil Verhagen,2:36.892,33.784,1:29.193,33.915,56.423,17:16.696,156892,0,0,1
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,1,13,1,Neil Verhagen,2:12.373,42.129,1:04.353,25.891,66.874,19:29.069,132373,0,0,1
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,1,14,1,Neil Verhagen,1:18.265,23.494,35.901,18.870,113.107,20:47.334,78265,0,0,1
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,1,15,1,Neil Verhagen,1:17.722,23.088,35.955,18.679,113.897,22:05.056,77722,0,0,1
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,1,16,1,Neil Verhagen,1:17.605,23.007,35.976,18.622,114.069,23:22.661,77605,0,0,1
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,1,17,1,Neil Verhagen,1:17.467,22.864,35.991,18.612,114.272,24:40.128,77467,0,0,1
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,1,18,1,Neil Verhagen,1:17.444,22.647,36.069,18.728,114.306,25:57.572,77444,0,0,1
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,1,19,1,Neil Verhagen,1:17.438,22.834,35.973,18.631,114.315,27:15.010,77438,0,0,1
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,1,20,1,Neil Verhagen,1:17.291,22.888,35.822,18.581,114.533,28:32.301,77291,0,0,1
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,1,21,1,Neil Verhagen,1:17.748,23.484,35.566,18.698,113.859,29:50.049,77748,0,0,1
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,1,22,1,Neil Verhagen,1:17.440,23.005,35.711,18.724,114.312,31:07.489,77440,0,0,1
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,1,23,1,Neil Verhagen,1:17.168,22.965,35.576,18.627,114.715,32:24.657,77168,0,0,1
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,1,24,1,Neil Verhagen,1:17.848,23.109,35.953,18.786,113.713,33:42.505,77848,0,0,1
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,1,25,1,Neil Verhagen,1:17.918,23.246,35.875,18.797,113.611,35:00.423,77918,0,0,1
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,1,26,1,Neil Verhagen,1:17.588,22.973,35.826,18.789,114.094,36:18.011,77588,0,0,1
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,1,27,1,Neil Verhagen,1:17.885,23.002,35.796,19.087,113.659,37:35.896,77885,0,0,1
2026,15_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2026-07-12,202607121405_Race,1,28,1,Neil Verhagen,1:17.508,23.159,35.698,18.651,114.212,38:53.404,77508,0,0,1
