year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stint_number,driver,start_time,end_time,segment_type,segment_time,cumulative_track_time,cumulative_driver_time,source_report,source_page,source_column
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,Paul Miller Racing | BMW M4 GT3 EVO GTDPRO,1,N. Verhagen,16:09:52,16:34:06,TRACK,24:14.140,24:14.140,24:14.140,20_Drive Time_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,Paul Miller Racing | BMW M4 GT3 EVO GTDPRO,,,16:34:06,16:34:39,PIT,32.751,,32.751,20_Drive Time_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,Paul Miller Racing | BMW M4 GT3 EVO GTDPRO,2,C. De Phillippi,16:34:39,17:49:52,TRACK,1:15:13.109,1:15:13.109,1:15:13.109,20_Drive Time_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,3,Corvette Racing by Pratt Miller Motorsports | Chevrolet Corvette Z06 GT3.R GTDPRO,1,A. Sims,16:09:52,16:40:47,TRACK,30:55.691,30:55.691,30:55.691,20_Drive Time_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,3,Corvette Racing by Pratt Miller Motorsports | Chevrolet Corvette Z06 GT3.R GTDPRO,,,16:40:47,16:41:25,PIT,37.385,,37.385,20_Drive Time_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,3,Corvette Racing by Pratt Miller Motorsports | Chevrolet Corvette Z06 GT3.R GTDPRO,2,A. Garcia,16:41:25,17:49:52,TRACK,1:08:26.924,1:08:26.924,1:08:26.924,20_Drive Time_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,4,Corvette Racing by Pratt Miller Motorsports | Chevrolet Corvette Z06 GT3.R GTDPRO,1,T. Milner,16:09:52,16:38:34,TRACK,28:42.055,28:42.055,28:42.055,20_Drive Time_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,4,Corvette Racing by Pratt Miller Motorsports | Chevrolet Corvette Z06 GT3.R GTDPRO,,,16:38:34,16:39:14,PIT,40.504,,40.504,20_Drive Time_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,4,Corvette Racing by Pratt Miller Motorsports | Chevrolet Corvette Z06 GT3.R GTDPRO,2,N. Catsburg,16:39:14,17:48:38,TRACK,1:09:23.509,1:09:23.509,1:09:23.509,20_Drive Time_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,4,Corvette Racing by Pratt Miller Motorsports | Chevrolet Corvette Z06 GT3.R GTDPRO,,N. Catsburg,17:48:38,17:48:54,PIT,16.592,1:09:23.509,1:09:40.101,20_Drive Time_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,4,Corvette Racing by Pratt Miller Motorsports | Chevrolet Corvette Z06 GT3.R GTDPRO,3,N. Catsburg,17:48:54,17:49:52,TRACK,57.340,1:10:20.849,1:10:37.441,20_Drive Time_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,5,JDC-Miller MotorSports | Porsche 963 GTP,1,T. van der Helm,16:09:52,16:41:13,TRACK,31:21.541,31:21.541,31:21.541,20_Drive Time_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,5,JDC-Miller MotorSports | Porsche 963 GTP,,,16:41:13,16:41:56,PIT,42.571,,42.571,20_Drive Time_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,5,JDC-Miller MotorSports | Porsche 963 GTP,2,L. Heinrich,16:41:56,16:47:27,TRACK,5:31.464,5:31.464,5:31.464,20_Drive Time_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,5,JDC-Miller MotorSports | Porsche 963 GTP,,L. Heinrich,16:47:27,16:47:44,PIT,16.564,5:31.464,5:48.028,20_Drive Time_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,5,JDC-Miller MotorSports | Porsche 963 GTP,3,L. Heinrich,16:47:44,16:57:49,TRACK,10:05.243,15:36.707,15:53.271,20_Drive Time_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,5,JDC-Miller MotorSports | Porsche 963 GTP,,L. Heinrich,16:57:49,16:59:08,PIT,1:18.820,15:36.707,17:12.091,20_Drive Time_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,5,JDC-Miller MotorSports | Porsche 963 GTP,4,L. Heinrich,16:59:08,17:02:24,TRACK,3:16.621,18:53.328,20:28.712,20_Drive Time_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,5,JDC-Miller MotorSports | Porsche 963 GTP,,L. Heinrich,17:02:24,17:02:58,PIT,33.990,18:53.328,21:02.702,20_Drive Time_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,5,JDC-Miller MotorSports | Porsche 963 GTP,5,L. Heinrich,17:02:58,17:49:52,TRACK,46:53.186,1:05:46.514,1:07:55.888,20_Drive Time_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,6,Porsche Penske Motorsport | Porsche 963 GTP,1,K. Estre,16:09:52,16:52:08,TRACK,42:15.868,42:15.868,42:15.868,20_Drive Time_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,6,Porsche Penske Motorsport | Porsche 963 GTP,,,16:52:08,16:52:47,PIT,39.820,,39.820,20_Drive Time_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,6,Porsche Penske Motorsport | Porsche 963 GTP,2,L. Vanthoor,16:52:47,17:35:13,TRACK,42:25.524,42:25.524,42:25.524,20_Drive Time_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,6,Porsche Penske Motorsport | Porsche 963 GTP,,L. Vanthoor,17:35:13,17:36:09,PIT,55.835,42:25.524,43:21.359,20_Drive Time_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,6,Porsche Penske Motorsport | Porsche 963 GTP,3,L. Vanthoor,17:36:09,17:37:17,TRACK,1:08.403,43:33.927,44:29.762,20_Drive Time_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,6,Porsche Penske Motorsport | Porsche 963 GTP,,L. Vanthoor,17:37:17,17:37:34,PIT,17.098,43:33.927,44:46.860,20_Drive Time_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,6,Porsche Penske Motorsport | Porsche 963 GTP,4,L. Vanthoor,17:37:34,17:49:52,TRACK,12:17.452,55:51.379,57:04.312,20_Drive Time_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,7,Porsche Penske Motorsport | Porsche 963 GTP,1,F. Nasr,16:09:52,16:48:49,TRACK,38:57.263,38:57.263,38:57.263,20_Drive Time_Race.PDF,1,2
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,7,Porsche Penske Motorsport | Porsche 963 GTP,,,16:48:49,16:49:28,PIT,39.416,,39.416,20_Drive Time_Race.PDF,1,2
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,7,Porsche Penske Motorsport | Porsche 963 GTP,2,J. Andlauer,16:49:28,17:49:52,TRACK,1:00:23.321,1:00:23.321,1:00:23.321,20_Drive Time_Race.PDF,1,2
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,9,Pfaff Motorsports | Lamborghini Temerario GT3 GTDPRO,1,S. Mitchell,16:09:52,16:38:58,TRACK,29:06.753,29:06.753,29:06.753,20_Drive Time_Race.PDF,1,2
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,9,Pfaff Motorsports | Lamborghini Temerario GT3 GTDPRO,,,16:38:58,16:39:35,PIT,36.280,,36.280,20_Drive Time_Race.PDF,1,2
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,9,Pfaff Motorsports | Lamborghini Temerario GT3 GTDPRO,2,A. Caldarelli,16:39:35,17:49:52,TRACK,1:10:16.967,1:10:16.967,1:10:16.967,20_Drive Time_Race.PDF,1,2
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,10,Cadillac Wayne Taylor Racing | Cadillac V-Series.R GTP,1,F. Albuquerque,16:09:52,16:51:05,TRACK,41:13.134,41:13.134,41:13.134,20_Drive Time_Race.PDF,1,2
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,10,Cadillac Wayne Taylor Racing | Cadillac V-Series.R GTP,,,16:51:05,16:51:41,PIT,36.097,,36.097,20_Drive Time_Race.PDF,1,2
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,10,Cadillac Wayne Taylor Racing | Cadillac V-Series.R GTP,2,R. Taylor,16:51:41,17:49:52,TRACK,58:10.769,58:10.769,58:10.769,20_Drive Time_Race.PDF,1,2
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,14,Vasser Sullivan Racing | Lexus RC F GT3 GTDPRO,1,B. Barnicoat,16:09:52,16:39:44,TRACK,29:52.831,29:52.831,29:52.831,20_Drive Time_Race.PDF,1,2
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,14,Vasser Sullivan Racing | Lexus RC F GT3 GTDPRO,,,16:39:44,16:40:21,PIT,36.938,,36.938,20_Drive Time_Race.PDF,1,2
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,14,Vasser Sullivan Racing | Lexus RC F GT3 GTDPRO,2,J. Hawksworth,16:40:21,17:44:56,TRACK,1:04:34.988,1:04:34.988,1:04:34.988,20_Drive Time_Race.PDF,1,2
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,14,Vasser Sullivan Racing | Lexus RC F GT3 GTDPRO,,J. Hawksworth,17:44:56,17:45:13,PIT,16.913,1:04:34.988,1:04:51.901,20_Drive Time_Race.PDF,1,2
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,14,Vasser Sullivan Racing | Lexus RC F GT3 GTDPRO,3,J. Hawksworth,17:45:13,17:49:52,TRACK,4:38.330,1:09:13.318,1:09:30.231,20_Drive Time_Race.PDF,1,2
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,15,Vasser Sullivan Racing | Lexus RC F GT3 GTDPRO,1,C. Mostert,16:09:52,16:45:44,TRACK,35:52.562,35:52.562,35:52.562,20_Drive Time_Race.PDF,1,2
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,15,Vasser Sullivan Racing | Lexus RC F GT3 GTDPRO,,,16:45:44,16:46:25,PIT,40.832,,40.832,20_Drive Time_Race.PDF,1,2
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,15,Vasser Sullivan Racing | Lexus RC F GT3 GTDPRO,2,A. Telitz,16:46:25,17:49:52,TRACK,1:03:26.606,1:03:26.606,1:03:26.606,20_Drive Time_Race.PDF,1,2
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,23,ASTON MARTIN THOR Team | Aston Martin Valkyrie GTP,1,R. Gunn,16:09:52,16:26:33,TRACK,16:41.851,16:41.851,16:41.851,20_Drive Time_Race.PDF,1,2
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,23,ASTON MARTIN THOR Team | Aston Martin Valkyrie GTP,,,16:26:33,16:27:07,PIT,33.906,,33.906,20_Drive Time_Race.PDF,1,2
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,23,ASTON MARTIN THOR Team | Aston Martin Valkyrie GTP,2,R. De Angelis,16:27:07,16:31:38,TRACK,4:30.167,4:30.167,4:30.167,20_Drive Time_Race.PDF,1,2
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,23,ASTON MARTIN THOR Team | Aston Martin Valkyrie GTP,,R. De Angelis,16:31:38,16:31:54,PIT,16.554,4:30.167,4:46.721,20_Drive Time_Race.PDF,1,2
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,23,ASTON MARTIN THOR Team | Aston Martin Valkyrie GTP,3,R. De Angelis,16:31:54,17:19:12,TRACK,47:17.984,51:48.151,52:04.705,20_Drive Time_Race.PDF,1,2
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,23,ASTON MARTIN THOR Team | Aston Martin Valkyrie GTP,,R. De Angelis,17:19:12,17:19:41,PIT,29.133,51:48.151,52:33.838,20_Drive Time_Race.PDF,1,2
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,23,ASTON MARTIN THOR Team | Aston Martin Valkyrie GTP,4,R. De Angelis,17:19:41,17:49:52,TRACK,30:10.405,1:21:58.556,1:22:44.243,20_Drive Time_Race.PDF,1,2
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,24,BMW M Team WRT | BMW M Hybrid V8 GTP,1,S. van der Linde,16:09:52,16:40:55,TRACK,31:03.349,31:03.349,31:03.349,20_Drive Time_Race.PDF,2,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,24,BMW M Team WRT | BMW M Hybrid V8 GTP,,,16:40:55,16:41:37,PIT,42.145,,42.145,20_Drive Time_Race.PDF,2,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,24,BMW M Team WRT | BMW M Hybrid V8 GTP,2,D. Vanthoor,16:41:37,17:06:23,TRACK,24:45.964,24:45.964,24:45.964,20_Drive Time_Race.PDF,2,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,24,BMW M Team WRT | BMW M Hybrid V8 GTP,,D. Vanthoor,17:06:23,17:06:40,PIT,16.515,24:45.964,25:02.479,20_Drive Time_Race.PDF,2,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,24,BMW M Team WRT | BMW M Hybrid V8 GTP,3,D. Vanthoor,17:06:40,17:38:21,TRACK,31:41.069,56:27.033,56:43.548,20_Drive Time_Race.PDF,2,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,24,BMW M Team WRT | BMW M Hybrid V8 GTP,,D. Vanthoor,17:38:21,17:38:37,PIT,16.611,56:27.033,57:00.159,20_Drive Time_Race.PDF,2,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,24,BMW M Team WRT | BMW M Hybrid V8 GTP,4,D. Vanthoor,17:38:37,17:49:52,TRACK,11:14.347,1:07:41.380,1:08:14.506,20_Drive Time_Race.PDF,2,1
