year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stop_number,in_time,in_driver,out_time,out_driver,pit_time,cumulative_pit_time,source_report,source_page,source_column
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,Paul Miller Racing | BMW M4 GT3 EVO GTDPRO,1,16:34:06.274,N. Verhagen,16:34:39.025,C. De Phillippi,32.751,32.751,20_Pit Stops Time Cards_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,3,1 N. Verhagen C. De Phillippi 32.751 32.751 | Corvette Racing by Pratt Miller Motorsports | Chevrolet Corvette Z06 GT3.R GTDPRO,1,16:40:47.825,A. Sims,16:41:25.210,A. Garcia,37.385,37.385,20_Pit Stops Time Cards_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,4,1 A. Sims A. Garcia 37.385 37.385 | Corvette Racing by Pratt Miller Motorsports | Chevrolet Corvette Z06 GT3.R GTDPRO,1,16:38:34.189,T. Milner,16:39:14.693,N. Catsburg,40.504,40.504,20_Pit Stops Time Cards_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,4,1 A. Sims A. Garcia 37.385 37.385 | Corvette Racing by Pratt Miller Motorsports | Chevrolet Corvette Z06 GT3.R GTDPRO,2,17:48:38.202,N. Catsburg,17:48:54.794,N. Catsburg,16.592,57.096,20_Pit Stops Time Cards_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,5,2 N. Catsburg N. Catsburg 16.592 57.096 | JDC-Miller MotorSports | Porsche 963 GTP,1,16:41:13.675,T. van der Helm,16:41:56.246,L. Heinrich,42.571,42.571,20_Pit Stops Time Cards_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,5,2 N. Catsburg N. Catsburg 16.592 57.096 | JDC-Miller MotorSports | Porsche 963 GTP,2,16:47:27.710,L. Heinrich,16:47:44.274,L. Heinrich,16.564,59.135,20_Pit Stops Time Cards_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,5,2 N. Catsburg N. Catsburg 16.592 57.096 | JDC-Miller MotorSports | Porsche 963 GTP,3,16:57:49.517,L. Heinrich,16:59:08.337,L. Heinrich,1:18.820,2:17.955,20_Pit Stops Time Cards_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,5,2 N. Catsburg N. Catsburg 16.592 57.096 | JDC-Miller MotorSports | Porsche 963 GTP,4,17:02:24.958,L. Heinrich,17:02:58.948,L. Heinrich,33.990,2:51.945,20_Pit Stops Time Cards_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,6,4 L. Heinrich L. Heinrich 33.990 2:51.945 | Porsche Penske Motorsport | Porsche 963 GTP,1,16:52:08.002,K. Estre,16:52:47.822,L. Vanthoor,39.820,39.820,20_Pit Stops Time Cards_Race.PDF,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,6,4 L. Heinrich L. Heinrich 33.990 2:51.945 | Porsche Penske Motorsport | Porsche 963 GTP,2,17:35:13.346,L. Vanthoor,17:36:09.181,L. Vanthoor,55.835,1:35.655,20_Pit Stops Time Cards_Race.PDF,1,1
