year,event_code,event_name,track_slug,race_date,session_directory,car_number,lap_number,driver_number,driver_name,lap_time,sector_1,sector_2,sector_3,speed_mph,elapsed_time,elapsed_delta_ms,elapsed_lap_time_difference_ms,pit_lane_crossing,source_page
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,1,1,Neil Verhagen,1:37.624,42.960,25.407,29.257,60.661,1:37.624,,,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,2,1,Neil Verhagen,1:13.552,21.419,24.528,27.605,80.514,2:51.176,73552,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,3,1,Neil Verhagen,1:25.664,20.920,26.094,38.650,69.130,4:16.840,85664,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,4,1,Neil Verhagen,1:52.722,28.203,42.161,42.358,52.536,6:09.562,112722,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,5,1,Neil Verhagen,1:57.461,38.977,41.576,36.908,50.416,8:07.023,117461,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,6,1,Neil Verhagen,1:47.272,41.271,35.598,30.403,55.205,9:54.295,107272,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,7,1,Neil Verhagen,1:14.354,21.455,24.430,28.469,79.645,11:08.649,74354,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,8,1,Neil Verhagen,1:13.184,21.204,24.277,27.703,80.919,12:21.833,73184,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,9,1,Neil Verhagen,1:12.651,20.809,24.182,27.660,81.512,13:34.484,72651,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,10,1,Neil Verhagen,1:12.205,20.909,23.960,27.336,82.016,14:46.689,72205,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,11,1,Neil Verhagen,1:11.923,20.710,23.932,27.281,82.337,15:58.612,71923,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,12,1,Neil Verhagen,1:12.134,20.881,24.001,27.252,82.096,17:10.746,72134,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,13,1,Neil Verhagen,1:11.685,20.860,23.803,27.022,82.611,18:22.431,71685,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,14,1,Neil Verhagen,1:11.407,20.682,23.773,26.952,82.932,19:33.838,71407,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,15,1,Neil Verhagen,1:11.041,20.818,23.490,26.733,83.360,20:44.879,71041,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,16,1,Neil Verhagen,1:11.043,20.581,23.633,26.829,83.357,21:55.922,71043,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,17,1,Neil Verhagen,1:11.387,20.859,23.566,26.962,82.956,23:07.309,71387,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,18,1,Neil Verhagen,1:32.253,20.668,24.605,46.980,64.192,24:39.562,92253,0,1,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,19,2,Connor De Phillippi,1:18.618,27.716,23.931,26.971,75.326,25:58.180,78618,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,20,2,Connor De Phillippi,1:11.720,20.739,24.038,26.943,82.570,27:09.900,71720,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,21,2,Connor De Phillippi,1:11.127,20.591,23.728,26.808,83.259,28:21.027,71127,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,22,2,Connor De Phillippi,1:11.425,20.594,23.791,27.040,82.911,29:32.452,71425,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,23,2,Connor De Phillippi,1:11.492,20.630,23.958,26.904,82.834,30:43.944,71492,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,24,2,Connor De Phillippi,1:11.744,20.860,24.114,26.770,82.543,31:55.688,71744,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,25,2,Connor De Phillippi,1:11.310,20.743,23.763,26.804,83.045,33:06.998,71310,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,26,2,Connor De Phillippi,1:11.393,20.712,23.964,26.717,82.949,34:18.391,71393,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,27,2,Connor De Phillippi,1:11.567,20.678,23.974,26.915,82.747,35:29.958,71567,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,28,2,Connor De Phillippi,1:12.376,20.701,23.868,27.807,81.822,36:42.334,72376,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,29,2,Connor De Phillippi,1:11.526,20.791,23.808,26.927,82.794,37:53.860,71526,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,30,2,Connor De Phillippi,1:12.609,21.112,24.390,27.107,81.559,39:06.469,72609,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,31,2,Connor De Phillippi,1:11.314,20.679,23.707,26.928,83.040,40:17.783,71314,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,32,2,Connor De Phillippi,1:11.376,20.682,23.814,26.880,82.968,41:29.159,71376,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,33,2,Connor De Phillippi,1:11.787,21.030,23.819,26.938,82.493,42:40.946,71787,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,34,2,Connor De Phillippi,1:11.634,20.801,23.847,26.986,82.670,43:52.580,71634,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,35,2,Connor De Phillippi,1:11.522,20.614,24.059,26.849,82.799,45:04.102,71522,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,36,2,Connor De Phillippi,1:11.955,20.704,24.247,27.004,82.301,46:16.057,71955,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,37,2,Connor De Phillippi,1:12.563,20.792,23.928,27.843,81.611,47:28.620,72563,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,38,2,Connor De Phillippi,1:13.689,21.321,24.642,27.726,80.364,48:42.309,73689,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,39,2,Connor De Phillippi,1:11.585,20.791,23.729,27.065,82.726,49:53.894,71585,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,40,2,Connor De Phillippi,1:11.972,20.804,23.830,27.338,82.281,51:05.866,71972,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,41,2,Connor De Phillippi,1:11.543,20.719,23.888,26.936,82.775,52:17.409,71543,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,42,2,Connor De Phillippi,1:11.746,20.732,23.970,27.044,82.540,53:29.155,71746,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,43,2,Connor De Phillippi,1:11.868,20.624,23.927,27.317,82.400,54:41.023,71868,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,44,2,Connor De Phillippi,1:11.887,20.742,23.976,27.169,82.379,55:52.910,71887,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,45,2,Connor De Phillippi,1:12.097,20.667,24.095,27.335,82.139,57:05.007,72097,0,0,1
2026,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2026-05-30,202605301610_Race,1,46,2,Connor De Phillippi,1:11.847,20.777,23.909,27.161,82.424,58:16.854,71847,0,0,1
