year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stint_number,driver,start_time,end_time,segment_type,segment_time,cumulative_track_time,cumulative_driver_time,source_report,source_page,source_column
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,5,JDC-Miller MotorSports | Porsche 963 GTP,1,T. van der Helm,13:05:54,13:12:48,TRACK,6:54.407,6:54.407,6:54.407,20_Drive Time_Race.PDF,1,1
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,5,JDC-Miller MotorSports | Porsche 963 GTP,,,13:12:48,13:13:47,PIT,58.467,,58.467,20_Drive Time_Race.PDF,1,1
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,5,JDC-Miller MotorSports | Porsche 963 GTP,2,L. Heinrich,13:13:47,13:52:19,TRACK,38:32.517,38:32.517,38:32.517,20_Drive Time_Race.PDF,1,1
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,5,JDC-Miller MotorSports | Porsche 963 GTP,,L. Heinrich,13:52:19,13:53:23,PIT,1:03.221,38:32.517,39:35.738,20_Drive Time_Race.PDF,1,1
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,5,JDC-Miller MotorSports | Porsche 963 GTP,3,L. Heinrich,13:53:23,14:45:54,TRACK,52:31.388,1:31:03.905,1:32:07.126,20_Drive Time_Race.PDF,1,1
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,6,Porsche Penske Motorsport | Porsche 963 GTP,1,K. Estre,13:05:54,13:38:51,TRACK,32:56.832,32:56.832,32:56.832,20_Drive Time_Race.PDF,1,1
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,6,Porsche Penske Motorsport | Porsche 963 GTP,,,13:38:51,13:39:55,PIT,1:03.969,,1:03.969,20_Drive Time_Race.PDF,1,1
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,6,Porsche Penske Motorsport | Porsche 963 GTP,2,L. Vanthoor,13:39:55,14:45:54,TRACK,1:05:59.199,1:05:59.199,1:05:59.199,20_Drive Time_Race.PDF,1,1
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,7,Porsche Penske Motorsport | Porsche 963 GTP,1,J. Andlauer,13:05:54,13:41:23,TRACK,35:28.935,35:28.935,35:28.935,20_Drive Time_Race.PDF,1,1
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,7,Porsche Penske Motorsport | Porsche 963 GTP,,,13:41:23,13:42:29,PIT,1:05.690,,1:05.690,20_Drive Time_Race.PDF,1,1
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,7,Porsche Penske Motorsport | Porsche 963 GTP,2,F. Nasr,13:42:29,14:45:54,TRACK,1:03:25.375,1:03:25.375,1:03:25.375,20_Drive Time_Race.PDF,1,1
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,10,Cadillac Wayne Taylor Racing | Cadillac V-Series.R GTP,1,F. Albuquerque,13:05:54,13:23:58,TRACK,18:03.844,18:03.844,18:03.844,20_Drive Time_Race.PDF,1,1
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,10,Cadillac Wayne Taylor Racing | Cadillac V-Series.R GTP,,F. Albuquerque,13:23:58,13:24:53,PIT,54.849,18:03.844,18:58.693,20_Drive Time_Race.PDF,1,1
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,10,Cadillac Wayne Taylor Racing | Cadillac V-Series.R GTP,2,F. Albuquerque,13:24:53,13:52:19,TRACK,27:26.203,45:30.047,46:24.896,20_Drive Time_Race.PDF,1,1
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,10,Cadillac Wayne Taylor Racing | Cadillac V-Series.R GTP,,,13:52:19,13:53:26,PIT,1:06.546,,1:06.546,20_Drive Time_Race.PDF,1,1
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,10,Cadillac Wayne Taylor Racing | Cadillac V-Series.R GTP,3,R. Taylor,13:53:26,14:26:43,TRACK,33:17.545,33:17.545,33:17.545,20_Drive Time_Race.PDF,1,1
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,10,Cadillac Wayne Taylor Racing | Cadillac V-Series.R GTP,,R. Taylor,14:26:43,14:28:57,PIT,2:13.625,33:17.545,35:31.170,20_Drive Time_Race.PDF,1,1
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,10,Cadillac Wayne Taylor Racing | Cadillac V-Series.R GTP,4,R. Taylor,14:28:57,14:31:31,TRACK,2:34.275,35:51.820,38:05.445,20_Drive Time_Race.PDF,1,1
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,10,Cadillac Wayne Taylor Racing | Cadillac V-Series.R GTP,,R. Taylor,14:31:31,14:32:13,PIT,42.034,35:51.820,38:47.479,20_Drive Time_Race.PDF,1,1
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,10,Cadillac Wayne Taylor Racing | Cadillac V-Series.R GTP,5,R. Taylor,14:32:13,14:45:54,TRACK,13:41.079,49:32.899,52:28.558,20_Drive Time_Race.PDF,1,1
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,12,Vasser Sullivan Racing | Lexus RC F GT3 GTD,1,B. Pedersen,13:05:54,13:42:30,TRACK,36:35.878,36:35.878,36:35.878,20_Drive Time_Race.PDF,1,1
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,12,Vasser Sullivan Racing | Lexus RC F GT3 GTD,,,13:42:30,13:43:34,PIT,1:03.713,,1:03.713,20_Drive Time_Race.PDF,1,1
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,12,Vasser Sullivan Racing | Lexus RC F GT3 GTD,2,A. Telitz,13:43:34,14:45:54,TRACK,1:02:20.409,1:02:20.409,1:02:20.409,20_Drive Time_Race.PDF,1,1
2026,07_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2026-04-18,202604181305_Race,13,13 Autosport | Chevrolet Corvette Z06 GT3.R GTD - B,1,O. Fidani,13:05:54,13:41:43,TRACK,35:48.978,35:48.978,35:48.978,20_Drive Time_Race.PDF,1,1
