year,event_code,event_name,track_slug,race_date,session_directory,report_name,report_url,local_pdf,sha256,bytes,report_family,selection,download_status,parser_version,pages,parsed_rows,error
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,03_Results_Race_Official.PDF,https://imsa.results.alkamelcloud.com/Results/26_2026/16_Road%20America/01_IMSA%20WeatherTech%20SportsCar%20Championship/202608021040_Race/06_Hour%206/03_Results_Race_Official.PDF,pdfs/03_Results_Race_Official.PDF,899e1f405acbc82a40de3844de6faffdb237a82ec5a8da9aed16c03e253a6c9a,202404,results,preferred,existing,reports-1,3,54,
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,03_Results_Race_Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/26_2026/16_Road%20America/01_IMSA%20WeatherTech%20SportsCar%20Championship/202608021040_Race/06_Hour%206/03_Results_Race_Provisional.PDF,pdfs/03_Results_Race_Provisional.PDF,e2bae050a58b084508d1d9e848469fe96958277e43cc372b6f005092244dd3a2,202353,results,alternate,existing,,,,
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,03_Results_Race_Provisional_Revised.PDF,https://imsa.results.alkamelcloud.com/Results/26_2026/16_Road%20America/01_IMSA%20WeatherTech%20SportsCar%20Championship/202608021040_Race/06_Hour%206/03_Results_Race_Provisional_Revised.PDF,pdfs/03_Results_Race_Provisional_Revised.PDF,05bd001bd0d7c05079f7f512e97057b092a44d4705745280cb074d92a58fbbea,202665,results,alternate,existing,,,,
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,05_Results by Class_Race_Official.PDF,https://imsa.results.alkamelcloud.com/Results/26_2026/16_Road%20America/01_IMSA%20WeatherTech%20SportsCar%20Championship/202608021040_Race/06_Hour%206/05_Results%20by%20Class_Race_Official.PDF,pdfs/05_Results by Class_Race_Official.PDF,88b627870e9e4a27c322a99b57579538267f07935f56a1e6907cb227f7704e39,199982,,unsupported,existing,,,,
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,05_Results by Class_Race_Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/26_2026/16_Road%20America/01_IMSA%20WeatherTech%20SportsCar%20Championship/202608021040_Race/06_Hour%206/05_Results%20by%20Class_Race_Provisional.PDF,pdfs/05_Results by Class_Race_Provisional.PDF,033cb7be88b876893dd44dc28d20d015176fdd6743a2d2744bcc450633e5e9d6,199935,,unsupported,existing,,,,
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,05_Results by Class_Race_Provisional_Revised.PDF,https://imsa.results.alkamelcloud.com/Results/26_2026/16_Road%20America/01_IMSA%20WeatherTech%20SportsCar%20Championship/202608021040_Race/06_Hour%206/05_Results%20by%20Class_Race_Provisional_Revised.PDF,pdfs/05_Results by Class_Race_Provisional_Revised.PDF,aa735f74b5e4d5296e02afcaebe6d9be6fff6a29303c5d680409d6a3b75d15c7,200570,,unsupported,existing,,,,
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,06_Fastest Lap By Driver_Race.PDF,https://imsa.results.alkamelcloud.com/Results/26_2026/16_Road%20America/01_IMSA%20WeatherTech%20SportsCar%20Championship/202608021040_Race/06_Hour%206/06_Fastest%20Lap%20By%20Driver_Race.PDF,pdfs/06_Fastest Lap By Driver_Race.PDF,5f8f82b45a850b222510b90278636f81075c2166f95e8211579205b95f6da3ab,123032,fastest_laps_by_driver,preferred,existing,reports-1,4,141,
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,07_Fastest Lap By Driver After_Race.PDF,https://imsa.results.alkamelcloud.com/Results/26_2026/16_Road%20America/01_IMSA%20WeatherTech%20SportsCar%20Championship/202608021040_Race/06_Hour%206/07_Fastest%20Lap%20By%20Driver%20After_Race.PDF,pdfs/07_Fastest Lap By Driver After_Race.PDF,3e5364b6c43628e692d24fcf1cd42c4a6cdf6db19fc0741f6a575ed83f34e3f5,108436,,unsupported,existing,,,,
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,07_Fastest Lap By Driver and Class After_Race.PDF,https://imsa.results.alkamelcloud.com/Results/26_2026/16_Road%20America/01_IMSA%20WeatherTech%20SportsCar%20Championship/202608021040_Race/06_Hour%206/07_Fastest%20Lap%20By%20Driver%20and%20Class%20After_Race.PDF,pdfs/07_Fastest Lap By Driver and Class After_Race.PDF,6b45ab17aaa848584e0f295b00d8988d61d3e2683749ad6f3765ae367c52778e,120395,,unsupported,existing,,,,
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,12_Lap Chart_Race.PDF,https://imsa.results.alkamelcloud.com/Results/26_2026/16_Road%20America/01_IMSA%20WeatherTech%20SportsCar%20Championship/202608021040_Race/06_Hour%206/12_Lap%20Chart_Race.PDF,pdfs/12_Lap Chart_Race.PDF,2ecc5f336372c86e301d245c889d98d7785c3d4a019171578c510651a4d3e973,191847,,unsupported,existing,,,,
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,13_Best Sector Times_Race.PDF,https://imsa.results.alkamelcloud.com/Results/26_2026/16_Road%20America/01_IMSA%20WeatherTech%20SportsCar%20Championship/202608021040_Race/06_Hour%206/13_Best%20Sector%20Times_Race.PDF,pdfs/13_Best Sector Times_Race.PDF,e6c6d9dc7462c6ec091cc5ec7be2ec1c1e970a4cc5be1dc2502187fdb5413240,195360,,unsupported,existing,,,,
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,15_LeaderSequence_Race.PDF,https://imsa.results.alkamelcloud.com/Results/26_2026/16_Road%20America/01_IMSA%20WeatherTech%20SportsCar%20Championship/202608021040_Race/06_Hour%206/15_LeaderSequence_Race.PDF,pdfs/15_LeaderSequence_Race.PDF,1ffcfa9a82b875589fc67597047100af06fab28e19e490cfdc0b5faba19e580b,103135,,unsupported,existing,,,,
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,16_Average Distance And Speed_Race.PDF,https://imsa.results.alkamelcloud.com/Results/26_2026/16_Road%20America/01_IMSA%20WeatherTech%20SportsCar%20Championship/202608021040_Race/06_Hour%206/16_Average%20Distance%20And%20Speed_Race.PDF,pdfs/16_Average Distance And Speed_Race.PDF,8c9aaa125a3d7ebd0256242437aedb3444afe1569039415ff16f7dfe78d93f99,117810,,unsupported,existing,,,,
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,17_FastestLapSequence_Race.PDF,https://imsa.results.alkamelcloud.com/Results/26_2026/16_Road%20America/01_IMSA%20WeatherTech%20SportsCar%20Championship/202608021040_Race/06_Hour%206/17_FastestLapSequence_Race.PDF,pdfs/17_FastestLapSequence_Race.PDF,00583fb2447c853a0fe9e1630eae11bf2f38d8ad0b1e436028700f90ce1e94bb,107424,,unsupported,existing,,,,
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,19_AnalysisByLap_Race.PDF,https://imsa.results.alkamelcloud.com/Results/26_2026/16_Road%20America/01_IMSA%20WeatherTech%20SportsCar%20Championship/202608021040_Race/06_Hour%206/19_AnalysisByLap_Race.PDF,pdfs/19_AnalysisByLap_Race.PDF,f5e825c05d9187b77e73ebb772c6ce845d7565da836371f1e7002d3ed77827ac,427489,analysis_by_lap,preferred,existing,1,26,7285,
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,20_Drive Time_Race.PDF,https://imsa.results.alkamelcloud.com/Results/26_2026/16_Road%20America/01_IMSA%20WeatherTech%20SportsCar%20Championship/202608021040_Race/06_Hour%206/20_Drive%20Time_Race.PDF,pdfs/20_Drive Time_Race.PDF,4a9ba64a55d23572c230317e7107b936bd3fc40fc9fc843df5cc198ee2d2fec8,153102,drive_time,preferred,existing,reports-1,10,871,
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,20_Pit Stops Time Cards_Race.PDF,https://imsa.results.alkamelcloud.com/Results/26_2026/16_Road%20America/01_IMSA%20WeatherTech%20SportsCar%20Championship/202608021040_Race/06_Hour%206/20_Pit%20Stops%20Time%20Cards_Race.PDF,pdfs/20_Pit Stops Time Cards_Race.PDF,9d9edb46924134c420702c2f2f4b80f0703e98ccaa20d14c40d35b37b5283d14,152246,pit_stops,preferred,existing,reports-1,6,407,
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,23_Time Cards_Race.PDF,https://imsa.results.alkamelcloud.com/Results/26_2026/16_Road%20America/01_IMSA%20WeatherTech%20SportsCar%20Championship/202608021040_Race/06_Hour%206/23_Time%20Cards_Race.PDF,pdfs/23_Time Cards_Race.PDF,e4751cb833ea3426ba07cc0f6b1c22af2a044e6470c89ddfde0a0d2dcc5a6c08,619173,time_cards,preferred,existing,1,64,7285,
