year,event_code,event_name,track_slug,race_date,session_directory,car_number,lap_number,driver_number,driver_name,lap_time,sector_1,sector_2,sector_3,speed_mph,elapsed_time,elapsed_delta_ms,elapsed_lap_time_difference_ms,pit_lane_crossing,source_page
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,1,1,1,Neil Verhagen,2:32.999,38.596,1:19.168,35.235,95.247,2:32.999,,,0,1
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,1,2,1,Neil Verhagen,2:06.931,13.525,1:18.233,35.173,114.808,4:39.930,126931,0,0,1
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,1,3,1,Neil Verhagen,2:07.012,13.513,1:18.281,35.218,114.735,6:46.942,127012,0,0,1
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,1,4,1,Neil Verhagen,2:06.649,13.552,1:17.929,35.168,115.064,8:53.591,126649,0,0,1
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,1,5,1,Neil Verhagen,2:07.430,13.548,1:18.465,35.417,114.358,11:01.021,127430,0,0,1
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,1,6,1,Neil Verhagen,2:59.233,13.558,1:50.628,55.047,81.306,14:00.254,179233,0,0,1
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,1,7,1,Neil Verhagen,2:39.901,19.708,1:41.226,38.967,91.136,16:40.155,159901,0,0,1
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,1,8,1,Neil Verhagen,2:40.257,15.793,1:29.312,55.152,90.933,19:20.412,160257,0,0,1
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,1,9,1,Neil Verhagen,4:10.856,25.640,2:31.454,1:13.762,58.092,23:31.268,250856,0,0,1
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,1,10,1,Neil Verhagen,3:48.777,31.609,2:37.675,39.493,63.698,27:20.045,228777,0,0,1
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,1,11,1,Neil Verhagen,2:08.062,13.786,1:18.818,35.458,113.794,29:28.107,128062,0,0,1
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,1,12,1,Neil Verhagen,2:07.631,13.612,1:18.459,35.560,114.178,31:35.738,127631,0,0,1
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,1,13,1,Neil Verhagen,2:07.815,13.658,1:18.589,35.568,114.014,33:43.553,127815,0,0,1
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,1,14,1,Neil Verhagen,2:37.630,13.794,1:36.000,47.836,92.449,36:21.183,157630,0,0,1
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,1,15,1,Neil Verhagen,2:39.597,19.998,1:37.677,41.922,91.309,39:00.780,159597,0,0,1
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,1,16,1,Neil Verhagen,2:52.462,17.531,1:41.478,53.453,84.498,41:53.242,172462,0,0,1
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,1,17,1,Neil Verhagen,3:20.797,18.898,1:54.259,1:07.640,72.574,45:14.039,200797,0,1,1
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,1,18,1,Neil Verhagen,3:59.818,59.689,1:51.580,1:08.549,60.765,49:13.857,239818,0,0,1
2026,16_Road America,Road America,road-america,2026-08-02,202608021040_Race,1,19,1,Neil Verhagen,4:03.037,32.881,2:26.843,1:03.313,59.961,53:16.894,243037,0,0,1
