year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,1,GTD PRO,Paul Miller Racing,BMW M4 GT3 EVO,Neil Verhagen,Connor De Phillippi,Max Hesse,,,Paul Miller Racing BMW M4 GT3 EVO | GTDPRO | 1.Neil Verhagen 3.Max Hesse | 2.Connor De Phillippi
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,2,LMP2,United Autosports USA,ORECA 07,Phil Fayer,Hunter McElrea,Mikkel Jensen,,,United Autosports USA ORECA LMP2 07 | LMP2 | 1.Phil Fayer 3.Mikkel Jensen | 2.Hunter McElrea
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,3,GTD PRO,Corvette Racing by Pratt Miller Chevrolet Motorsports,Corvette Z06 GT3.R,Antonio Garcia,Alexander Sims,Marvin Kirchhöfer,,,Corvette Racing by Pratt Miller Chevrolet Corvette Z06 GT3.R | Motorsports GTDPRO | 1.Antonio Garcia 3.Marvin Kirchhöfer | 2.Alexander Sims
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,04,LMP2,Crowdstrike Racing by APR,ORECA 07,George Kurtz,Alex Quinn,Toby Sowery,,,Crowdstrike Racing by APR ORECA LMP2 07 | LMP2 | 1.George Kurtz 3.Toby Sowery | 2.Alex Quinn
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,4,GTD PRO,Corvette Racing by Pratt Miller Chevrolet Motorsports,Corvette Z06 GT3.R,Tommy Milner,Nicky Catsburg,Nico Varrone,,,Corvette Racing by Pratt Miller Chevrolet Corvette Z06 GT3.R | Motorsports GTDPRO | 1.Tommy Milner 3.Nico Varrone | 2.Nicky Catsburg
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,5,GTP,JDC-Miller MotorSports,Porsche 963,Tijmen van der Helm,Nico Pino,Kaylen Frederick,,,JDC-Miller MotorSports Porsche 963 | GTP | 1.Tijmen van der Helm 3.Kaylen Frederick | 2.Nico Pino
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,6,GTP,Porsche Penske Motorsport,Porsche 963,Laurens Vanthoor,Kevin Estre,Matt Campbell,,,Porsche Penske Motorsport Porsche 963 | GTP | 1.Laurens Vanthoor 3.Matt Campbell | 2.Kevin Estre
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,7,GTP,Porsche Penske Motorsport,Porsche 963,Felipe Nasr,Julien Andlauer,Laurin Heinrich,,,Porsche Penske Motorsport Porsche 963 | GTP | 1.Felipe Nasr 3.Laurin Heinrich | 2.Julien Andlauer
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,8,LMP2,Tower Motorsports,ORECA 07,John Farano,Tristan Vautier,Sebastian Alvarez,,,Tower Motorsports ORECA LMP2 07 | LMP2 | 1.John Farano 3.Sebastian Alvarez | 2.Tristan Vautier
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,9,GTD PRO,Pfaff Motorsports Lamborghini,Temerario GT3,Andrea Caldarelli,Sandy Mitchell,Franck Perera,,,Pfaff Motorsports Lamborghini Temerario GT3 | GTDPRO | 1.Andrea Caldarelli 3.Franck Perera | 2.Sandy Mitchell
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,10,GTP,Cadillac Wayne Taylor Racing,Cadillac V-Series.R,Ricky Taylor,Filipe Albuquerque,Will Stevens,,,Cadillac Wayne Taylor Racing Cadillac V-Series.R | GTP | 1.Ricky Taylor 3.Will Stevens | 2.Filipe Albuquerque
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,11,LMP2,TDS Racing,ORECA 07,Tobi Lutke,Charles Milesi,David Heinemeier Hansson,,,TDS Racing ORECA LMP2 07 | LMP2 | 1.Tobi Lutke 3.David Heinemeier Hansson | 2.Charles Milesi | 3/21/2026 10:17 PM
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,12,GTD,Vasser Sullivan Racing,Lexus RC F GT3,Aaron Telitz,Benjamin Pedersen,Frankie Montecalvo,,,Vasser Sullivan Racing Lexus RC F GT3 | GTD | 1.Aaron Telitz 3.Frankie Montecalvo | 2.Benjamin Pedersen
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,13,GTD,Autosport Chevrolet,Corvette Z06 GT3.R,Orey Fidani,Matthew Bell,Lars Kern,,,13 Autosport Chevrolet Corvette Z06 GT3.R | GTD | 1.Orey Fidani 3.Lars Kern | 2.Matthew Bell
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,14,GTD PRO,Vasser Sullivan Racing,Lexus RC F GT3,Jack Hawksworth,Ben Barnicoat,Kyle Kirkwood,,,Vasser Sullivan Racing Lexus RC F GT3 | GTDPRO | 1.Jack Hawksworth 3.Kyle Kirkwood | 2.Ben Barnicoat
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,16,GTD,Myers Riley Motorsports,Ford Mustang GT3,Sheena Monk,Felipe Fraga,Jenson Altzman,,,Myers Riley Motorsports Ford Mustang GT3 | GTD | 1.Sheena Monk 3.Jenson Altzman | 2.Felipe Fraga
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,18,LMP2,Era Motorsport,ORECA 07,Naveen Rao,Ferdinand Habsburg,Jacob Abel,,,Era Motorsport ORECA LMP2 07 | LMP2 | 1.Naveen Rao 3.Jacob Abel | 2.Ferdinand Habsburg
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,19,GTD,van der Steur Racing Aston Martin,Vantage GT3 Evo,Valentin Hasse Clot,Rory van der Steur,Sébastien Baud,,,van der Steur Racing Aston Martin Vantage GT3 Evo | GTD | 1.Valentin Hasse Clot 3.Sébastien Baud | 2.Rory van der Steur
