year,event_code,event_name,track_slug,race_date,session_directory,position,class_position,car_number,class,category_marker,drivers,team,vehicle,laps,total_time,gap_to_leader,interval,status,best_lap_number,best_lap_time,best_lap_speed_mph,source_report,source_page
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,1,1,7,GTP,,F. Nasr / J. Andlauer / L. Heinrich,Porsche Penske Motorsport,Porsche 963,343,12:01:48.652,-,,,322,1:49.020,123.499,03_Results_Race_Official.PDF,1
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,2,2,6,GTP,,L. Vanthoor / K. Estre M. Campbell,Porsche Penske Motorsport,Porsche 963,343,12:01:50.167,1.515,1.515,,322,1:49.343,123.135,03_Results_Race_Official.PDF,1
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,3,3,31,GTP,,J. Aitken / E. Bamber / F. Vesti,Cadillac Whelen,Cadillac V-Series.R,343,12:01:59.029,10.377,0.975,,160,1:49.955,122.449,03_Results_Race_Official.PDF,1
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,4,4,60,GTP,,T. Blomqvist / C. Braun / S. Dixon,Acura Meyer Shank Racing w/Curb Agajanian,Acura ARX-06,343,12:01:59.756,11.104,0.727,,202,1:49.395,123.076,03_Results_Race_Official.PDF,1
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,5,5,24,GTP,,D. Vanthoor / S. van der Linde R. Frijns,BMW M Team WRT,BMW M Hybrid V8,343,12:02:02.375,13.723,2.619,,251,1:49.996,122.404,03_Results_Race_Official.PDF,1
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,6,6,93,GTP,,R. van der Zande / N. Yelloly A. Palou,Acura Meyer Shank Racing w/Curb Agajanian,Acura ARX-06,343,12:02:03.471,14.819,1.096,,202,1:49.469,122.993,03_Results_Race_Official.PDF,1
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,7,7,40,GTP,,J. Taylor / L. Deletraz / C. Herta,Cadillac Wayne Taylor Racing,Cadillac V-Series.R,343,12:02:05.294,16.642,1.823,,257,1:49.428,123.039,03_Results_Race_Official.PDF,1
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,8,8,5,GTP,,T. van der Helm / N. Pino K. Frederick,JDC-Miller MotorSports,Porsche 963,343,12:02:13.391,24.739,8.097,,161,1:50.003,122.396,03_Results_Race_Official.PDF,1
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,9,1,2,LMP2,,P. Fayer / H. McElrea / M. Jensen,United Autosports USA,ORECA LMP2 07,338,12:02:18.247,5 Laps,5,,133,1:50.660,121.669,03_Results_Race_Official.PDF,1
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,10,2,22,LMP2,,D. Goldburg / P. Di Resta / R. Lindh,United Autosports USA,ORECA LMP2 07,338,12:02:18.757,5 Laps,0.510,,133,1:51.297,120.973,03_Results_Race_Official.PDF,1
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,11,3,8,LMP2,,J. Farano / T. Vautier / S. Alvarez,Tower Motorsports,ORECA LMP2 07,338,12:02:30.125,5 Laps,11.368,,189,1:50.730,121.592,03_Results_Race_Official.PDF,1
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,12,4,18,LMP2,,N. Rao / F. Habsburg / J. Abel,Era Motorsport,ORECA LMP2 07,338,12:02:30.663,5 Laps,0.538,,182,1:51.861,120.363,03_Results_Race_Official.PDF,1
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,13,5,04,LMP2,,G. Kurtz / A. Quinn / T. Sowery,Crowdstrike Racing by APR,ORECA LMP2 07,338,12:02:30.686,5 Laps,0.023,,99,1:51.605,120.639,03_Results_Race_Official.PDF,1
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,14,6,99,LMP2,,P. Hyett / D. Cameron / J. Edgar,AO Racing,ORECA LMP2 07,338,12:02:31.538,5 Laps,0.852,,92,1:51.516,120.735,03_Results_Race_Official.PDF,1
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,15,7,11,LMP2,,T. Lutke / C. Milesi / D. Hansson,TDS Racing,ORECA LMP2 07,338,12:02:33.088,5 Laps,1.550,,123,1:51.342,120.924,03_Results_Race_Official.PDF,1
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,16,8,52,LMP2,,M. Goikhberg / P. Thompson H. Tincknell,Bryan Herta Autosport with PR1/Mathiasen,ORECA LMP2 07,336,12:02:33.803,7 Laps,2,,242,1:51.722,120.513,03_Results_Race_Official.PDF,1
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,17,9,73,LMP2,,P. Fittipaldi / M. Espirito Santo C. Cumming,Pratt Miller Motorsports,ORECA LMP2 07,336,12:02:40.975,7 Laps,7.172,,137,1:51.736,120.498,03_Results_Race_Official.PDF,1
